,专用设备制造业规模以上工业亏损企业亏损总额,交通运输设备制造业规模以上工业亏损企业亏损总额,仪器仪表及文化、办公用机械制造业规模以上工业亏损企业亏损总额,其他采矿业规模以上工业亏损企业亏损总额,农副食品加工业规模以上工业亏损企业亏损总额,化学原料及化学制品制造业规模以上工业亏损企业亏损总额,化学纤维制造业规模以上工业亏损企业亏损总额,医药制造业规模以上工业亏损企业亏损总额,印刷业和记录媒介的复制规模以上工业亏损企业亏损总额,塑料制品业规模以上工业亏损企业亏损总额,家具制造业规模以上工业亏损企业亏损总额,工艺品及其他制造业规模以上工业亏损企业亏损总额,废弃资源和废旧材料回收加工业规模以上工业亏损企业亏损总额,文教体育用品制造业规模以上工业亏损企业亏损总额,有色金属冶炼及压延加工业规模以上工业亏损企业亏损总额,有色金属矿采选业规模以上工业亏损企业亏损总额,木材加工及木、竹、藤、棕、草制品业规模以上工业亏损企业亏损总额,橡胶制品业规模以上工业亏损企业亏损总额,水的生产和供应业规模以上工业亏损企业亏损总额,烟草制品业规模以上工业亏损企业亏损总额,煤炭开采和洗选业规模以上工业亏损企业亏损总额,燃气生产和供应业规模以上工业亏损企业亏损总额,电力、热力的生产和供应业规模以上工业亏损企业亏损总额,电气机械及器材制造业规模以上工业亏损企业亏损总额,皮革、毛皮、羽毛(绒)及其制品业规模以上工业亏损企业亏损总额,石油加工、炼焦及核燃料加工业规模以上工业亏损企业亏损总额,石油和天然气开采业规模以上工业亏损企业亏损总额,纺织业规模以上工业亏损企业亏损总额,纺织服装、鞋、帽制造业规模以上工业亏损企业亏损总额,规模以上工业亏损企业亏损总额,通信设备、计算机及其他电子设备制造规模以上工业亏损企业亏损总额,通用设备制造业规模以上工业亏损企业亏损总额,造纸及纸制品业规模以上工业亏损企业亏损总额,金属制品业规模以上工业亏损企业亏损总额,非金属矿物制品业规模以上工业亏损企业亏损总额,非金属矿采选业规模以上工业亏损企业亏损总额,食品制造业规模以上工业亏损企业亏损总额,饮料制造业规模以上工业亏损企业亏损总额,黑色金属冶炼及压延加工业规模以上工业亏损企业亏损总额,黑色金属矿采选业规模以上工业亏损企业亏损总额
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,49.07622,70.36098,12.26835,,37.7343,85.05684,10.85672,27.29056,10.16976,22.31149,4.73039,5.81597,0.17095,6.65798,24.31187,2.83955,10.17332,15.42185,21.46654,3.7019,9.83613,9.47608,151.83244,58.72548,9.1607,42.25229,16.65659,59.21589,17.69259,1157.76762,102.72054,48.49721,25.90808,21.78311,62.50464,3.75696,30.63073,30.79149,34.14677,1.76436
2004年,55.91061,108.18763,28.4185,0.0013,61.56695,106.35124,25.37358,39.53633,11.93735,41.91472,8.06392,7.66134,0.94382,9.77227,32.03183,3.39503,13.08869,20.38936,25.96465,7.7122,29.30841,17.71514,175.62615,79.81432,14.4547,49.7083,56.4166,104.04919,24.56191,1747.92,221.55276,66.52704,35.62091,36.42932,83.20261,4.68337,37.14421,39.96795,59.29623,3.61921
2005年,44.2612,116.74463,15.00317,0.00449,44.99319,141.59535,36.32239,40.11988,12.60792,37.54216,7.68723,7.15319,1.0077,8.63488,42.52689,3.17508,12.64552,12.35978,32.0022,2.93247,14.03706,17.65176,178.42695,75.43743,11.59298,375.67933,9.7894,70.5331,24.16904,2031.81057,228.43149,54.17017,31.18623,30.44483,111.26394,2.7585,35.47067,35.1345,101.5278,4.78607
2006年,40.75282,116.5748,17.42799,0.04716,40.48796,208.05416,27.78558,45.94291,14.15396,58.51192,7.78305,7.9508,1.09807,8.76531,36.21327,3.21905,12.77131,14.13019,28.68005,1.24298,32.10957,19.36467,137.76065,78.75791,11.76575,594.40515,7.14542,71.95574,23.50065,2272.3,205.87612,54.84065,35.8544,34.55594,116.81909,3.93799,34.22291,40.42663,70.61634,6.78828
2007年,44.82499,108.16588,14.52305,0.03669,33.5598,126.52582,23.22617,44.56826,12.11816,39.31689,10.59702,8.83563,1.05067,13.49293,45.14107,6.97978,14.49658,15.43334,30.9048,1.07799,40.14376,14.68276,171.30608,72.30883,13.52881,380.31424,19.11475,76.74116,28.58909,1970.70986,202.44099,53.18699,32.20306,37.47516,100.05381,4.18329,31.79125,44.92495,47.8884,4.95696
2008年,81.75762,147.68079,23.78784,0.06434,72.72988,454.89325,74.9588,42.65245,16.53392,58.2356,19.48828,17.56743,12.14471,21.5308,204.43998,12.73756,18.31966,30.20027,47.73301,1.18825,46.37187,19.43585,907.60711,105.54958,18.20551,1552.30138,68.62954,115.0436,44.84798,5295.59197,301.57209,93.9548,49.97307,58.27014,122.26912,5.03251,59.4689,54.06357,302.94762,11.40329
2009年,83.60985,136.27141,20.8044,0.00657,52.33487,371.98497,20.92068,38.8747,15.86753,50.25527,13.46969,13.1985,7.87966,13.50875,151.26637,14.92019,20.22652,11.14992,51.13328,0.47165,62.39324,11.77357,565.66937,90.53189,16.50637,118.95212,146.27638,83.87738,32.55759,3281.03453,344.01185,106.2166,57.41918,66.16995,122.53544,6.22159,39.3911,53.27637,238.36572,30.73404
2010年,60.17805,103.36999,12.82032,0.07545,46.54187,225.57379,6.6808,35.07928,14.31929,37.704,9.92253,10.17074,4.4694,10.45251,90.14997,8.69928,15.73437,12.87602,57.53146,1.54814,70.36787,10.68164,424.6116,87.06801,9.27683,126.87493,126.28313,51.52816,26.31003,2359.17518,165.20467,67.17699,35.61477,41.92084,88.42819,4.79531,45.17112,49.15626,154.05426,10.75331
2011年,88.11386,184.3791,18.2069,0.0157,70.70197,295.65254,29.20364,34.86275,13.23593,48.22887,12.50839,12.3142,5.07464,12.3331,147.35076,7.0936,15.59315,24.44341,46.68937,0.28777,73.40312,9.30468,673.31969,162.76188,14.9841,752.09039,167.84655,72.15906,23.33951,3913.21216,243.41844,79.76669,43.6424,47.31181,120.89649,3.75246,42.7177,54.0517,238.92014,23.2357
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
