,专用设备制造业规模以上工业企业固定资产原价合计,交通运输设备制造业规模以上工业企业固定资产原价合计,仪器仪表及文化、办公用机械制造业规模以上工业企业固定资产原价合计,其他采矿业规模以上工业企业固定资产原价合计,农副食品加工业规模以上工业企业固定资产原价合计,化学原料及化学制品制造业规模以上工业企业固定资产原价合计,化学纤维制造业规模以上工业企业固定资产原价合计,医药制造业规模以上工业企业固定资产原价合计,印刷业和记录媒介的复制规模以上工业企业固定资产原价合计,塑料制品业规模以上工业企业固定资产原价合计,家具制造业规模以上工业企业固定资产原价合计,工艺品及其他制造业规模以上工业企业固定资产原价合计,废弃资源和废旧材料回收加工业规模以上工业企业固定资产原价合计,文教体育用品制造业规模以上工业企业固定资产原价合计,有色金属冶炼及压延加工业规模以上工业企业固定资产原价合计,有色金属矿采选业规模以上工业企业固定资产原价合计,木材加工及木、竹、藤、棕、草制品业规模以上工业企业固定资产原价合计,橡胶制品业规模以上工业企业固定资产原价合计,水的生产和供应业规模以上工业企业固定资产原价合计,烟草制品业规模以上工业企业固定资产原价合计,煤炭开采和洗选业规模以上工业企业固定资产原价合计,燃气生产和供应业规模以上工业企业固定资产原价合计,电力、热力的生产和供应业规模以上工业企业固定资产原价合计,电气机械及器材制造业规模以上工业企业固定资产原价合计,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业固定资产原价合计,石油加工、炼焦及核燃料加工业规模以上工业企业固定资产原价合计,石油和天然气开采业规模以上工业企业固定资产原价合计,纺织业规模以上工业企业固定资产原价合计,纺织服装、鞋、帽制造业规模以上工业企业固定资产原价合计,规模以上工业企业固定资产原价合计,通信设备、计算机及其他电子设备制造规模以上工业企业固定资产原价合计,通用设备制造业规模以上工业企业固定资产原价合计,造纸及纸制品业规模以上工业企业固定资产原价合计,金属制品业规模以上工业企业固定资产原价合计,非金属矿物制品业规模以上工业企业固定资产原价合计,非金属矿采选业规模以上工业企业固定资产原价合计,食品制造业规模以上工业企业固定资产原价合计,饮料制造业规模以上工业企业固定资产原价合计,黑色金属冶炼及压延加工业规模以上工业企业固定资产原价合计,黑色金属矿采选业规模以上工业企业固定资产原价合计
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,2029.88277,4756.75982,583.09518,18.02458,1994.06725,7144.27962,1192.32737,1675.70031,858.21396,1565.04845,263.93727,361.17601,6.95348,321.96115,2368.78985,412.74505,520.61131,763.54242,1848.45316,1085.49902,4080.51613,585.84561,24659.58525,2679.65451,511.97678,3733.93844,7149.85207,4355.40556,956.77933,105557.08953,4346.83464,2747.60414,1980.43071,1419.86439,4749.07543,454.67663,1183.34843,1737.23246,8200.61864,252.78235
2004年,2241.87083,5537.10388,690.49213,4.25885,2394.28691,7952.71732,1422.52799,2013.20195,1004.58449,2032.51403,351.06551,579.86407,23.43279,402.56721,2975.50367,437.09808,645.09636,945.43597,2261.23298,1169.18135,4716.83442,768.38122,29722.14733,3192.31399,619.06729,4265.04341,8585.78386,5042.50019,1097.62584,125761.85,5804.23394,3299.90191,2423.80002,1709.61476,5690.37795,427.94601,1451.2311,1774.04305,9705.96138,381.00954
2005年,2466.32963,6565.54421,794.03519,5.4362,2732.50162,9228.70158,1658.51988,2419.53394,1119.90722,2207.88218,421.63903,587.84445,35.17701,447.2068,3528.51545,484.36566,722.6815,1049.96732,2345.98144,1250.7334,5450.025,796.36635,33588.58739,3680.61955,717.69882,4966.13656,9204.81669,5540.64437,1259.3603,143143.62992,6943.3647,3739.59682,2912.6079,1986.51418,6325.7175,377.50003,1645.11338,1948.04773,11522.29791,466.11103
2006年,2897.1339,7651.32398,938.93247,1.43409,3245.80163,11179.00582,1817.76929,2732.01799,1246.41464,2518.63555,546.26112,685.73656,72.84204,499.00821,4169.78223,599.58922,847.04176,1212.44891,2809.96896,1306.83341,6743.77014,970.90665,40316.57583,4259.11642,819.61615,5726.0572,10698.41124,6256.70695,1492.24847,168850.2,8195.4579,4355.67829,3266.08469,2379.44574,7204.48637,509.54825,1895.23256,2169.47618,14024.52365,588.87932
2007年,3432.44607,9267.66094,1074.90394,2.70976,3952.03963,12804.32786,2012.17711,3132.37502,1378.63097,2816.975,681.14748,800.82905,78.55616,571.55925,5199.46698,735.55682,1041.27348,1524.19237,2987.48068,1393.3099,7940.29888,1057.63709,47744.09248,5067.3724,945.86218,6279.57798,13100.20842,7054.63322,1759.52607,198739.26528,10038.97766,5233.64375,3701.53251,2939.00703,8254.97513,559.64921,2224.13785,2510.08801,16616.84944,823.5775
2008年,4921.0812,11846.87951,1306.03775,2.93746,5393.06807,16012.17311,2045.68289,3732.34561,1662.08605,3511.53369,836.00173,999.15415,213.84247,720.69812,6964.36616,1049.49795,1473.0029,1839.64954,3542.7099,1507.21257,9798.86137,1229.49386,57357.23631,6976.94798,1160.86088,7518.52979,14390.27185,8287.57899,2321.00435,245352.79871,12295.97358,7453.95178,4473.60122,4136.93449,10541.60233,772.66686,2759.64441,3101.35033,19980.04465,1216.28285
2009年,5511.44639,13625.90124,1474.88385,5.50664,7026.50968,18631.57208,2008.41625,4150.58908,1770.72674,3900.78194,922.24031,1120.61832,260.6943,761.233,8093.49146,1154.84884,1637.9758,2068.35799,3849.4584,1656.68249,12064.61544,1480.33034,63844.994,8225.28299,1259.21777,9313.07856,15676.44952,8663.97366,2440.41565,278541.08679,13447.61072,8424.56037,4833.70807,4764.76645,12206.04351,832.43381,3173.18182,3395.55996,23502.46928,1360.46007
2010年,6904.16038,16987.8571,1856.16984,17.01952,9180.38812,22996.39013,2235.82971,4873.24204,1981.26455,4671.37569,1132.90152,1275.34384,319.6886,828.4475,10202.09646,1493.59228,2104.77891,2385.59972,4345.42066,1803.74718,14640.08924,1782.15634,73070.92126,10314.13176,1506.79886,11197.325,16993.05038,9965.48095,2793.54921,334839.41192,17751.29847,11098.92048,5651.87949,5800.66341,15016.33005,1031.10552,3854.98128,4002.53438,28593.39805,2179.48404
2011年,8247.44468,20051.76017,2109.56681,10.14354,11429.39842,27380.33601,2834.8106,5630.11829,1887.03033,5078.43709,1284.09671,1518.694,488.28336,821.90431,11768.85151,1665.12398,2512.55899,2965.2647,4314.11087,1939.35281,17607.58156,1940.54566,80634.97636,14314.6461,1714.76226,12599.54489,21787.89397,10954.05653,3037.78589,386086.7167,18331.62453,12219.54811,6945.45514,6662.63176,17935.8312,1298.15979,4561.53145,4651.94816,32170.96821,2779.93795
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
