,专用设备制造业规模以上工业企业主营业务税金及附加,交通运输设备制造业规模以上工业企业主营业务税金及附加,仪器仪表及文化、办公用机械制造业规模以上工业企业主营业务税金及附加,其他采矿业规模以上工业企业主营业务税金及附加,农副食品加工业规模以上工业企业主营业务税金及附加,化学原料及化学制品制造业规模以上工业企业主营业务税金及附加,化学纤维制造业规模以上工业企业主营业务税金及附加,医药制造业规模以上工业企业主营业务税金及附加,印刷业和记录媒介的复制规模以上工业企业主营业务税金及附加,塑料制品业规模以上工业企业主营业务税金及附加,家具制造业规模以上工业企业主营业务税金及附加,工艺品及其他制造业规模以上工业企业主营业务税金及附加,废弃资源和废旧材料回收加工业规模以上工业企业主营业务税金及附加,文教体育用品制造业规模以上工业企业主营业务税金及附加,有色金属冶炼及压延加工业规模以上工业企业主营业务税金及附加,有色金属矿采选业规模以上工业企业主营业务税金及附加,木材加工及木、竹、藤、棕、草制品业规模以上工业企业主营业务税金及附加,橡胶制品业规模以上工业企业主营业务税金及附加,水的生产和供应业规模以上工业企业主营业务税金及附加,烟草制品业规模以上工业企业主营业务税金及附加,煤炭开采和洗选业规模以上工业企业主营业务税金及附加,燃气生产和供应业规模以上工业企业主营业务税金及附加,电力、热力的生产和供应业规模以上工业企业主营业务税金及附加,电气机械及器材制造业规模以上工业企业主营业务税金及附加,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业主营业务税金及附加,石油加工、炼焦及核燃料加工业规模以上工业企业主营业务税金及附加,石油和天然气开采业规模以上工业企业主营业务税金及附加,纺织业规模以上工业企业主营业务税金及附加,纺织服装、鞋、帽制造业规模以上工业企业主营业务税金及附加,规模以上工业企业主营业务税金及附加,通信设备、计算机及其他电子设备制造规模以上工业企业主营业务税金及附加,通用设备制造业规模以上工业企业主营业务税金及附加,造纸及纸制品业规模以上工业企业主营业务税金及附加,金属制品业规模以上工业企业主营业务税金及附加,非金属矿物制品业规模以上工业企业主营业务税金及附加,非金属矿采选业规模以上工业企业主营业务税金及附加,食品制造业规模以上工业企业主营业务税金及附加,饮料制造业规模以上工业企业主营业务税金及附加,黑色金属冶炼及压延加工业规模以上工业企业主营业务税金及附加,黑色金属矿采选业规模以上工业企业主营业务税金及附加
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,14.80276,180.53735,7.23614,0.08077,21.11686,65.19224,5.1717,18.80936,4.53527,10.62319,4.07006,6.34694,0.13369,2.68823,14.58081,5.13269,5.60452,16.77899,5.50653,854.68834,36.04853,1.98279,59.9123,24.00035,8.04162,228.15324,84.45481,31.35905,13.34647,2049.21,15.28562,25.70627,11.15246,16.04323,41.78623,9.42616,10.5121,126.03183,55.34729,6.9803
2004年,21.93964,203.71298,5.22377,0.18819,33.7925,84.75559,9.54902,20.49976,5.9661,17.76955,5.04939,7.25662,0.74234,4.17686,24.66346,6.34493,8.74096,19.00923,7.43293,1018.47544,64.35142,2.51692,82.08393,32.8701,11.62074,314.40099,119.80453,41.13184,15.42701,2616.25,21.68467,39.03082,15.26687,21.25173,60.1319,12.00664,14.5709,146.27628,82.04765,14.48847
2005年,27.91009,235.5787,6.5562,0.08147,48.65938,108.43124,8.53422,26.96495,6.7647,18.55573,6.52973,9.60117,1.15693,4.29748,40.3144,8.78703,11.87692,19.59784,5.2703,1129.40048,100.67888,2.58876,98.98149,40.50659,14.02695,299.88378,138.83332,54.63193,19.69623,2997.34,23.42161,46.62845,21.54431,25.78749,67.87036,16.56555,19.21939,160.11135,104.15905,17.33314
2006年,33.84194,348.40893,9.01215,0.06496,56.12758,113.62827,7.18754,26.05132,8.87208,24.03409,10.78956,12.33262,4.90735,4.89521,60.85279,16.54444,17.1605,15.62503,7.12004,1304.40384,134.82929,3.65683,126.08844,57.60483,18.84489,344.96534,259.79556,63.47836,27.67853,3746.35,41.09896,59.11444,25.34079,40.53625,90.45125,20.96113,24.803,183.64222,113.54266,28.06091
2007年,47.00446,471.63061,10.9504,0.18592,84.88133,154.95038,10.60657,38.56117,10.74562,33.615,13.61899,18.3463,2.54648,7.15646,124.30418,21.992,27.24678,19.39478,6.97325,1564.02948,173.75573,6.8535,152.13766,73.46154,24.76165,416.35672,279.9366,80.60514,36.6057,4772.08,55.52264,103.76889,31.0171,54.87989,116.81763,27.64116,30.13277,208.76754,191.34432,38.97296
2008年,76.75608,511.58809,21.58304,0.13077,156.30674,241.87088,8.72973,51.19762,15.69969,53.04826,19.30137,28.56551,9.58325,20.99529,132.38441,29.11657,46.52407,23.66798,8.58998,1840.34799,278.33301,7.84517,167.79371,128.09636,35.31844,433.17938,569.42409,108.66007,50.13547,6277.28,81.93171,141.22397,41.77485,95.05124,184.48432,45.11735,49.00167,238.47861,265.26495,60.17634
2009年,92.24919,768.58815,21.83344,0.19638,190.44406,352.64108,10.86064,70.19485,17.86547,69.47469,26.59829,31.56907,8.78555,15.39106,121.53538,33.05277,54.32557,27.20573,10.39341,2268.62791,303.00797,11.67313,163.64587,161.94813,36.89043,2417.5585,256.63713,124.6108,55.05728,8995.95,81.34818,161.75417,48.32678,112.02574,224.53735,48.87078,63.09733,277.09491,186.90723,69.12813
2010年,114.78274,1074.36946,25.56226,0.26944,198.01018,426.29485,12.29213,77.67495,19.42989,67.59154,26.35969,35.51037,11.05551,12.44785,115.51876,40.47043,56.39293,31.14532,11.79537,2814.98345,409.49307,11.39465,178.06233,188.73195,38.27553,2695.85574,809.96004,134.36091,64.86511,11183.11,101.31934,216.56359,49.07529,111.61141,245.98358,57.51665,69.66167,318.82954,215.91151,93.6817
2011年,136.10963,891.01782,33.11739,0.12277,187.73378,462.88006,17.01376,95.36137,21.37387,70.82473,29.98886,33.81659,12.78669,13.97279,119.67621,46.31511,60.4647,36.78426,11.59027,3453.4091,509.79402,15.06685,187.3661,183.57177,42.85403,2888.49193,1250.76324,156.32365,67.68862,12669.53,155.83952,204.91059,50.63348,110.81777,274.31976,56.53362,81.11515,404.1397,200.09326,94.84688
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
