,专用设备制造业规模以上工业企业产成品,交通运输设备制造业规模以上工业企业产成品,仪器仪表及文化、办公用机械制造业规模以上工业企业产成品,其他采矿业规模以上工业企业产成品,农副食品加工业规模以上工业企业产成品,化学原料及化学制品制造业规模以上工业企业产成品,化学纤维制造业规模以上工业企业产成品,医药制造业规模以上工业企业产成品,印刷业和记录媒介的复制规模以上工业企业产成品,塑料制品业规模以上工业企业产成品,家具制造业规模以上工业企业产成品,工艺品及其他制造业规模以上工业企业产成品,废弃资源和废旧材料回收加工业规模以上工业企业产成品,文教体育用品制造业规模以上工业企业产成品,有色金属冶炼及压延加工业规模以上工业企业产成品,有色金属矿采选业规模以上工业企业产成品,木材加工及木、竹、藤、棕、草制品业规模以上工业企业产成品,橡胶制品业规模以上工业企业产成品,水的生产和供应业规模以上工业企业产成品,烟草制品业规模以上工业企业产成品,煤炭开采和洗选业规模以上工业企业产成品,燃气生产和供应业规模以上工业企业产成品,电力、热力的生产和供应业规模以上工业企业产成品,电气机械及器材制造业规模以上工业企业产成品,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业产成品,石油加工、炼焦及核燃料加工业规模以上工业企业产成品,石油和天然气开采业规模以上工业企业产成品,纺织业规模以上工业企业产成品,纺织服装、鞋、帽制造业规模以上工业企业产成品,规模以上工业企业产成品,通信设备、计算机及其他电子设备制造规模以上工业企业产成品,通用设备制造业规模以上工业企业产成品,造纸及纸制品业规模以上工业企业产成品,金属制品业规模以上工业企业产成品,非金属矿物制品业规模以上工业企业产成品,非金属矿采选业规模以上工业企业产成品,食品制造业规模以上工业企业产成品,饮料制造业规模以上工业企业产成品,黑色金属冶炼及压延加工业规模以上工业企业产成品,黑色金属矿采选业规模以上工业企业产成品
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,380.34726,596.41126,93.6801,2.27239,323.44212,507.46311,63.61936,240.93314,55.35449,180.91054,40.03984,71.96033,1.49213,50.54473,182.83228,20.86203,63.15712,110.01973,1.39749,92.48251,96.33211,5.28104,29.37853,554.95492,111.38942,164.5069,38.00127,578.64523,186.5729,7606.24973,684.1455,484.81555,156.08006,250.60147,442.11725,30.95985,125.69412,165.69684,403.0837,18.77111
2004年,450.29679,742.3529,113.21993,0.05364,394.32781,665.66655,100.46593,239.35526,59.50634,245.82351,57.39432,82.87946,8.90517,58.92519,260.4065,26.55328,81.97476,127.52971,1.85144,44.82163,137.56985,7.1367,26.05213,693.47783,113.96197,270.692,58.37985,693.80705,209.84102,9458.5,791.64336,609.57977,194.06755,305.66625,523.02715,32.16056,163.52832,173.68909,657.43344,34.47653
2005年,482.40436,795.67734,129.73703,0.19226,481.965,793.10298,123.14282,305.60411,67.47527,273.21244,66.7633,104.27813,12.37742,69.0213,334.13019,33.76304,96.04629,137.64696,1.90769,48.18877,204.49097,8.27653,21.25616,803.12131,138.18778,329.35998,77.12628,772.8034,267.82673,11087.5826,874.06722,710.49713,219.06588,353.64502,585.84366,35.23882,185.15527,199.80872,892.54691,52.62813
2006年,564.31742,998.76283,152.07201,0.10242,562.59109,934.81756,135.23808,341.38814,82.36519,317.72166,83.59594,128.18027,18.67803,75.43132,494.48532,61.1711,128.6229,167.46571,2.83918,54.95487,251.00725,7.67667,28.56329,988.90468,158.466,395.97036,76.21431,895.5278,318.37015,13141.36,1021.52542,802.47623,245.49751,418.27918,648.11376,45.52791,217.4096,229.97474,1024.73198,62.3218
2007年,680.60111,1251.75794,173.21452,0.14404,772.67245,1143.02887,194.82525,408.8954,97.50197,379.46354,106.84461,169.8994,29.91404,86.92074,617.93494,69.46527,168.72181,189.40426,2.80297,61.87014,286.32343,8.03331,51.08915,1232.02082,184.07865,471.48592,85.08133,1081.82224,365.4449,16024.36956,1124.67723,975.15089,258.81505,522.93909,753.90444,50.71179,262.63961,305.0355,1327.2385,71.99444
2008年,931.59041,1481.68377,197.72451,0.19608,912.4753,1468.38772,181.52843,468.23771,109.6477,411.40316,134.19611,197.904,68.94195,102.33006,679.95847,93.4407,211.98392,254.59309,3.10357,177.14734,433.6559,10.5589,38.58034,1355.09271,189.1044,575.06304,98.11276,1122.28396,453.36847,19518.94625,1293.54326,1342.45254,367.45242,623.08501,984.4223,63.19043,337.86354,359.55492,1650.20432,134.88303
2009年,943.37459,1651.68668,213.8772,0.25994,1045.28601,1428.52443,185.87414,509.90036,122.58318,442.2301,141.31958,252.34027,74.62727,101.32244,756.74892,118.05375,238.87085,232.9231,5.00816,106.29316,459.56081,19.35485,41.91377,1552.72888,212.21225,617.77428,95.5856,1124.50729,504.15489,20495.01256,1304.99752,1375.90376,333.21117,714.15655,1046.68041,74.81469,378.12798,381.3626,1528.76763,158.0935
2010年,1143.42742,2154.69341,251.94504,1.91066,1285.28485,1646.25374,229.23239,587.00778,130.74957,501.03026,168.97546,301.29425,77.03805,109.06328,958.04573,127.72071,235.08065,276.79129,4.45564,142.59829,603.38959,18.53952,37.39633,1868.00874,226.13895,706.98638,109.03733,1194.61741,568.90654,23841.14751,1552.14624,1491.07936,359.16938,769.00783,1108.24684,79.40816,410.40183,431.42693,1792.31046,182.33122
2011年,1454.79839,2251.03338,301.81749,0.49668,1510.04693,2058.17816,321.03011,716.04389,135.30252,540.62663,183.11075,444.23005,139.69651,121.23791,1290.5195,169.61117,257.71932,336.87469,5.97853,145.94056,740.25594,26.59681,87.88801,2166.94403,264.23926,936.82598,105.57177,1380.54206,660.79202,28478.63959,1805.03131,1717.01506,433.47928,852.11878,1320.91483,85.55448,495.74183,532.16543,2270.47605,212.19349
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
