,中外合作经营连锁餐饮企业餐饮营业面积,中外合资经营连锁餐饮企业餐饮营业面积,其他外商投资连锁餐饮企业餐饮营业面积,其他有限责任公司连锁餐饮企业餐饮营业面积,其他港澳台商投资连锁餐饮企业餐饮营业面积,其他连锁餐饮企业餐饮营业面积,其他餐饮服务业餐饮营业面积,内资连锁餐饮企业餐饮营业面积,国有独资公司连锁餐饮企业餐饮营业面积,国有连锁餐饮企业餐饮营业面积,外商投资股份有限公司连锁餐饮企业餐饮营业面积,外商投资连锁餐饮企业餐饮营业面积,外资连锁餐饮企业餐饮营业面积,快餐服务业餐饮营业面积,有限责任公司连锁餐饮企业餐饮营业面积,正餐服务业餐饮营业面积,港、澳、台商合作经营连锁餐饮企业餐饮营业面积,港、澳、台商合资经营连锁餐饮企业餐饮营业面积,港、澳、台商投资股份有限公司连锁餐饮企业餐饮营业面积,港、澳、台商投资连锁餐饮企业餐饮营业面积,港、澳、台商独资经营连锁餐饮企业餐饮营业面积,私营合伙连锁餐饮企业餐饮营业面积,私营有限责任公司连锁餐饮企业餐饮营业面积,私营独资连锁餐饮企业餐饮营业面积,私营股份有限公司连锁餐饮企业餐饮营业面积,私营连锁餐饮企业餐饮营业面积,股份合作连锁餐饮企业餐饮营业面积,股份有限公司连锁餐饮企业餐饮营业面积,连锁餐饮企业餐饮营业面积,集体连锁餐饮企业餐饮营业面积,饮料及冷饮服务业餐饮营业面积
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.6,0.0,0.0
2005年,16.7384,45.603,0.0,81.1257,0.0,0.82,6.0021,320.8256,1.2619,3.0903,19.7,138.3562,56.3308,123.6409,82.3876,338.1582,1.7387,10.8108,0.0,18.9154,6.3659,4.502,175.2326,27.2766,5.3112,212.3224,3.0921,18.748,478.1,0.3652,10.296
2006年,19.8801,33.6647,0.0,100.4715,0.0,0.93,9.6962,381.5822,1.496,3.5878,26.4105,173.03,93.0747,152.0988,101.9675,397.5063,0.3395,9.2969,0.0,17.3755,7.7391,3.3356,164.5565,54.0821,17.3819,239.3561,9.0429,25.028,588.2,1.6699,12.6864
2007年,5.6652,45.0244,0.0,113.2034,0.0,2.004,8.9953,352.3535,1.556,1.0268,19.403,186.386,116.2934,158.7575,113.2034,408.3636,1.6713,7.2737,8.6336,40.7429,23.1643,0.825,142.1921,18.6676,1.938,163.6227,2.6781,68.1745,629.2478,1.644,3.366
2008年,5.9698,54.6556,0.0,114.9722,0.0,3.291,12.531,374.1519,0.0,1.063,25.497,232.591,146.4686,191.7911,114.9722,443.2579,1.7884,8.3855,9.745,45.1126,25.1937,1.0585,150.7868,19.9849,11.184,183.0142,3.4681,66.6994,651.8555,1.644,4.2755
2009年,8.297,56.8129,0.0,130.4871,0.0,2.158,0.0,389.3953,0.0,1.7294,32.051,244.7766,147.6157,0.0,130.4871,0.0,2.3707,11.1731,10.52,57.3828,33.319,1.8913,152.6396,8.6748,18.5222,181.7279,6.884,64.5386,691.5547,1.8703,0.0
2010年,4.3,60.0,0.0,115.3,0.0,6.4,0.0,403.2,2.8,1.8,6.9,278.6,207.5,0.0,118.1,0.0,2.5,20.3,3.5,60.8,34.5,0.5,137.4,9.2,30.1,177.3,1.1,93.6,742.6457,4.9,0.0
2011年,2.1758,64.9176,0.0,122.3015,0.0,3.9592,7.0954,426.5391,2.6192,1.1837,33.2,316.9466,216.6532,289.6692,124.9207,510.592,1.1604,24.9933,11.1206,77.8832,40.6089,0.0,168.2914,8.2253,33.8564,210.3731,3.1699,81.0236,821.3689,1.9089,14.0123
