,中外合作经营连锁餐饮企业年末从业人数,中外合资经营连锁餐饮企业年末从业人数,其他外商投资连锁餐饮企业年末从业人数,其他有限责任公司连锁餐饮企业年末从业人数,其他港澳台商投资连锁餐饮企业年末从业人数,其他连锁餐饮企业年末从业人数,其他餐饮企业服务业年末从业人数,内资连锁餐饮企业年末从业人数,国有独资公司连锁餐饮企业年末从业人数,国有连锁餐饮企业年末从业人数,外商投资股份有限公司连锁餐饮企业年末从业人数,外商投资连锁餐饮企业年末从业人数,外资连锁餐饮企业年末从业人数,快餐服务业年末从业人数,有限责任公司连锁餐饮企业年末从业人数,正餐服务业年末从业人数,港、澳、台商合作经营连锁餐饮企业年末从业人数,港、澳、台商合资经营连锁餐饮企业年末从业人数,港、澳、台商投资股份有限公司连锁餐饮企业年末从业人数,港、澳、台商投资连锁餐饮企业年末从业人数,港、澳、台商独资经营连锁餐饮企业年末从业人数,私营合伙连锁餐饮企业年末从业人数,私营有限责任公司连锁餐饮企业年末从业人数,私营独资连锁餐饮企业年末从业人数,私营股份有限公司连锁餐饮企业年末从业人数,私营连锁餐饮企业年末从业人数,股份合作连锁餐饮企业年末从业人数,股份有限公司连锁餐饮企业年末从业人数,连锁餐饮企业年末从业人数,集体连锁餐饮企业年末从业人数,饮料及冷饮服务业年末从业人数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9,,
2005年,2.8289,5.5164,,5.1014,,0.0825,0.6183,24.8604,0.1324,0.2608,5.0,19.8589,6.5223,20.6498,5.2338,27.7924,0.1801,1.3863,,5.4236,3.8572,0.3188,15.0893,2.0101,0.598,18.0162,0.1795,1.0537,50.1,,1.0824
2006年,3.8934,5.3313,,5.9503,,0.0985,1.1162,28.6021,0.1631,0.2848,5.968,25.8545,10.6618,21.8529,6.1134,33.371,0.0209,1.5986,,2.8318,1.2123,0.2539,14.4457,4.7129,1.0077,20.4202,0.4104,1.1874,55.7,0.0874,0.9483
2007年,0.6331,5.1286,,9.9297,,0.2076,0.86,28.6666,0.1648,0.018,3.9041,25.4582,15.7924,22.6631,9.9297,34.8907,0.1028,0.5579,1.5076,4.618,2.4497,0.0618,9.3027,2.1002,0.2065,11.6712,0.1932,6.5751,62.5531,0.0718,0.329
