,中外合作经营连锁餐饮企业总店数,中外合资经营连锁餐饮企业总店数,其他外商投资连锁餐饮企业总店数,其他有限责任公司连锁餐饮企业总店数,其他港澳台商投资连锁餐饮企业总店数,其他连锁餐饮企业总店数,其他餐饮企业服务业总店数,内资连锁餐饮企业总店数,国有独资公司连锁餐饮企业总店数,国有连锁餐饮企业总店数,外商投资股份有限公司连锁餐饮企业总店数,外商投资连锁餐饮企业总店数,外资连锁餐饮企业总店数,快餐服务业总店数,有限责任公司连锁餐饮企业总店数,正餐服务业总店数,港、澳、台商合作经营连锁餐饮企业总店数,港、澳、台商合资经营连锁餐饮企业总店数,港、澳、台商投资股份有限公司连锁餐饮企业总店数,港、澳、台商投资连锁餐饮企业总店数,港、澳、台商独资经营连锁餐饮企业总店数,私营合伙连锁餐饮企业总店数,私营有限责任公司连锁餐饮企业总店数,私营独资连锁餐饮企业总店数,私营股份有限公司连锁餐饮企业总店数,私营连锁餐饮企业总店数,股份合作连锁餐饮企业总店数,股份有限公司连锁餐饮企业总店数,连锁餐饮企业总店数,集体连锁餐饮企业总店数,饮料及冷饮服务业总店数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,
2006年,12.0,14.0,,56.0,,1.0,,253.0,1.0,4.0,1.0,70.0,43.0,,57.0,,5.0,10.0,,26.0,11.0,4.0,138.0,24.0,8.0,174.0,8.0,8.0,349.0,1.0,
2007年,11.0,15.0,,57.0,,1.0,,257.0,2.0,5.0,1.0,79.0,52.0,,59.0,,1.0,7.0,,22.0,14.0,4.0,131.0,25.0,10.0,170.0,11.0,7.0,358.0,4.0,
2008年,8.0,16.0,,81.0,,2.0,,312.0,,3.0,3.0,96.0,69.0,,81.0,,3.0,7.0,1.0,45.0,34.0,5.0,171.0,23.0,6.0,205.0,6.0,12.0,453.0,3.0,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.0,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.0,,
2011年,2.0,13.0,,88.0,,10.0,19.0,295.0,1.0,3.0,1.0,83.0,67.0,144.0,89.0,254.0,3.0,12.0,1.0,50.0,34.0,,149.0,17.0,8.0,174.0,5.0,11.0,428.0,3.0,11.0
2012年,2.0,11.0,,90.0,,2.0,15.0,310.0,1.0,7.0,,87.0,74.0,155.0,91.0,271.0,2.0,12.0,1.0,59.0,44.0,1.0,162.0,20.0,8.0,191.0,4.0,13.0,456.0,2.0,15.0
2013年,1.0,14.0,,88.0,,3.0,15.0,301.0,1.0,8.0,1.0,95.0,79.0,165.0,89.0,257.0,2.0,10.0,1.0,58.0,45.0,,158.0,19.0,7.0,184.0,3.0,12.0,454.0,2.0,17.0
2014年,1.0,17.0,2.0,94.0,,3.0,17.0,306.0,1.0,6.0,1.0,98.0,77.0,162.0,95.0,267.0,1.0,11.0,1.0,61.0,48.0,,163.0,16.0,6.0,185.0,3.0,12.0,465.0,2.0,19.0
