,中外合作经营连锁餐饮企业门店总数,中外合资经营连锁餐饮企业门店总数,其他外商投资连锁餐饮企业门店总数,其他有限责任公司连锁餐饮企业门店总数,其他港澳台商投资连锁餐饮企业门店总数,其他连锁餐饮企业门店总数,其他餐饮企业服务业门店总数,内资连锁餐饮企业门店总数,国有独资公司连锁餐饮企业门店总数,国有连锁餐饮企业门店总数,外商投资股份有限公司连锁餐饮企业门店总数,外商投资连锁餐饮企业门店总数,外资连锁餐饮企业门店总数,快餐服务业门店总数,有限责任公司连锁餐饮企业门店总数,正餐服务业门店总数,港、澳、台商合作经营连锁餐饮企业门店总数,港、澳、台商合资经营连锁餐饮企业门店总数,港、澳、台商投资股份有限公司连锁餐饮企业门店总数,港、澳、台商投资连锁餐饮企业门店总数,港、澳、台商独资经营连锁餐饮企业门店总数,私营合伙连锁餐饮企业门店总数,私营有限责任公司连锁餐饮企业门店总数,私营独资连锁餐饮企业门店总数,私营股份有限公司连锁餐饮企业门店总数,私营连锁餐饮企业门店总数,股份合作连锁餐饮企业门店总数,股份有限公司连锁餐饮企业门店总数,连锁餐饮企业门店总数,集体连锁餐饮企业门店总数,饮料及冷饮服务业门店总数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7578,0,0
2005年,493,822,0,1182,0,10,954,5927,549,26,715,3341,1311,4213,1731,4244,21,237,0,480,222,50,3299,442,159,3950,37,168,9748,5,337
2006年,581,819,0,1373,0,11,1501,6882,581,30,721,4432,2311,4965,1954,5040,6,286,0,567,275,52,3490,886,220,4648,48,174,11360,17,375
2007年,136,939,0,1761,0,15,380,5336,598,16,397,4635,3163,4704,1761,5513,22,179,204,1002,597,23,2244,431,43,2741,24,761,12743,18,376
2008年,155,1128,0,1791,0,19,574,5789,0,16,436,5596,3877,5545,1791,5971,23,193,232,1176,728,83,2503,442,112,3140,23,782,12561,18,471
2009年,175,1195,0,1791,0,23,0,6061,0,18,551,6043,4122,0,1791,0,48,232,252,1635,1103,102,2939,131,147,3319,80,801,13739,29,0
2010年,72,1303,0,1863,0,134,0,6447,35,26,148,6849,5326,0,1898,0,52,484,347,2037,1154,69,2965,109,180,3323,35,1011,15333,20,0
2011年,52,1571,0,2073,0,107,346,6684,34,21,482,7507,5402,8893,2107,6237,9,611,61,2094,1413,0,3382,103,185,3670,19,744,16285,16,809
2012年,54,1754,0,2499,0,10,490,7248,30,47,0,8549,6741,10412,2529,6275,9,619,2,2356,1726,2,3464,113,218,3797,11,841,18153,13,976
2013年,37,2011,0,2602,0,12,496,7443,54,84,32,10308,8228,11886,2656,6704,6,597,2,2803,2198,0,3490,119,206,3815,9,855,20554,12,1468
2014年,47,2390,251,2766,0,12,588,7491,38,89,18,11470,8764,12854,2804,6959,4,646,2,3533,2881,0,3340,117,194,3651,9,915,22494,11,2093
