,专用设备制造业外商及港澳台商投资工业企业利息支出,交通运输设备制造业外商及港澳台商投资工业企业利息支出,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业利息支出,其他矿采选业外商及港澳台商投资工业企业利息支出,其它制造业外商及港澳台商投资工业企业利息支出,化学原料及化学制品制造业外商及港澳台商投资工业企业利息支出,化学纤维制造业外商及港澳台商投资工业企业利息支出,医药制造业外商及港澳台商投资工业企业利息支出,印刷业、记录媒介的复制外商及港澳台商投资工业企业利息支出,塑料制品业外商及港澳台商投资工业企业利息支出,外商及港澳台商投资工业企业利息支出,家具制造业外商及港澳台商投资工业企业利息支出,文教体育用品制造业外商及港澳台商投资工业企业利息支出,普通机械制造业外商及港澳台商投资工业企业利息支出,有色金属冶炼及压延加工业外商及港澳台商投资工业企业利息支出,有色金属矿采选业外商及港澳台商投资工业企业利息支出,服装及其他纤维制品制造业外商及港澳台商投资工业企业利息支出,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业利息支出,木材及竹材采运业外商及港澳台商投资工业企业利息支出,橡胶制品业外商及港澳台商投资工业企业利息支出,烟草加工业外商及港澳台商投资工业企业利息支出,煤气生产和供应业外商及港澳台商投资工业企业利息支出,煤炭采选业外商及港澳台商投资工业企业利息支出,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业利息支出,电子及通信设备制造业外商及港澳台商投资工业企业利息支出,电气机械及器材制造业外商及港澳台商投资工业企业利息支出,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业利息支出,石油加工及炼焦业外商及港澳台商投资工业企业利息支出,石油和天然气开采业外商及港澳台商投资工业企业利息支出,纺织业外商及港澳台商投资工业企业利息支出,自来水的生产和供应业外商及港澳台商投资工业企业利息支出,造纸及纸制品业外商及港澳台商投资工业企业利息支出,金属制品业外商及港澳台商投资工业企业利息支出,非金属矿物制造业外商及港澳台商投资工业企业利息支出,非金属矿采选业外商及港澳台商投资工业企业利息支出,食品制造业外商及港澳台商投资工业企业利息支出,食品加工业外商及港澳台商投资工业企业利息支出,饮料制造业外商及港澳台商投资工业企业利息支出,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业利息支出,黑色金属矿采选业外商及港澳台商投资工业企业利息支出
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,4.07803,25.52651,1.21141,0.0007,3.00524,19.93008,9.32458,6.47603,3.00479,10.58275,359.68155,2.26683,2.07077,9.59918,6.27661,0.0919,7.96591,4.63245,0.0,8.21325,0.11088,0.51361,0.02528,62.55341,36.0512,20.56918,5.51389,5.34591,0.06241,19.93788,0.3665,16.70796,13.97308,20.25688,0.25127,6.51023,11.65025,8.99852,6.01861,0.00758
2001年,3.52601,20.71835,0.92748,0.0,2.59943,18.72409,5.73648,5.98411,3.24402,8.81347,331.95909,1.48946,1.77849,9.46782,5.36411,0.07955,6.36425,4.25252,0.0,7.73085,0.06644,0.31737,0.27923,67.26423,31.99157,17.73945,5.00808,6.12003,0.76117,16.60551,0.68379,19.30286,11.65994,16.67627,0.1541,5.26129,11.63065,6.15669,7.47061,0.00932
2002年,3.45465,13.39524,1.17636,0.0,1.56444,16.97513,5.79646,6.75501,3.14805,9.73193,305.32332,1.83883,-5.17835,7.98474,6.31059,0.07251,6.57672,3.33015,0.0,7.47919,0.10072,0.7614,0.41799,64.39756,30.02621,15.28411,4.5971,6.32997,0.76577,15.14003,0.68553,17.25337,10.82602,14.69558,0.11176,7.2137,12.13788,5.67341,8.25428,0.01162
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
