,专用设备制造业外商及港澳台商投资工业企业财务费用,交通运输设备制造业外商及港澳台商投资工业企业财务费用,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业财务费用,其他矿采选业外商及港澳台商投资工业企业财务费用,其它制造业外商及港澳台商投资工业企业财务费用,化学原料及化学制品制造业外商及港澳台商投资工业企业财务费用,化学纤维制造业外商及港澳台商投资工业企业财务费用,医药制造业外商及港澳台商投资工业企业财务费用,印刷业、记录媒介的复制外商及港澳台商投资工业企业财务费用,塑料制品业外商及港澳台商投资工业企业财务费用,外商及港澳台商投资工业企业财务费用,家具制造业外商及港澳台商投资工业企业财务费用,文教体育用品制造业外商及港澳台商投资工业企业财务费用,普通机械制造业外商及港澳台商投资工业企业财务费用,有色金属冶炼及压延加工业外商及港澳台商投资工业企业财务费用,有色金属矿采选业外商及港澳台商投资工业企业财务费用,服装及其他纤维制品制造业外商及港澳台商投资工业企业财务费用,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业财务费用,木材及竹材采运业外商及港澳台商投资工业企业财务费用,橡胶制品业外商及港澳台商投资工业企业财务费用,烟草加工业外商及港澳台商投资工业企业财务费用,煤气生产和供应业外商及港澳台商投资工业企业财务费用,煤炭采选业外商及港澳台商投资工业企业财务费用,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业财务费用,电子及通信设备制造业外商及港澳台商投资工业企业财务费用,电气机械及器材制造业外商及港澳台商投资工业企业财务费用,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业财务费用,石油加工及炼焦业外商及港澳台商投资工业企业财务费用,石油和天然气开采业外商及港澳台商投资工业企业财务费用,纺织业外商及港澳台商投资工业企业财务费用,自来水的生产和供应业外商及港澳台商投资工业企业财务费用,造纸及纸制品业外商及港澳台商投资工业企业财务费用,金属制品业外商及港澳台商投资工业企业财务费用,非金属矿物制造业外商及港澳台商投资工业企业财务费用,非金属矿采选业外商及港澳台商投资工业企业财务费用,食品制造业外商及港澳台商投资工业企业财务费用,食品加工业外商及港澳台商投资工业企业财务费用,饮料制造业外商及港澳台商投资工业企业财务费用,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业财务费用,黑色金属矿采选业外商及港澳台商投资工业企业财务费用
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,4.31151,29.67895,1.42908,0.04736,3.7809,21.69064,9.93097,7.9707,3.42569,12.33877,393.60872,2.75062,2.77505,9.68126,7.41067,0.14722,10.66205,5.39551,0.0,8.88203,0.11438,0.62347,0.09593,65.43826,35.75284,21.92035,7.25985,5.5096,0.03768,21.06686,0.36907,17.39453,16.39814,20.83388,0.30751,8.29275,13.83307,9.62364,6.42025,0.00768
2001年,3.42158,23.79537,1.30401,0.0,3.38933,21.02114,5.556,8.15948,3.54524,12.4868,378.39986,2.13731,2.85758,10.10769,6.12077,0.13392,9.91032,4.95144,0.0,8.6854,0.07136,0.43282,0.40257,67.68288,36.31343,23.63662,6.74508,6.65091,1.41759,19.1122,0.80047,19.26198,14.93807,17.82102,0.27485,7.47975,12.44877,6.83421,8.47994,0.01196
2002年,5.10171,18.23977,2.19566,0.0,2.5095,20.57184,6.33114,9.23072,3.68878,12.45717,390.62326,2.25312,2.67678,9.87003,7.25409,0.07813,9.18855,4.84236,0.0,7.93972,0.10628,0.88628,0.41875,69.44988,47.6793,20.59373,6.53275,7.38825,0.86478,19.40644,0.70592,21.27613,13.55867,17.61243,0.17002,9.73634,13.96104,6.85871,8.74678,0.01365
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
