,专用设备制造业外商及港澳台商投资工业企业国家资本金,交通运输设备制造业外商及港澳台商投资工业企业国家资本金,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业国家资本金,其他矿采选业外商及港澳台商投资工业企业国家资本金,其它制造业外商及港澳台商投资工业企业国家资本金,化学原料及化学制品制造业外商及港澳台商投资工业企业国家资本金,化学纤维制造业外商及港澳台商投资工业企业国家资本金,医药制造业外商及港澳台商投资工业企业国家资本金,印刷业、记录媒介的复制外商及港澳台商投资工业企业国家资本金,塑料制品业外商及港澳台商投资工业企业国家资本金,外商及港澳台商投资工业企业国家资本金,家具制造业外商及港澳台商投资工业企业国家资本金,文教体育用品制造业外商及港澳台商投资工业企业国家资本金,普通机械制造业外商及港澳台商投资工业企业国家资本金,有色金属冶炼及压延加工业外商及港澳台商投资工业企业国家资本金,有色金属矿采选业外商及港澳台商投资工业企业国家资本金,服装及其他纤维制品制造业外商及港澳台商投资工业企业国家资本金,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业国家资本金,木材及竹材采运业外商及港澳台商投资工业企业国家资本金,橡胶制品业外商及港澳台商投资工业企业国家资本金,烟草加工业外商及港澳台商投资工业企业国家资本金,煤气生产和供应业外商及港澳台商投资工业企业国家资本金,煤炭采选业外商及港澳台商投资工业企业国家资本金,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业国家资本金,电子及通信设备制造业外商及港澳台商投资工业企业国家资本金,电气机械及器材制造业外商及港澳台商投资工业企业国家资本金,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业国家资本金,石油加工及炼焦业外商及港澳台商投资工业企业国家资本金,石油和天然气开采业外商及港澳台商投资工业企业国家资本金,纺织业外商及港澳台商投资工业企业国家资本金,自来水的生产和供应业外商及港澳台商投资工业企业国家资本金,造纸及纸制品业外商及港澳台商投资工业企业国家资本金,金属制品业外商及港澳台商投资工业企业国家资本金,非金属矿物制造业外商及港澳台商投资工业企业国家资本金,非金属矿采选业外商及港澳台商投资工业企业国家资本金,食品制造业外商及港澳台商投资工业企业国家资本金,食品加工业外商及港澳台商投资工业企业国家资本金,饮料制造业外商及港澳台商投资工业企业国家资本金,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业国家资本金,黑色金属矿采选业外商及港澳台商投资工业企业国家资本金
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,18.7987,98.05489,12.6588,0.0,2.9337,46.44228,52.00892,19.78983,11.761,16.55276,981.04628,1.5316,3.90024,44.6409,19.46892,0.05953,9.72568,9.1607,0.0,18.42331,0.99067,2.97956,0.019,165.57822,82.39122,42.56162,4.00445,4.75867,0.0,36.28622,2.14959,30.18449,26.38665,60.92716,2.48933,21.60908,37.33404,51.28155,23.1574,0.0456
2001年,17.99188,117.39821,11.78064,0.0,3.64026,51.32297,16.13898,20.80477,13.57187,18.41902,1011.43051,1.24567,3.80734,42.44328,20.69454,0.0669,15.54823,8.80901,0.0,20.22883,1.90169,2.45244,2.51737,196.61746,78.33807,44.11965,3.95838,44.7623,0.0,38.04186,4.81655,27.02026,20.24823,43.18005,1.16096,16.72252,28.36175,46.23033,26.82164,0.2466
2002年,19.84393,155.60842,11.31303,0.0,2.45842,47.08668,16.79395,25.18906,11.62206,15.28809,1021.11634,1.13037,2.00515,46.10844,19.18906,0.06951,16.23038,8.74592,0.0,22.66619,1.44486,3.10577,2.09657,219.42443,79.45889,37.64501,3.86032,4.97667,0.0,35.68388,6.74288,27.76287,19.41908,43.86572,1.0835,18.43241,27.63183,43.57648,22.72252,0.148
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
