,专用设备制造业外商及港澳台商投资工业企业产成品,交通运输设备制造业外商及港澳台商投资工业企业产成品,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业产成品,其他矿采选业外商及港澳台商投资工业企业产成品,其它制造业外商及港澳台商投资工业企业产成品,化学原料及化学制品制造业外商及港澳台商投资工业企业产成品,化学纤维制造业外商及港澳台商投资工业企业产成品,医药制造业外商及港澳台商投资工业企业产成品,印刷业、记录媒介的复制外商及港澳台商投资工业企业产成品,塑料制品业外商及港澳台商投资工业企业产成品,外商及港澳台商投资工业企业产成品,家具制造业外商及港澳台商投资工业企业产成品,文教体育用品制造业外商及港澳台商投资工业企业产成品,普通机械制造业外商及港澳台商投资工业企业产成品,有色金属冶炼及压延加工业外商及港澳台商投资工业企业产成品,有色金属矿采选业外商及港澳台商投资工业企业产成品,服装及其他纤维制品制造业外商及港澳台商投资工业企业产成品,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业产成品,木材及竹材采运业外商及港澳台商投资工业企业产成品,橡胶制品业外商及港澳台商投资工业企业产成品,烟草加工业外商及港澳台商投资工业企业产成品,煤气生产和供应业外商及港澳台商投资工业企业产成品,煤炭采选业外商及港澳台商投资工业企业产成品,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业产成品,电子及通信设备制造业外商及港澳台商投资工业企业产成品,电气机械及器材制造业外商及港澳台商投资工业企业产成品,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业产成品,石油加工及炼焦业外商及港澳台商投资工业企业产成品,石油和天然气开采业外商及港澳台商投资工业企业产成品,纺织业外商及港澳台商投资工业企业产成品,自来水的生产和供应业外商及港澳台商投资工业企业产成品,造纸及纸制品业外商及港澳台商投资工业企业产成品,金属制品业外商及港澳台商投资工业企业产成品,非金属矿物制造业外商及港澳台商投资工业企业产成品,非金属矿采选业外商及港澳台商投资工业企业产成品,食品制造业外商及港澳台商投资工业企业产成品,食品加工业外商及港澳台商投资工业企业产成品,饮料制造业外商及港澳台商投资工业企业产成品,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业产成品,黑色金属矿采选业外商及港澳台商投资工业企业产成品
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
