,专用设备制造业外商及港澳台商投资工业企业应收帐款净额,交通运输设备制造业外商及港澳台商投资工业企业应收帐款净额,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业应收帐款净额,其他矿采选业外商及港澳台商投资工业企业应收帐款净额,其它制造业外商及港澳台商投资工业企业应收帐款净额,化学原料及化学制品制造业外商及港澳台商投资工业企业应收帐款净额,化学纤维制造业外商及港澳台商投资工业企业应收帐款净额,医药制造业外商及港澳台商投资工业企业应收帐款净额,印刷业、记录媒介的复制外商及港澳台商投资工业企业应收帐款净额,塑料制品业外商及港澳台商投资工业企业应收帐款净额,外商及港澳台商投资工业企业应收帐款净额,家具制造业外商及港澳台商投资工业企业应收帐款净额,文教体育用品制造业外商及港澳台商投资工业企业应收帐款净额,普通机械制造业外商及港澳台商投资工业企业应收帐款净额,有色金属冶炼及压延加工业外商及港澳台商投资工业企业应收帐款净额,有色金属矿采选业外商及港澳台商投资工业企业应收帐款净额,服装及其他纤维制品制造业外商及港澳台商投资工业企业应收帐款净额,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业应收帐款净额,木材及竹材采运业外商及港澳台商投资工业企业应收帐款净额,橡胶制品业外商及港澳台商投资工业企业应收帐款净额,烟草加工业外商及港澳台商投资工业企业应收帐款净额,煤气生产和供应业外商及港澳台商投资工业企业应收帐款净额,煤炭采选业外商及港澳台商投资工业企业应收帐款净额,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业应收帐款净额,电子及通信设备制造业外商及港澳台商投资工业企业应收帐款净额,电气机械及器材制造业外商及港澳台商投资工业企业应收帐款净额,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业应收帐款净额,石油加工及炼焦业外商及港澳台商投资工业企业应收帐款净额,石油和天然气开采业外商及港澳台商投资工业企业应收帐款净额,纺织业外商及港澳台商投资工业企业应收帐款净额,自来水的生产和供应业外商及港澳台商投资工业企业应收帐款净额,造纸及纸制品业外商及港澳台商投资工业企业应收帐款净额,金属制品业外商及港澳台商投资工业企业应收帐款净额,非金属矿物制造业外商及港澳台商投资工业企业应收帐款净额,非金属矿采选业外商及港澳台商投资工业企业应收帐款净额,食品制造业外商及港澳台商投资工业企业应收帐款净额,食品加工业外商及港澳台商投资工业企业应收帐款净额,饮料制造业外商及港澳台商投资工业企业应收帐款净额,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业应收帐款净额,黑色金属矿采选业外商及港澳台商投资工业企业应收帐款净额
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,68.80248,301.87901,91.06769,0.0639,59.89229,203.66448,28.11211,91.28785,50.5813,165.03185,4045.91934,31.25121,58.07753,165.27579,45.81362,0.40704,130.64701,25.15832,0.0,65.62478,1.0153,3.14229,1.75747,123.40207,1109.72664,303.84591,101.57143,9.39251,0.03947,152.42142,0.97092,98.87293,179.11973,140.00369,3.28431,70.90004,72.9214,47.76156,43.05971,0.07228
2001年,80.86597,289.80945,90.9512,0.0,60.43627,215.20175,18.3093,97.73142,52.06215,169.72914,4351.93387,29.76411,70.46977,188.74406,37.27388,1.17624,132.96762,23.27101,0.0,65.81391,2.54819,2.9664,2.42701,133.68638,1308.25873,315.33666,105.42392,19.2541,1.00549,161.66226,2.60453,106.11618,178.48326,144.4429,1.99079,76.67068,68.66641,52.85806,42.87191,0.08276
2002年,99.67413,276.95726,124.92738,0.0,74.19571,256.53618,21.18522,109.72836,67.05861,198.63262,5114.66501,31.1367,83.37356,216.24667,42.34955,2.31908,152.59666,23.90602,0.0,69.71611,1.27337,2.36987,2.75317,152.03947,1577.83151,380.24616,141.02695,22.38853,1.12287,182.31625,3.65105,121.10395,223.48971,177.20433,1.89848,88.80156,88.29124,53.01185,42.9824,0.09057
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
