,专用设备制造业外商及港澳台商投资工业企业亏损企业单位数,交通运输设备制造业外商及港澳台商投资工业企业亏损企业单位数,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业亏损企业单位数,其他矿采选业外商及港澳台商投资工业企业亏损企业单位数,其它制造业外商及港澳台商投资工业企业亏损企业单位数,化学原料及化学制品制造业外商及港澳台商投资工业企业亏损企业单位数,化学纤维制造业外商及港澳台商投资工业企业亏损企业单位数,医药制造业外商及港澳台商投资工业企业亏损企业单位数,印刷业、记录媒介的复制外商及港澳台商投资工业企业亏损企业单位数,塑料制品业外商及港澳台商投资工业企业亏损企业单位数,外商及港澳台商投资工业企业亏损企业单位数,家具制造业外商及港澳台商投资工业企业亏损企业单位数,文教体育用品制造业外商及港澳台商投资工业企业亏损企业单位数,普通机械制造业外商及港澳台商投资工业企业亏损企业单位数,有色金属冶炼及压延加工业外商及港澳台商投资工业企业亏损企业单位数,有色金属矿采选业外商及港澳台商投资工业企业亏损企业单位数,服装及其他纤维制品制造业外商及港澳台商投资工业企业亏损企业单位数,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业亏损企业单位数,木材及竹材采运业外商及港澳台商投资工业企业亏损企业单位数,橡胶制品业外商及港澳台商投资工业企业亏损企业单位数,烟草加工业外商及港澳台商投资工业企业亏损企业单位数,煤气生产和供应业外商及港澳台商投资工业企业亏损企业单位数,煤炭采选业外商及港澳台商投资工业企业亏损企业单位数,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业亏损企业单位数,电子及通信设备制造业外商及港澳台商投资工业企业亏损企业单位数,电气机械及器材制造业外商及港澳台商投资工业企业亏损企业单位数,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业亏损企业单位数,石油加工及炼焦业外商及港澳台商投资工业企业亏损企业单位数,石油和天然气开采业外商及港澳台商投资工业企业亏损企业单位数,纺织业外商及港澳台商投资工业企业亏损企业单位数,自来水的生产和供应业外商及港澳台商投资工业企业亏损企业单位数,造纸及纸制品业外商及港澳台商投资工业企业亏损企业单位数,金属制品业外商及港澳台商投资工业企业亏损企业单位数,非金属矿物制造业外商及港澳台商投资工业企业亏损企业单位数,非金属矿采选业外商及港澳台商投资工业企业亏损企业单位数,食品制造业外商及港澳台商投资工业企业亏损企业单位数,食品加工业外商及港澳台商投资工业企业亏损企业单位数,饮料制造业外商及港澳台商投资工业企业亏损企业单位数,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业亏损企业单位数,黑色金属矿采选业外商及港澳台商投资工业企业亏损企业单位数
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,142,267,103,0,268,373,61,127,128,579,7635,123,240,250,108,4,654,196,0,96,1,19,1,94,543,383,315,33,0,540,2,189,447,453,17,289,360,168,60,2
2001年,170,260,142,0,297,441,72,136,140,614,8669,150,239,280,118,5,851,186,0,105,1,21,0,81,684,491,341,33,0,624,3,230,525,476,22,311,384,168,66,2
2002年,168,272,145,0,320,417,64,157,136,602,8698,151,249,253,91,3,878,203,0,94,1,20,4,73,733,491,372,27,0,642,5,193,510,482,19,312,407,143,58,2
2003年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
