,专用设备制造业外商及港澳台商投资工业企业销售费用,交通运输设备制造业外商及港澳台商投资工业企业销售费用,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业销售费用,其他矿采选业外商及港澳台商投资工业企业销售费用,其它制造业外商及港澳台商投资工业企业销售费用,化学原料及化学制品制造业外商及港澳台商投资工业企业销售费用,化学纤维制造业外商及港澳台商投资工业企业销售费用,医药制造业外商及港澳台商投资工业企业销售费用,印刷业、记录媒介的复制外商及港澳台商投资工业企业销售费用,塑料制品业外商及港澳台商投资工业企业销售费用,外商及港澳台商投资工业企业销售费用,家具制造业外商及港澳台商投资工业企业销售费用,文教体育用品制造业外商及港澳台商投资工业企业销售费用,普通机械制造业外商及港澳台商投资工业企业销售费用,有色金属冶炼及压延加工业外商及港澳台商投资工业企业销售费用,有色金属矿采选业外商及港澳台商投资工业企业销售费用,服装及其他纤维制品制造业外商及港澳台商投资工业企业销售费用,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业销售费用,木材及竹材采运业外商及港澳台商投资工业企业销售费用,橡胶制品业外商及港澳台商投资工业企业销售费用,烟草加工业外商及港澳台商投资工业企业销售费用,煤气生产和供应业外商及港澳台商投资工业企业销售费用,煤炭采选业外商及港澳台商投资工业企业销售费用,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业销售费用,电子及通信设备制造业外商及港澳台商投资工业企业销售费用,电气机械及器材制造业外商及港澳台商投资工业企业销售费用,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业销售费用,石油加工及炼焦业外商及港澳台商投资工业企业销售费用,石油和天然气开采业外商及港澳台商投资工业企业销售费用,纺织业外商及港澳台商投资工业企业销售费用,自来水的生产和供应业外商及港澳台商投资工业企业销售费用,造纸及纸制品业外商及港澳台商投资工业企业销售费用,金属制品业外商及港澳台商投资工业企业销售费用,非金属矿物制造业外商及港澳台商投资工业企业销售费用,非金属矿采选业外商及港澳台商投资工业企业销售费用,食品制造业外商及港澳台商投资工业企业销售费用,食品加工业外商及港澳台商投资工业企业销售费用,饮料制造业外商及港澳台商投资工业企业销售费用,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业销售费用,黑色金属矿采选业外商及港澳台商投资工业企业销售费用
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,16.62049,51.98999,14.24468,0.0,18.3026,114.19013,5.93039,83.12651,5.30111,24.38023,1044.83643,7.67517,10.67907,28.9114,4.96984,0.20761,38.41654,8.38618,0.0,12.308,0.20804,1.08557,0.50508,2.70484,164.43336,88.9672,15.1359,8.21341,0.00099,23.4502,0.03632,21.88457,37.04599,31.95049,1.76823,75.03546,30.65353,91.01349,5.07159,0.03223
2001年,21.2042,54.97834,19.91648,0.0,18.98395,141.44902,4.04511,97.02455,6.59557,29.81764,1235.54143,8.9842,9.99377,34.04638,5.08815,0.1784,41.54377,8.73866,0.0,15.96894,0.24978,1.07712,8.06071,3.62908,203.86009,100.63043,18.10042,11.12835,0.10587,25.42304,0.04973,28.67772,45.86064,36.76048,2.10055,89.92836,34.06119,99.64885,7.55832,0.07357
2002年,28.43354,80.65762,23.06687,0.0,18.19887,167.67587,4.95762,111.31146,6.92602,30.79361,1434.04339,10.18244,13.42324,43.85083,5.87054,0.30072,44.94349,9.01978,0.0,19.09655,0.58359,1.24987,10.17586,2.86313,243.3385,110.90674,19.48018,14.36682,0.08702,27.89944,0.22056,30.65869,46.28585,40.65987,1.75061,107.2057,41.4044,107.48574,8.57809,0.06955
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
