,专用设备制造业外商及港澳台商投资工业企业所有者权益合计,交通运输设备制造业外商及港澳台商投资工业企业所有者权益合计,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业所有者权益合计,其他矿采选业外商及港澳台商投资工业企业所有者权益合计,其它制造业外商及港澳台商投资工业企业所有者权益合计,化学原料及化学制品制造业外商及港澳台商投资工业企业所有者权益合计,化学纤维制造业外商及港澳台商投资工业企业所有者权益合计,医药制造业外商及港澳台商投资工业企业所有者权益合计,印刷业、记录媒介的复制外商及港澳台商投资工业企业所有者权益合计,塑料制品业外商及港澳台商投资工业企业所有者权益合计,外商及港澳台商投资工业企业所有者权益合计,家具制造业外商及港澳台商投资工业企业所有者权益合计,文教体育用品制造业外商及港澳台商投资工业企业所有者权益合计,普通机械制造业外商及港澳台商投资工业企业所有者权益合计,有色金属冶炼及压延加工业外商及港澳台商投资工业企业所有者权益合计,有色金属矿采选业外商及港澳台商投资工业企业所有者权益合计,服装及其他纤维制品制造业外商及港澳台商投资工业企业所有者权益合计,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业所有者权益合计,木材及竹材采运业外商及港澳台商投资工业企业所有者权益合计,橡胶制品业外商及港澳台商投资工业企业所有者权益合计,烟草加工业外商及港澳台商投资工业企业所有者权益合计,煤气生产和供应业外商及港澳台商投资工业企业所有者权益合计,煤炭采选业外商及港澳台商投资工业企业所有者权益合计,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业所有者权益合计,电子及通信设备制造业外商及港澳台商投资工业企业所有者权益合计,电气机械及器材制造业外商及港澳台商投资工业企业所有者权益合计,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业所有者权益合计,石油加工及炼焦业外商及港澳台商投资工业企业所有者权益合计,石油和天然气开采业外商及港澳台商投资工业企业所有者权益合计,纺织业外商及港澳台商投资工业企业所有者权益合计,自来水的生产和供应业外商及港澳台商投资工业企业所有者权益合计,造纸及纸制品业外商及港澳台商投资工业企业所有者权益合计,金属制品业外商及港澳台商投资工业企业所有者权益合计,非金属矿物制造业外商及港澳台商投资工业企业所有者权益合计,非金属矿采选业外商及港澳台商投资工业企业所有者权益合计,食品制造业外商及港澳台商投资工业企业所有者权益合计,食品加工业外商及港澳台商投资工业企业所有者权益合计,饮料制造业外商及港澳台商投资工业企业所有者权益合计,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业所有者权益合计,黑色金属矿采选业外商及港澳台商投资工业企业所有者权益合计
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,185.06937,941.77852,161.71142,0.1147,154.69288,645.4301,282.09848,255.32935,146.24836,419.69355,11054.36,67.90716,144.08692,464.06278,132.54268,0.89067,355.37248,93.44974,0.0,156.11809,7.68024,17.39873,1.43537,940.64637,1693.26064,667.57612,178.2362,57.31243,31.77956,496.78411,11.78651,332.53563,415.38093,556.88226,9.77871,285.51284,253.1825,329.30093,160.82735,0.46358
2001年,220.2949,1075.69621,187.92547,0.0,186.78726,752.24136,147.56136,274.64805,183.57907,509.20637,12794.29,82.57739,165.24922,543.54156,117.9314,1.52407,380.64898,110.51094,0.0,170.25269,12.52648,18.1475,11.99229,1139.43873,1962.88916,811.8815,196.63048,201.421,96.46639,589.28848,18.75727,366.22322,493.33907,593.40105,9.0962,310.6375,274.15227,370.37175,206.63857,0.81352
2002年,272.24407,1253.39297,235.48882,0.0,212.83925,819.48563,171.03421,314.61997,195.20801,574.51036,14359.94,95.50589,186.9579,593.49107,167.76623,1.11137,426.79781,106.63451,0.0,210.42385,8.3728,25.38392,11.64496,1285.27628,2197.77278,857.99983,242.89678,230.54358,93.96721,674.09456,43.16105,397.17267,533.61022,639.02278,8.88883,352.82619,326.84364,371.27977,219.48922,0.96992
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
