,专用设备制造业外商及港澳台商投资工业企业主营业务税金及附加,交通运输设备制造业外商及港澳台商投资工业企业主营业务税金及附加,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业主营业务税金及附加,其他矿采选业外商及港澳台商投资工业企业主营业务税金及附加,其它制造业外商及港澳台商投资工业企业主营业务税金及附加,化学原料及化学制品制造业外商及港澳台商投资工业企业主营业务税金及附加,化学纤维制造业外商及港澳台商投资工业企业主营业务税金及附加,医药制造业外商及港澳台商投资工业企业主营业务税金及附加,印刷业、记录媒介的复制外商及港澳台商投资工业企业主营业务税金及附加,塑料制品业外商及港澳台商投资工业企业主营业务税金及附加,外商及港澳台商投资工业企业主营业务税金及附加,家具制造业外商及港澳台商投资工业企业主营业务税金及附加,文教体育用品制造业外商及港澳台商投资工业企业主营业务税金及附加,普通机械制造业外商及港澳台商投资工业企业主营业务税金及附加,有色金属冶炼及压延加工业外商及港澳台商投资工业企业主营业务税金及附加,有色金属矿采选业外商及港澳台商投资工业企业主营业务税金及附加,服装及其他纤维制品制造业外商及港澳台商投资工业企业主营业务税金及附加,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业主营业务税金及附加,木材及竹材采运业外商及港澳台商投资工业企业主营业务税金及附加,橡胶制品业外商及港澳台商投资工业企业主营业务税金及附加,烟草加工业外商及港澳台商投资工业企业主营业务税金及附加,煤气生产和供应业外商及港澳台商投资工业企业主营业务税金及附加,煤炭采选业外商及港澳台商投资工业企业主营业务税金及附加,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业主营业务税金及附加,电子及通信设备制造业外商及港澳台商投资工业企业主营业务税金及附加,电气机械及器材制造业外商及港澳台商投资工业企业主营业务税金及附加,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业主营业务税金及附加,石油加工及炼焦业外商及港澳台商投资工业企业主营业务税金及附加,石油和天然气开采业外商及港澳台商投资工业企业主营业务税金及附加,纺织业外商及港澳台商投资工业企业主营业务税金及附加,自来水的生产和供应业外商及港澳台商投资工业企业主营业务税金及附加,造纸及纸制品业外商及港澳台商投资工业企业主营业务税金及附加,金属制品业外商及港澳台商投资工业企业主营业务税金及附加,非金属矿物制造业外商及港澳台商投资工业企业主营业务税金及附加,非金属矿采选业外商及港澳台商投资工业企业主营业务税金及附加,食品制造业外商及港澳台商投资工业企业主营业务税金及附加,食品加工业外商及港澳台商投资工业企业主营业务税金及附加,饮料制造业外商及港澳台商投资工业企业主营业务税金及附加,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业主营业务税金及附加,黑色金属矿采选业外商及港澳台商投资工业企业主营业务税金及附加
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.41427,48.2461,0.45238,0.00281,1.37395,7.71081,5.55648,1.53863,0.26858,1.22075,129.76,0.4406,0.51976,1.09862,0.30339,0.00666,2.79487,0.54506,0.0,9.05488,1.92107,0.03742,0.05535,1.14819,4.34998,1.71217,1.26721,4.59503,5.58348,2.25357,0.02641,0.63214,1.46237,1.98581,0.12912,0.803,0.9193,18.92831,0.38761,0.01052
2001年,0.96299,51.07166,0.54052,0.0,1.36882,9.08648,0.19882,1.24562,0.19748,2.19037,134.78,0.4771,0.49457,0.91091,0.26051,0.01007,2.39592,0.67771,0.0,5.3532,1.63085,0.05558,0.1336,0.70032,3.64695,2.80814,1.36582,9.58985,5.87966,2.21776,0.0033,0.61372,2.49442,2.15451,0.14407,1.51259,0.98088,21.13283,0.26315,0.014
2002年,0.56543,65.25574,0.4964,0.0,1.23947,10.35696,0.42308,1.04045,0.24753,1.4298,151.87,0.30756,0.49524,1.22982,0.21021,0.01053,2.83264,0.48146,0.0,6.0356,1.91006,0.07034,0.15317,0.70667,3.39509,1.77811,1.57651,10.49172,6.42179,2.42465,0.01851,0.66128,2.0402,2.48674,0.16344,1.07537,1.52734,22.01879,0.26571,0.01573
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
