,专用设备制造业外商及港澳台商投资工业企业实收资本,交通运输设备制造业外商及港澳台商投资工业企业实收资本,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业实收资本,其他矿采选业外商及港澳台商投资工业企业实收资本,其它制造业外商及港澳台商投资工业企业实收资本,化学原料及化学制品制造业外商及港澳台商投资工业企业实收资本,化学纤维制造业外商及港澳台商投资工业企业实收资本,医药制造业外商及港澳台商投资工业企业实收资本,印刷业、记录媒介的复制外商及港澳台商投资工业企业实收资本,塑料制品业外商及港澳台商投资工业企业实收资本,外商及港澳台商投资工业企业实收资本,家具制造业外商及港澳台商投资工业企业实收资本,文教体育用品制造业外商及港澳台商投资工业企业实收资本,普通机械制造业外商及港澳台商投资工业企业实收资本,有色金属冶炼及压延加工业外商及港澳台商投资工业企业实收资本,有色金属矿采选业外商及港澳台商投资工业企业实收资本,服装及其他纤维制品制造业外商及港澳台商投资工业企业实收资本,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业实收资本,木材及竹材采运业外商及港澳台商投资工业企业实收资本,橡胶制品业外商及港澳台商投资工业企业实收资本,烟草加工业外商及港澳台商投资工业企业实收资本,煤气生产和供应业外商及港澳台商投资工业企业实收资本,煤炭采选业外商及港澳台商投资工业企业实收资本,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业实收资本,电子及通信设备制造业外商及港澳台商投资工业企业实收资本,电气机械及器材制造业外商及港澳台商投资工业企业实收资本,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业实收资本,石油加工及炼焦业外商及港澳台商投资工业企业实收资本,石油和天然气开采业外商及港澳台商投资工业企业实收资本,纺织业外商及港澳台商投资工业企业实收资本,自来水的生产和供应业外商及港澳台商投资工业企业实收资本,造纸及纸制品业外商及港澳台商投资工业企业实收资本,金属制品业外商及港澳台商投资工业企业实收资本,非金属矿物制造业外商及港澳台商投资工业企业实收资本,非金属矿采选业外商及港澳台商投资工业企业实收资本,食品制造业外商及港澳台商投资工业企业实收资本,食品加工业外商及港澳台商投资工业企业实收资本,饮料制造业外商及港澳台商投资工业企业实收资本,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业实收资本,黑色金属矿采选业外商及港澳台商投资工业企业实收资本
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,149.83737,663.85876,127.82244,0.0183,129.27873,535.34717,208.39589,174.43292,110.83314,372.89159,9080.11221,54.92696,125.52671,384.59538,132.42664,0.85394,277.81953,94.77196,0.0,146.11794,6.29387,15.39415,0.91876,687.00371,1093.14428,591.01218,155.10575,44.9999,21.9905,481.98521,8.76826,294.23193,389.55107,538.14606,9.77168,300.22837,251.89668,345.84699,153.57472,0.49277
2001年,177.22902,736.42999,138.8704,0.0,143.57265,623.27721,137.10559,198.16042,140.03632,437.25046,10256.78317,65.07496,130.66132,446.06233,124.14783,1.455,301.39768,106.87379,0.0,160.06924,10.21081,23.88951,6.52807,815.89501,1269.83516,666.40617,171.05389,120.86871,62.56813,539.04087,14.46128,320.26672,451.7676,563.66399,8.85649,336.68272,265.7526,368.159,172.44751,0.75472
2002年,199.32067,824.86322,171.49545,0.0,176.52292,696.45375,151.75975,239.52855,150.149,498.41615,11447.27689,77.32556,151.99848,490.63423,162.6635,1.33981,336.95391,110.81052,0.0,189.55251,7.02954,27.46635,6.59176,815.4232,1566.55646,710.59268,194.8946,137.07873,56.58642,607.49555,37.38951,353.02785,476.74762,602.0528,9.48853,356.71402,296.27553,384.56643,169.76517,1.06017
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
