,专用设备制造业外商及港澳台商投资工业亏损企业亏损总额,交通运输设备制造业外商及港澳台商投资工业亏损企业亏损总额,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业亏损企业亏损总额,其他矿采选业外商及港澳台商投资工业亏损企业亏损总额,其它制造业外商及港澳台商投资工业亏损企业亏损总额,化学原料及化学制品制造业外商及港澳台商投资工业亏损企业亏损总额,化学纤维制造业外商及港澳台商投资工业亏损企业亏损总额,医药制造业外商及港澳台商投资工业亏损企业亏损总额,印刷业、记录媒介的复制外商及港澳台商投资工业亏损企业亏损总额,塑料制品业外商及港澳台商投资工业亏损企业亏损总额,外商及港澳台商投资工业亏损企业亏损总额,家具制造业外商及港澳台商投资工业亏损企业亏损总额,文教体育用品制造业外商及港澳台商投资工业亏损企业亏损总额,普通机械制造业外商及港澳台商投资工业亏损企业亏损总额,有色金属冶炼及压延加工业外商及港澳台商投资工业亏损企业亏损总额,有色金属矿采选业外商及港澳台商投资工业亏损企业亏损总额,服装及其他纤维制品制造业外商及港澳台商投资工业亏损企业亏损总额,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业亏损企业亏损总额,木材及竹材采运业外商及港澳台商投资工业亏损企业亏损总额,橡胶制品业外商及港澳台商投资工业亏损企业亏损总额,烟草加工业外商及港澳台商投资工业亏损企业亏损总额,煤气生产和供应业外商及港澳台商投资工业亏损企业亏损总额,煤炭采选业外商及港澳台商投资工业亏损企业亏损总额,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业亏损企业亏损总额,电子及通信设备制造业外商及港澳台商投资工业亏损企业亏损总额,电气机械及器材制造业外商及港澳台商投资工业亏损企业亏损总额,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业亏损企业亏损总额,石油加工及炼焦业外商及港澳台商投资工业亏损企业亏损总额,石油和天然气开采业外商及港澳台商投资工业亏损企业亏损总额,纺织业外商及港澳台商投资工业亏损企业亏损总额,自来水的生产和供应业外商及港澳台商投资工业亏损企业亏损总额,造纸及纸制品业外商及港澳台商投资工业亏损企业亏损总额,金属制品业外商及港澳台商投资工业亏损企业亏损总额,非金属矿物制造业外商及港澳台商投资工业亏损企业亏损总额,非金属矿采选业外商及港澳台商投资工业亏损企业亏损总额,食品制造业外商及港澳台商投资工业亏损企业亏损总额,食品加工业外商及港澳台商投资工业亏损企业亏损总额,饮料制造业外商及港澳台商投资工业亏损企业亏损总额,黑色金属冶炼及压延加工业外商及港澳台商投资工业亏损企业亏损总额,黑色金属矿采选业外商及港澳台商投资工业亏损企业亏损总额
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,4.50989,24.81441,1.69753,0.0,3.20867,28.74172,3.52004,7.67937,1.93262,10.27243,322.91767,2.14396,3.14533,10.01691,5.55649,0.04478,7.00742,6.1514,0.0,7.78035,0.2904,0.95751,0.00045,23.72176,25.18962,20.34434,4.41401,2.10559,0.0,14.31722,0.10509,9.95781,15.46362,19.62093,0.14869,18.92791,14.47638,19.93238,4.71865,0.00199
2001年,4.83191,20.09042,2.73258,0.0,3.61143,34.94862,5.9582,7.96802,2.80215,11.21422,358.06083,2.43523,4.62952,11.00568,5.34368,0.05597,9.08537,5.10632,0.0,5.01319,0.24628,0.747,0.0,16.76817,59.07136,20.94977,7.08751,6.59847,0.0,17.33104,0.05173,8.59794,12.65935,17.98791,0.38331,17.23934,14.86992,17.08979,3.54857,0.00086
2002年,4.61392,21.18154,5.56473,0.0,3.56139,22.17733,6.98564,13.80927,2.84073,12.78524,364.08022,3.60292,4.17957,10.76738,5.02572,0.01843,10.39423,6.5343,0.0,3.54869,0.23011,1.21574,0.07789,7.4951,73.12371,21.71503,6.50821,1.87793,0.0,17.14186,0.12593,5.30464,14.66282,18.73375,0.4988,25.94484,14.42034,14.6499,2.69571,0.00388
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
