,专用设备制造业外商及港澳台商投资工业企业累计折旧,交通运输设备制造业外商及港澳台商投资工业企业累计折旧,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业累计折旧,其他矿采选业外商及港澳台商投资工业企业累计折旧,其它制造业外商及港澳台商投资工业企业累计折旧,化学原料及化学制品制造业外商及港澳台商投资工业企业累计折旧,化学纤维制造业外商及港澳台商投资工业企业累计折旧,医药制造业外商及港澳台商投资工业企业累计折旧,印刷业、记录媒介的复制外商及港澳台商投资工业企业累计折旧,塑料制品业外商及港澳台商投资工业企业累计折旧,外商及港澳台商投资工业企业累计折旧,家具制造业外商及港澳台商投资工业企业累计折旧,文教体育用品制造业外商及港澳台商投资工业企业累计折旧,普通机械制造业外商及港澳台商投资工业企业累计折旧,有色金属冶炼及压延加工业外商及港澳台商投资工业企业累计折旧,有色金属矿采选业外商及港澳台商投资工业企业累计折旧,服装及其他纤维制品制造业外商及港澳台商投资工业企业累计折旧,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业累计折旧,木材及竹材采运业外商及港澳台商投资工业企业累计折旧,橡胶制品业外商及港澳台商投资工业企业累计折旧,烟草加工业外商及港澳台商投资工业企业累计折旧,煤气生产和供应业外商及港澳台商投资工业企业累计折旧,煤炭采选业外商及港澳台商投资工业企业累计折旧,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业累计折旧,电子及通信设备制造业外商及港澳台商投资工业企业累计折旧,电气机械及器材制造业外商及港澳台商投资工业企业累计折旧,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业累计折旧,石油加工及炼焦业外商及港澳台商投资工业企业累计折旧,石油和天然气开采业外商及港澳台商投资工业企业累计折旧,纺织业外商及港澳台商投资工业企业累计折旧,自来水的生产和供应业外商及港澳台商投资工业企业累计折旧,造纸及纸制品业外商及港澳台商投资工业企业累计折旧,金属制品业外商及港澳台商投资工业企业累计折旧,非金属矿物制造业外商及港澳台商投资工业企业累计折旧,非金属矿采选业外商及港澳台商投资工业企业累计折旧,食品制造业外商及港澳台商投资工业企业累计折旧,食品加工业外商及港澳台商投资工业企业累计折旧,饮料制造业外商及港澳台商投资工业企业累计折旧,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业累计折旧,黑色金属矿采选业外商及港澳台商投资工业企业累计折旧
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,54.30622,273.7024,50.17492,0.0341,42.63058,204.82991,160.50854,59.14028,58.09489,166.24258,4372.48924,20.25843,45.58813,132.89702,43.07918,0.38608,119.806,36.97786,0.0,66.74235,3.61514,4.51845,0.34606,831.6854,513.3107,237.79947,66.87599,23.99269,0.00592,241.24048,1.94579,93.64989,153.00398,229.68233,2.9128,117.83617,112.73804,140.57445,61.22118,0.13484
2001年,68.39196,340.69088,61.48713,0.0,49.94368,270.22235,73.45677,71.69213,98.50192,207.87218,5417.91407,25.68435,52.62834,165.23828,47.79207,0.57883,136.27377,42.64721,0.0,77.42673,5.80401,4.84165,2.56351,1017.57925,662.04258,297.35753,81.01546,137.15227,0.05564,293.79183,3.21334,126.38896,187.12382,270.11536,3.19075,141.91155,129.04805,173.78848,90.1364,0.26505
2002年,81.52772,453.19624,75.99738,0.0,62.11063,314.92421,96.33366,90.90341,89.28784,249.46304,6520.35569,32.04786,65.39601,210.82199,57.05321,0.5632,154.56349,47.8643,0.0,92.00265,4.825,8.29674,3.26966,1216.10504,864.99526,337.45617,88.17787,157.40713,0.06082,334.4358,9.05063,163.60773,222.27625,311.09304,4.00251,169.51866,156.67942,201.84401,91.62599,0.39468
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
