,专用设备制造业外商及港澳台商投资工业企业港澳台资本金,交通运输设备制造业外商及港澳台商投资工业企业港澳台资本金,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业港澳台资本金,其他矿采选业外商及港澳台商投资工业企业港澳台资本金,其它制造业外商及港澳台商投资工业企业港澳台资本金,化学原料及化学制品制造业外商及港澳台商投资工业企业港澳台资本金,化学纤维制造业外商及港澳台商投资工业企业港澳台资本金,医药制造业外商及港澳台商投资工业企业港澳台资本金,印刷业、记录媒介的复制外商及港澳台商投资工业企业港澳台资本金,塑料制品业外商及港澳台商投资工业企业港澳台资本金,外商及港澳台商投资工业企业港澳台资本金,家具制造业外商及港澳台商投资工业企业港澳台资本金,文教体育用品制造业外商及港澳台商投资工业企业港澳台资本金,普通机械制造业外商及港澳台商投资工业企业港澳台资本金,有色金属冶炼及压延加工业外商及港澳台商投资工业企业港澳台资本金,有色金属矿采选业外商及港澳台商投资工业企业港澳台资本金,服装及其他纤维制品制造业外商及港澳台商投资工业企业港澳台资本金,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业港澳台资本金,木材及竹材采运业外商及港澳台商投资工业企业港澳台资本金,橡胶制品业外商及港澳台商投资工业企业港澳台资本金,烟草加工业外商及港澳台商投资工业企业港澳台资本金,煤气生产和供应业外商及港澳台商投资工业企业港澳台资本金,煤炭采选业外商及港澳台商投资工业企业港澳台资本金,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业港澳台资本金,电子及通信设备制造业外商及港澳台商投资工业企业港澳台资本金,电气机械及器材制造业外商及港澳台商投资工业企业港澳台资本金,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业港澳台资本金,石油加工及炼焦业外商及港澳台商投资工业企业港澳台资本金,石油和天然气开采业外商及港澳台商投资工业企业港澳台资本金,纺织业外商及港澳台商投资工业企业港澳台资本金,自来水的生产和供应业外商及港澳台商投资工业企业港澳台资本金,造纸及纸制品业外商及港澳台商投资工业企业港澳台资本金,金属制品业外商及港澳台商投资工业企业港澳台资本金,非金属矿物制造业外商及港澳台商投资工业企业港澳台资本金,非金属矿采选业外商及港澳台商投资工业企业港澳台资本金,食品制造业外商及港澳台商投资工业企业港澳台资本金,食品加工业外商及港澳台商投资工业企业港澳台资本金,饮料制造业外商及港澳台商投资工业企业港澳台资本金,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业港澳台资本金,黑色金属矿采选业外商及港澳台商投资工业企业港澳台资本金
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,30.59449,92.99334,36.76952,0.007,65.07956,90.80042,74.2264,32.02785,44.9079,160.59898,2490.63087,21.97025,71.97478,48.35365,41.44718,0.2482,120.1976,30.04422,0.0,38.48326,0.94856,3.41836,0.35438,173.87803,235.84775,132.55908,71.34795,8.59286,21.9905,206.37098,1.82837,72.46147,137.02771,147.09906,2.16164,84.86483,60.78262,89.16096,38.92312,0.28804
2001年,32.97923,104.97652,38.06109,0.0,75.88875,108.28877,57.39058,37.19814,61.89083,201.70937,2961.45196,27.7569,75.34346,62.0373,36.93695,0.40487,125.30352,38.00186,0.0,40.53424,1.13953,5.11481,0.72969,181.6528,313.33127,161.94376,84.67845,31.22272,62.56813,235.67841,4.9427,92.13072,179.02385,174.39483,3.58127,87.6054,73.41878,100.06296,43.14585,0.38365
2002年,46.42178,114.62756,43.91083,0.0,84.5882,143.3009,54.00852,37.25741,62.62435,214.74553,3147.49611,32.68021,82.17151,68.04431,47.11544,0.3392,135.12703,41.34991,0.0,34.30107,1.14488,7.18208,0.49822,181.28206,362.04013,181.11159,98.03428,29.60872,43.056,244.80749,5.11464,89.35864,178.32565,180.05447,3.20842,77.78104,77.30279,107.41326,37.02038,0.53761
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
