,中成药制造高技术产业专利申请数,仪器仪表制造业高技术产业专利申请数,其他电子设备制造高技术产业专利申请数,化学药品制造高技术产业专利申请数,医疗仪器设备及器械制造业高技术产业专利申请数,医疗器械及仪器仪表制造业高技术产业专利申请数,医药制造业高技术产业专利申请数,家用视听设备制造业高技术产业专利申请数,广播电视设备制造业高技术产业专利申请数,生物、生化制品的制造高技术产业专利申请数,电子元件制造业高技术产业专利申请数,电子及通信设备制造业高技术产业专利申请数,电子器件制造业高技术产业专利申请数,电子计算机及办公设备制造业高技术产业专利申请数,电子计算机外部设备制造业高技术产业专利申请数,电子计算机整机制造业高技术产业专利申请数,航空航天器制造业高技术产业专利申请数,通信设备制造业高技术产业专利申请数,雷达及配套设备制造业高技术产业专利申请数,高技术产业专利申请数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011年,3282,12030,2989,4667,2969,14999,11115,4632,3717,1375,10153,60335,13140,12125,5132,6423,2693,25239,465,101267
2012年,4007,14605,3570,6678,4438,19043,14976,6572,3587,2004,11393,78764,20199,11156,1768,5705,3882,26275,535,127821
2013年,4762,18390,4104,6951,6579,24969,17124,7205,3826,2421,13846,83168,20376,13408,1910,7115,4336,26815,719,143005
2014年,5285,21467,5716,7112,7789,29256,19354,6207,3970,3302,14972,98573,26147,14151,2202,7021,5375,32718,985,166709
