,中成药制造高技术产业有效发明专利数,仪器仪表制造业高技术产业有效发明专利数,其他电子设备制造高技术产业有效发明专利数,化学药品制造高技术产业有效发明专利数,医疗仪器设备及器械制造业高技术产业有效发明专利数,医疗器械及仪器仪表制造业高技术产业有效发明专利数,医药制造业高技术产业有效发明专利数,家用视听设备制造业高技术产业有效发明专利数,广播电视设备制造业高技术产业有效发明专利数,生物、生化制品的制造高技术产业有效发明专利数,电子元件制造业高技术产业有效发明专利数,电子及通信设备制造业高技术产业有效发明专利数,电子器件制造业高技术产业有效发明专利数,电子计算机及办公设备制造业高技术产业有效发明专利数,电子计算机外部设备制造业高技术产业有效发明专利数,电子计算机整机制造业高技术产业有效发明专利数,航空航天器制造业高技术产业有效发明专利数,通信设备制造业高技术产业有效发明专利数,雷达及配套设备制造业高技术产业有效发明专利数,高技术产业有效发明专利数
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,
2011年,4053.0,5443.0,1687.0,4410.0,2410.0,7853.0,10506.0,4322.0,815.0,1148.0,5548.0,51234.0,6447.0,11153.0,4942.0,5983.0,1494.0,32297.0,118.0,82240.0
2012年,5321.0,7477.0,2285.0,6758.0,3311.0,10788.0,15058.0,4425.0,1418.0,1600.0,5891.0,71584.0,10269.0,16216.0,1253.0,10062.0,2153.0,43218.0,296.0,115799.0
2013年,7309.0,8962.0,2766.0,8162.0,4147.0,13109.0,19558.0,4958.0,2234.0,2401.0,7334.0,88636.0,11516.0,14349.0,1411.0,10113.0,3133.0,54318.0,1030.0,138785.0
2014年,8073.0,13871.0,4308.0,10737.0,5291.0,19162.0,24799.0,4738.0,2819.0,3523.0,10176.0,119115.0,20854.0,13720.0,2145.0,7842.0,3805.0,69471.0,1118.0,180601.0
