,民族自治地方医院、卫生院床位,民族自治地方医院、卫生院数
1978年,0.0,0.0
1979年,0.0,0.0
1980年,0.0,0.0
1981年,0.0,0.0
1982年,0.0,0.0
1983年,0.0,0.0
1984年,0.0,0.0
1985年,0.0,0.0
1986年,0.0,0.0
1987年,0.0,0.0
1988年,0.0,0.0
1989年,0.0,0.0
1990年,33.1955,1.0574
1991年,0.0,0.0
1992年,0.0,0.0
1993年,0.0,0.0
1994年,0.0,0.0
1995年,35.7024,1.2331
1996年,0.0,0.0
1997年,0.0,0.0
1998年,0.0,0.0
1999年,0.0,0.0
2000年,36.1235,1.2492
2001年,0.0,0.0
2002年,0.0,0.0
2003年,0.0,0.0
2004年,0.0,0.0
2005年,38.4466,1.1846
2006年,39.969,1.1796
2007年,43.08,1.2198
2008年,47.1,1.19
2009年,51.5809,1.184
2010年,55.7305,1.1961
2011年,60.1446,1.2049
2012年,65.867,1.2256
2013年,71.8731,1.2457
2014年,0.0,0.0
