,民族自治地方原油产量,民族自治地方原煤产量,民族自治地方发电量,民族自治地方工业总产值,民族自治地方布产量,民族自治地方成品糖产量,民族自治地方木材产量,民族自治地方机制纸及纸板产量,民族自治地方水泥产量,民族自治地方生铁产量,民族自治地方粗钢产量
1978年,,,,,,,,,,,
1979年,,,,,,,,,,,
1980年,,,,,,,,,,,
1981年,,,,,,,,,,,
1982年,,,,,,,,,,,
1983年,,,,,,,,,,,
1984年,,,,,,,,,,,
1985年,,,,,,,,,,,
1986年,,,,,,,,,,,
1987年,,,,,,,,,,,
1988年,,,,,,,,,,,
1989年,,,,,,,,,,,
1990年,1265.0,1.21,738.8,,7.4,222.6,1761.0,94.1,1957.8,417.0,368.3
1991年,,,,,,,,,,,
1992年,,,,,,,,,,,
1993年,,,,,,,,,,,
1994年,,,,,,,,,,,
1995年,1610.0,1.66,1186.5,,6.9,239.5,3257.0,191.2,4295.9,554.7,699.6
1996年,,,,,,,,,,,
1997年,,,,,,,,,,,
1998年,,,,,,,,,,,
1999年,,,,,,,,,,,
2000年,2291.7067,1.462251209,1712.45598,3923.47,5.009603,498.2184,1052.4888,175.4627,5703.1496,724.8395,647.0505
2001年,,,,,,,,,,,
2002年,,,,,,,,,,,
2003年,,,,,,,,,,,
2004年,,,,,,,,,,,
2005年,2832.5,3.8,3052.2,10653.6,3.5,678.1,169.4,272.9,10155.9,2086.8,1846.3
2006年,2913.8,4.3,3740.2,14214.7,4.7,758.5,464.5,258.7,11752.7,2384.3,2150.2
2007年,3033.0795,5.0991084682,4903.3687217,19025.54176,4.460387,1005.39283,131.40738,283.38958,14011.360625,2907.68452,2660.0415
2008年,3054.78,6.52838768,5500.947817,25910.66128,3.2091,1174.416575,385.3401,358.321367,15779.763932,3021.32083,2980.8671
2009年,4649.487921,8.3287336745,5910.843326,29145.37507,3.088515,1047.412705,400.5529,500.217093,21375.538029,3945.557,3468.6056
2010年,3059.1815,10.3894283602,6729.86103,38473.8601,3.6326,906.886756,417.0105,385.2677,21652.559438,4447.4943,4004.8127
2011年,3185.83907,10.7862415877,7131.440757,50975.929457,3.7356,935.386135,341.8781,437.372432,23235.355425,4799.340576,3240.007584
2012年,3230.0972,13.8050358509,8989.47147,,2.06865,1102.302523,,512.9363,31246.763574,5140.4951,4018.9415
2013年,3345.38754,13.4545853974,10450.700105,,1.748911999,1282.795753,,509.4577,35512.691146,5838.653011,4671.5961
2014年,,,,,,,,,,,
