,民族自治地方金融机构各项存款,民族自治地方金融机构各项贷款
1978年,,
1979年,,
1980年,,
1981年,,
1982年,,
1983年,,
1984年,,
1985年,,
1986年,,
1987年,,
1988年,,
1989年,,
1990年,,
1991年,,
1992年,,
1993年,,
1994年,,
1995年,,
1996年,,
1997年,,
1998年,,
1999年,,
2000年,7905.7892554,6548.0088124
2001年,,
2002年,,
2003年,,
2004年,,
2005年,16323.8,11299.7
2006年,19897.9,13419.6
2007年,24208.775903,15696.9819
2008年,30144.331164,19318.345311
2009年,37097.90385,24493.956607
2010年,46621.780239,30578.948686
2011年,54671.93975,37299.11681
2012年,64118.389703,44516.930082
2013年,72956.766848,52450.982143
2014年,,
