,民族自治地方城乡最低生活保障人数,民族自治地方城镇社区服务设施数,民族自治地方福利类收养单位床位数
1978年,0.0,0.0,0.0
1979年,0.0,0.0,0.0
1980年,0.0,0.0,0.0
1981年,0.0,0.0,0.0
1982年,0.0,0.0,0.0
1983年,0.0,0.0,0.0
1984年,0.0,0.0,0.0
1985年,0.0,0.0,0.0
1986年,0.0,0.0,0.0
1987年,0.0,0.0,0.0
1988年,0.0,0.0,0.0
1989年,0.0,0.0,0.0
1990年,0.0,0.0,0.0
1991年,0.0,0.0,0.0
1992年,0.0,0.0,0.0
1993年,0.0,0.0,0.0
1994年,0.0,0.0,0.0
1995年,0.0,0.0,0.0
1996年,0.0,0.0,0.0
1997年,0.0,0.0,0.0
1998年,0.0,0.0,0.0
1999年,0.0,0.0,0.0
2000年,0.0,0.0,0.0
2001年,0.0,0.0,0.0
2002年,0.0,0.0,0.0
2003年,0.0,0.0,0.0
2004年,0.0,0.0,0.0
2005年,0.0,0.0,0.0
2006年,0.0,0.0,0.0
2007年,0.0,0.0,0.0
2008年,0.0,0.0,0.0
2009年,1677.8111,1795.0,24.26
2010年,1907.373,6188.0,27.31
2011年,1960.4,9798.0,29.8
2012年,2012.27,8829.0,33.92
2013年,0.0,0.0,0.0
2014年,0.0,0.0,0.0
