,乡办农村成人文化技术培训学校(机构)学校数,其他培训机构(含社会培训机构)学校数,其他部门办其他培训机构(含社会培训机构)学校数,其他部门办农村成人文化技术培训学校(机构)学校数,其他部门办职工技术培训学校(机构)学校数,农村成人文化技术培训学校(机构)学校数,县办农村成人文化技术培训学校(机构)学校数,教育部门和集体办其他培训机构(含社会培训机构)学校数,教育部门和集体办农村成人文化技术培训学校(机构)学校数,教育部门和集体办职工技术培训学校(机构)学校数,村办农村成人文化技术培训学校(机构)学校数,民办其他培训机构(含社会培训机构)学校数,民办农村成人文化技术培训学校(机构)学校数,民办职工技术培训学校(机构)学校数,职业技术培训机构学校数,职工技术培训学校(机构)学校数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004年,27096,21138,2060,6042,2079,191704,1694,1185,184770,1583,155980,17893,892,639,217143,4301
2005年,23799,27735,1544,3756,1014,166601,1071,959,160924,1321,136054,25232,1921,1895,198566,4230
2006年,22064,23554,1482,2439,1010,150955,1426,794,147492,999,124002,21278,1024,1168,177686,3177
2007年,19880,21878,1089,3271,1069,153303,1262,689,149208,1252,128066,20100,824,1398,178900,3719
2008年,19918,20837,2386,2652,1012,137827,1599,857,134245,1318,112728,17594,930,1055,162049,3385
2009年,18341,20577,1990,2456,1060,129443,2107,835,126189,1203,105741,17752,798,845,153128,3108
2010年,17252,20215,2140,1926,736,106689,1717,1006,104394,904,85425,17069,369,903,129447,2543
2011年,16419,23061,2254,2434,919,103420,2403,922,100206,1392,81384,19885,780,738,129530,3049
2012年,16443,20989,1104,2553,1193,100009,2280,822,96887,1052,78164,19063,569,523,123766,2768
2013年,14306,20297,1130,2721,1145,89014,2349,776,85245,1172,68590,18391,1048,665,112293,2982
2014年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
