,中型工业企业个人资本金,中外合作经营工业企业个人资本金,中外合资经营工业企业个人资本金,其他外商投资工业企业个人资本金,其他工业企业个人资本金,其他有限责任公司工业企业个人资本金,其他港澳台商投资工业企业个人资本金,其他联营工业企业个人资本金,内资工业企业个人资本金,合作经营(港或澳、台资)工业企业个人资本金,合资经营(港或澳、台资)工业企业个人资本金,国有与集体联营工业企业个人资本金,国有工业企业个人资本金,国有独资公司工业企业个人资本金,国有联营工业企业个人资本金,外商投资工业企业个人资本金,外商投资股份有限公司工业企业个人资本金,外资工业企业个人资本金,大型工业企业个人资本金,小型工业企业个人资本金,工业企业个人资本金,有限责任公司工业企业个人资本金,港、澳、台商投资工业企业个人资本金,港澳台商投资股份有限公司工业企业个人资本金,港澳台商独资经营工业企业个人资本金,私营合伙工业企业个人资本金,私营工业企业个人资本金,私营有限责任公司工业企业个人资本金,私营独资工业企业个人资本金,私营股份有限公司工业企业个人资本金,联营工业企业个人资本金,股份合作工业企业个人资本金,股份有限公司工业企业个人资本金,轻工业企业个人资本金,重工业企业个人资本金,集体工业企业个人资本金,集体联营工业企业个人资本金
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,317.80537,3.60767,43.48643,,4.37447,328.14622,,5.04704,2116.67571,3.49987,53.36134,2.19942,121.57646,38.23644,3.26212,61.82107,13.34024,1.38673,607.85808,1343.24433,2268.90778,366.38266,90.411,28.79654,4.75325,42.64904,595.11585,307.55339,209.0208,35.89262,17.20321,252.33269,531.54821,1084.298,1184.60978,228.14216,6.69463
2001年,446.77571,2.14968,55.13509,,5.06271,570.19033,,4.44353,2854.38457,6.52845,61.0387,2.7459,88.96926,57.94681,4.19624,73.61983,13.95329,2.38177,741.31746,1841.16763,3029.2608,628.13714,101.2564,24.22891,9.46034,51.96171,1010.46703,623.82236,265.30473,69.37823,15.93559,252.39915,667.44703,1406.22579,1623.03501,185.96666,4.54992
2002年,556.09222,5.15851,75.30231,,5.45921,828.3039,,6.27799,3725.23923,7.47403,110.52355,3.11302,88.29718,43.70196,3.01681,102.35014,15.48447,6.40485,876.26397,2549.01384,3981.37003,872.00586,153.78066,25.30614,10.47694,73.54099,1495.25685,972.85235,354.43192,94.43159,16.62448,278.40027,762.99079,1870.86772,2110.50231,206.20459,4.21666
