,中型工业企业个人资本金,中外合作经营工业企业个人资本金,中外合资经营工业企业个人资本金,其他外商投资工业企业个人资本金,其他工业企业个人资本金,其他有限责任公司工业企业个人资本金,其他港澳台商投资工业企业个人资本金,其他联营工业企业个人资本金,内资工业企业个人资本金,合作经营(港或澳、台资)工业企业个人资本金,合资经营(港或澳、台资)工业企业个人资本金,国有与集体联营工业企业个人资本金,国有工业企业个人资本金,国有独资公司工业企业个人资本金,国有联营工业企业个人资本金,外商投资工业企业个人资本金,外商投资股份有限公司工业企业个人资本金,外资工业企业个人资本金,大型工业企业个人资本金,小型工业企业个人资本金,工业企业个人资本金,有限责任公司工业企业个人资本金,港、澳、台商投资工业企业个人资本金,港澳台商投资股份有限公司工业企业个人资本金,港澳台商独资经营工业企业个人资本金,私营合伙工业企业个人资本金,私营工业企业个人资本金,私营有限责任公司工业企业个人资本金,私营独资工业企业个人资本金,私营股份有限公司工业企业个人资本金,联营工业企业个人资本金,股份合作工业企业个人资本金,股份有限公司工业企业个人资本金,轻工业企业个人资本金,重工业企业个人资本金,集体工业企业个人资本金,集体联营工业企业个人资本金
2003年,1719.18307,5.36034,103.61163,,9.21171,1095.21213,,8.8656,4960.73531,7.37297,120.46109,1.95368,85.62666,45.50232,2.60731,135.32046,20.00403,6.34446,693.06768,2850.50385,5262.7546,1140.71445,166.69883,21.11688,17.74789,101.63915,2351.81126,1613.53278,480.20845,156.43088,18.68162,295.3678,836.16187,2283.38342,2979.37118,223.15994,5.25503
2004年,2303.81,9.84,174.09,,7.99,1829.23,,11.31,7435.9,7.45,151.31,0.89,45.13,30.89,2.42,226.7,33.87,8.9,845.83,4719.93,7869.57,1860.12,206.96,34.51,13.68,127.81,4138.56,3237.46,528.2,245.09,18.47,193.24,1098.19,3167.96,4701.61,74.21,3.85
2005年,2656.82159,10.98699,202.83975,,26.42033,2097.23138,,7.40492,8488.30821,8.87266,175.05943,1.73457,86.10367,57.12293,0.79767,277.28107,39.24424,24.21009,1154.52847,5202.65666,9014.00672,2154.35431,248.41744,40.65893,23.82642,157.17515,4792.59435,3759.64813,609.01918,266.75189,14.776,218.45758,1062.7288,3466.41744,5547.58928,132.87317,4.83884
2006年,3158.71,13.08,258.58,,28.74,2495.04,,7.84,10455.01,12.74,196.54,0.95,64.32,74.13,0.31,328.49,40.17,16.66,1304.19,6579.21,11042.12,2569.17,258.62,35.23,14.1,216.37,6367.94,4918.06,883.01,350.5,11.41,142.11,1197.06,4284.14,6757.98,74.25,2.31
2007年,3874.98066,21.15013,317.62928,,44.5068,3012.86082,,9.16179,12751.36639,18.28521,246.72436,1.03869,102.83846,56.6735,1.44123,405.62234,50.72574,16.11719,1512.81386,8108.25185,13496.04637,3069.53432,339.05764,58.98412,15.06395,245.04131,7821.12638,6045.52506,1077.78836,452.77165,14.75534,165.46254,1421.81615,5003.67204,8492.37433,111.3264,3.11363
2008年,4826.40599,24.19286,486.42977,,89.53964,3533.18852,,8.32794,17424.36108,16.37408,331.40299,1.13287,118.48167,23.55635,1.04399,679.81498,61.36444,107.82791,1974.83524,11772.87656,18574.11779,3556.74487,469.94173,56.15952,66.00514,348.84701,11306.53513,8355.0382,1915.83566,686.81426,15.28295,201.98632,2045.13487,6561.8887,12012.22909,90.65563,4.77815
2009年,5289.43727,14.86434,409.87311,,94.64162,4001.78195,,7.1394,19465.47896,14.88025,301.10375,1.07342,129.48858,68.40915,5.92299,587.57003,70.58948,92.2431,2068.20515,13146.17343,20503.81585,4070.1911,450.76686,52.67125,82.11161,362.58803,12643.19385,9528.57278,1989.39848,762.63456,16.30643,193.86223,2144.17752,6955.27912,13548.53673,173.61763,2.17062
2010年,6116.9677,22.13712,485.30399,,119.77595,4580.04485,,6.82626,22135.65576,18.91086,360.40847,1.48971,119.02466,56.09987,1.70193,706.16535,87.17339,111.55085,2381.37227,14891.21923,23389.5592,4636.14472,547.73809,47.56991,120.84885,428.3799,14548.943,11057.26562,2171.62047,891.67701,12.62143,186.62282,2364.32279,7854.80281,15534.75639,148.20039,2.60353
2011年,6616.36442,20.09559,800.93825,1.66581,423.76633,15346.1179,0.5988,16.29248,34774.16833,26.49718,358.23103,1.44781,171.67603,59.58554,0.98802,1053.56235,96.33339,134.52931,4564.04576,25248.76764,36429.17782,15405.70344,601.44714,65.74969,150.37044,412.56792,15413.56968,11646.17923,2309.26067,1045.56186,22.15513,245.99429,2924.74435,8639.81585,27789.36197,166.55908,3.42682
2012年,7669.51032,24.09531,540.34847,4.65313,697.28223,6721.05853,1.27101,12.43961,29145.90782,28.00136,376.30625,1.24048,235.9533,23.19523,4.73931,818.78793,100.12271,149.56831,5030.91547,17927.0357,30627.46149,6744.25376,662.76574,90.74421,166.44291,427.86691,17560.00471,13514.98512,2489.67452,1127.47816,22.38578,215.69432,3488.2444,9853.96229,20773.4992,182.08932,3.96638
2013年,9030.7,19.17,554.34,4.94,137.37,9636.4,2.81,9.32,35706.03,22.11,439.51,2.05,98.06,109.58,0.78,857.73,110.01,169.26,6039.76,23735.61,38806.07,9745.97,2242.31,132.74,1645.15,258.66,21366.54,18264.01,1172.56,1671.31,15.03,100.84,4094.73,14115.06,24691.01,147.47,2.88
2014年,10136.56,16.4,815.57,6.52,122.43,11105.8,2.84,5.88,40157.36,25.71,478.4,0.1,148.96,157.62,0.59,1210.87,118.81,253.58,6706.73,25414.28,42257.57,11263.42,889.34,131.41,250.99,354.85,23891.55,20578.88,1069.89,1887.93,9.01,102.39,4470.36,14593.32,27664.26,149.22,2.44
