,中型工业企业本年应交增值税,中外合作经营工业企业本年应交增值税,中外合资经营工业企业本年应交增值税,其他外商投资工业企业本年应交增值税,其他工业企业本年应交增值税,其他有限责任公司工业企业本年应交增值税,其他港澳台商投资工业企业本年应交增值税,其他联营工业企业本年应交增值税,内资工业企业本年应交增值税,合作经营(港或澳、台资)工业企业本年应交增值税,合资经营(港或澳、台资)工业企业本年应交增值税,国有与集体联营工业企业本年应交增值税,国有工业企业本年应交增值税,国有独资公司工业企业本年应交增值税,国有联营工业企业本年应交增值税,外商投资工业企业本年应交增值税,外商投资股份有限公司工业企业本年应交增值税,外资工业企业本年应交增值税,大型工业企业本年应交增值税,小型工业企业本年应交增值税,工业企业本年应交增值税,有限责任公司工业企业本年应交增值税,港、澳、台商投资工业企业本年应交增值税,港澳台商投资股份有限公司工业企业本年应交增值税,港澳台商独资经营工业企业本年应交增值税,私营合伙工业企业本年应交增值税,私营工业企业本年应交增值税,私营有限责任公司工业企业本年应交增值税,私营独资工业企业本年应交增值税,私营股份有限公司工业企业本年应交增值税,联营工业企业本年应交增值税,股份合作工业企业本年应交增值税,股份有限公司工业企业本年应交增值税,轻工业企业本年应交增值税,重工业企业本年应交增值税,集体工业企业本年应交增值税,集体联营工业企业本年应交增值税
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,406.43,,,,,,,,,,,,,,,285.37,,,1550.28,870.3,2827.02,,235.69,,,,,,,,,,78.36,1000.28,1826.74,372.37,
1999年,422.61242,,,,,,,,,,,,,,,334.45005,,,1752.55105,930.75234,3105.92,,256.34261,,,,,,,,,,237.23559,1074.77158,2031.14423,738.98423,
2000年,472.24619,22.33622,298.88522,,4.03028,290.76039,,3.61566,2946.32436,37.69861,174.22977,10.31506,1255.69679,255.21199,11.85278,435.15026,11.19164,102.73718,2093.90681,1119.04977,3685.2,545.97238,303.72815,18.04925,73.75052,9.94499,143.60031,70.43928,54.76823,8.44781,33.66906,98.0771,524.05417,1235.35171,2449.85106,341.22427,7.88556
2001年,551.27902,30.17748,334.31187,,2.78139,475.96323,,3.43069,3141.72235,34.88641,184.14043,9.50687,1063.40171,306.53391,16.79876,526.29493,23.6615,138.14408,2292.25953,1174.55082,4018.09,782.49714,350.07209,27.13077,103.91448,13.46104,242.54739,139.06471,74.19363,15.82801,35.43741,99.79516,627.44343,1351.57369,2666.51568,287.81872,5.70109
