,中型工业企业本年应交增值税,中外合作经营工业企业本年应交增值税,中外合资经营工业企业本年应交增值税,其他外商投资工业企业本年应交增值税,其他工业企业本年应交增值税,其他有限责任公司工业企业本年应交增值税,其他港澳台商投资工业企业本年应交增值税,其他联营工业企业本年应交增值税,内资工业企业本年应交增值税,合作经营(港或澳、台资)工业企业本年应交增值税,合资经营(港或澳、台资)工业企业本年应交增值税,国有与集体联营工业企业本年应交增值税,国有工业企业本年应交增值税,国有独资公司工业企业本年应交增值税,国有联营工业企业本年应交增值税,外商投资工业企业本年应交增值税,外商投资股份有限公司工业企业本年应交增值税,外资工业企业本年应交增值税,大型工业企业本年应交增值税,小型工业企业本年应交增值税,工业企业本年应交增值税,有限责任公司工业企业本年应交增值税,港、澳、台商投资工业企业本年应交增值税,港澳台商投资股份有限公司工业企业本年应交增值税,港澳台商独资经营工业企业本年应交增值税,私营合伙工业企业本年应交增值税,私营工业企业本年应交增值税,私营有限责任公司工业企业本年应交增值税,私营独资工业企业本年应交增值税,私营股份有限公司工业企业本年应交增值税,联营工业企业本年应交增值税,股份合作工业企业本年应交增值税,股份有限公司工业企业本年应交增值税,轻工业企业本年应交增值税,重工业企业本年应交增值税,集体工业企业本年应交增值税,集体联营工业企业本年应交增值税
2002年,570.62611,37.37636,378.6918,,2.88566,593.53414,,3.63197,3515.13488,41.01173,198.09149,10.42262,1116.50287,354.48379,17.35661,578.67317,37.37444,125.23057,2539.13494,1366.24798,4476.01,948.01793,382.20098,30.09169,113.00607,18.86139,368.39356,226.85095,100.7488,21.93242,37.21463,105.12385,664.61566,1470.10124,3005.90779,272.38072,5.80343
2003年,1868.13189,53.73716,469.89412,,3.96732,809.3247,,4.52344,4298.7209,41.11022,228.60944,8.60757,1273.25993,393.94681,20.37471,740.32005,48.46865,168.22012,2196.97888,1422.61611,5487.73,1203.27151,448.68593,34.60063,144.36564,29.17992,589.24333,379.29096,144.85658,35.91587,39.58683,103.52596,818.02177,1636.81954,3850.90734,267.84425,6.08111
2004年,2184.37,70.82,542.58,,2.94,1321.82,,3.86,5404.12,43.08,246.75,4.92,1291.78,575.56,22.8,975.56,80.85,281.3,2805.89,1922.52,6912.78,1897.39,533.11,50.4,192.87,36.57,964.44,714.13,160.38,53.37,36.0,82.13,891.14,1905.9,5006.88,238.3,4.43
2005年,2537.4259,86.60021,628.15914,,20.64368,1699.97973,,5.09749,6709.4227,46.77408,292.13476,5.20154,1537.59313,708.74659,26.81776,1166.73515,85.74365,366.23215,3496.07999,2487.43491,8520.94,2408.72632,644.78295,40.38932,265.48479,54.45419,1336.63486,954.54687,250.82099,76.81281,44.34934,92.35627,991.20256,2350.20448,6170.73632,277.91654,7.23255
2006年,3177.87,82.48,801.49,,18.38,2207.75,,6.52,8345.21,53.61,343.06,4.96,1709.6,870.14,39.01,1507.14,95.17,527.99,4389.77,3139.51,10707.16,3077.89,854.81,44.32,413.82,76.6,1868.62,1333.23,350.1,108.69,58.07,94.53,1223.1,2875.93,7831.22,295.02,7.59
2007年,4015.88865,99.34136,1077.35025,,36.21687,2896.1319,,8.97909,10633.61902,61.44771,476.02408,7.16763,2032.73885,930.5665,48.54924,1973.90158,123.94504,673.26493,5436.89114,4197.55864,13650.34,3826.6984,1042.81783,51.43373,453.91231,106.32473,2698.444,1930.77921,499.89592,161.44414,72.37134,110.27225,1532.5303,3634.95073,10015.3877,324.34701,7.67538
2008年,5156.71471,67.21199,1305.24832,,62.20341,3498.4581,,12.59053,13773.83563,52.85935,543.21141,4.89503,2461.01468,976.70878,40.71173,2541.72565,130.18243,1039.08291,6370.69532,6163.31079,17690.72,4475.16688,1375.15954,54.35636,724.73242,152.40478,4378.35622,3096.31425,882.96719,246.67,68.19021,121.48559,1907.37478,4849.04749,12841.67333,300.04386,9.99292
2009年,5138.29459,63.47214,1497.25056,,57.24685,3443.33012,,4.62549,13456.15039,51.73173,535.4521,3.05052,2119.85161,1036.34394,22.97705,2704.15184,133.65926,1009.76988,6274.56118,6077.34734,17490.2,4479.67406,1329.90088,66.51541,676.20164,168.68292,4546.76132,3185.5226,908.57343,283.98237,39.03785,125.26989,1802.2383,4963.34771,12526.8554,286.07051,8.38479
2010年,6547.77013,72.8211,1906.9737,,86.62079,4430.83731,,4.05654,17351.63847,56.7267,655.39416,4.26333,2591.21213,1274.38527,22.88707,3437.85505,161.91472,1296.14553,8505.76373,7419.1814,22472.72,5705.22258,1683.22174,98.16796,872.93292,215.34425,6063.90771,4268.12964,1198.56514,381.86868,39.75316,130.06529,2426.96475,6107.1574,16365.55786,307.89206,8.54622
2011年,6168.8279,75.46256,2011.04445,2.71013,318.28813,5569.40255,3.87206,8.88934,20627.83992,65.99047,770.43687,6.22421,2829.91627,1426.30422,18.3855,3684.5384,148.45197,1446.86929,12316.47264,7817.41311,26302.71,6995.70677,1990.33533,111.80035,1038.23558,244.12013,7023.81617,5001.89897,1321.47797,456.3191,44.58899,128.71986,2977.00983,7190.38452,19112.32913,309.7939,11.08994
2012年,7259.30576,121.75859,2099.20364,10.20311,415.06224,6252.7509,6.64836,7.06726,23365.30575,63.73284,797.04097,6.90347,3224.69662,1341.01115,21.99969,3954.02616,175.23412,1547.6267,13255.36018,9051.97581,29566.64,7593.76205,2247.30984,82.08825,1297.79942,250.04089,8239.81361,5978.76648,1473.36807,537.63817,42.71602,131.66581,3412.07797,8368.15965,21198.4821,305.51143,6.7456
2013年,8289.53,138.78,2415.97,13.89,139.92,7930.23,4.18,2.27,26366.97,78.11,932.88,1.47,2079.24,1879.31,10.95,4493.42,153.3,1771.48,14542.68,10628.06,33460.27,9809.55,2599.88,112.58,1472.13,150.75,9961.18,8350.38,767.16,692.9,18.55,50.18,4096.28,9689.84,23770.43,212.07,3.85
2014年,8643.48,130.23,2378.7,13.86,113.12,8269.8,4.07,1.6,27027.97,74.35,938.52,1.12,1904.22,1913.38,6.3,4337.08,137.93,1676.35,14500.42,10835.14,33979.04,10183.18,2613.99,114.2,1482.84,128.91,10361.76,8844.17,692.33,696.35,11.92,44.85,4214.65,10073.47,23905.56,194.26,2.9
