,中型工业企业外商资本金,中外合作经营工业企业外商资本金,中外合资经营工业企业外商资本金,其他外商投资工业企业外商资本金,其他工业企业外商资本金,其他有限责任公司工业企业外商资本金,其他港澳台商投资工业企业外商资本金,其他联营工业企业外商资本金,内资工业企业外商资本金,合作经营(港或澳、台资)工业企业外商资本金,合资经营(港或澳、台资)工业企业外商资本金,国有与集体联营工业企业外商资本金,国有工业企业外商资本金,国有独资公司工业企业外商资本金,国有联营工业企业外商资本金,外商投资工业企业外商资本金,外商投资股份有限公司工业企业外商资本金,外资工业企业外商资本金,大型工业企业外商资本金,小型工业企业外商资本金,工业企业外商资本金,有限责任公司工业企业外商资本金,港、澳、台商投资工业企业外商资本金,港澳台商投资股份有限公司工业企业外商资本金,港澳台商独资经营工业企业外商资本金,私营合伙工业企业外商资本金,私营工业企业外商资本金,私营有限责任公司工业企业外商资本金,私营独资工业企业外商资本金,私营股份有限公司工业企业外商资本金,联营工业企业外商资本金,股份合作工业企业外商资本金,股份有限公司工业企业外商资本金,轻工业企业外商资本金,重工业企业外商资本金,集体工业企业外商资本金,集体联营工业企业外商资本金
2003年,2632.27843,281.66396,2203.13439,0.0,0.49145,84.52625,0.0,0.0,296.0577,34.81891,168.49254,0.69504,37.51727,30.66004,0.2807,5253.0825,144.68616,2623.59799,1134.60963,2325.67689,6092.56495,115.18629,543.42475,36.93517,303.17813,1.45147,31.57665,24.30235,4.25344,1.56939,1.08862,14.53766,73.60026,2472.91291,3619.65204,22.0595,0.11288
2004年,3653.48,376.36,2875.3,0.0,0.32,73.41,0.0,0.32,202.91,34.0,49.6,0.0,17.6,19.68,0.15,8224.83,233.5,4739.67,1485.63,3532.52,8671.64,93.09,243.9,4.83,155.48,0.2,16.6,15.06,1.02,0.32,0.52,1.09,64.9,3263.19,5408.45,8.79,0.05
2005年,4510.6369,397.29982,2907.17978,0.0,3.75436,143.46022,0.0,0.7784,369.29058,36.66268,135.07096,0.0,25.66686,36.83869,0.13748,9132.82733,235.33536,5593.01237,1874.74922,3607.28518,9992.6713,180.29891,490.55339,13.58732,305.23243,1.02878,55.77095,49.21034,3.34033,2.1915,0.93248,2.48638,85.73945,3654.0537,6338.6176,14.64119,0.0166
2006年,5282.53,397.39,3545.38,0.0,2.82,178.15,0.0,0.54,408.88,9.99,73.19,0.1,39.75,31.61,0.0,11324.38,241.54,7140.07,2452.91,4123.96,11859.4,209.76,126.13,3.25,39.71,1.75,68.97,51.2,12.65,3.38,0.65,2.31,79.25,3976.51,7882.9,5.37,0.02
2007年,6423.34781,473.67753,4015.55063,0.0,2.06667,141.27379,0.0,1.39371,380.18532,8.16597,127.60391,0.1613,30.98382,22.24193,0.64799,13883.74726,380.63548,9013.88362,3129.66271,4963.27815,14516.28867,163.51572,252.35609,13.71645,102.86976,0.34381,70.32031,61.93153,4.97899,3.06598,2.21294,7.67582,98.13847,4808.99796,9707.29071,5.27157,0.00994
2008年,7291.6247,390.05954,4539.70894,0.0,3.82498,132.94466,0.0,0.90259,413.89104,21.92259,126.92684,0.0,24.33295,5.62272,0.43852,16328.39915,505.59953,10893.03114,3658.81557,6327.82488,17278.26515,138.56738,535.97496,8.60929,378.51624,0.20777,79.46474,64.87301,9.34636,5.0376,1.39521,4.6681,158.31882,5536.49844,11741.76671,3.31886,0.0541
2009年,7618.78008,359.51089,4474.23349,0.0,10.53797,172.51033,0.0,1.10436,547.77006,26.24826,222.50034,0.1764,70.68029,9.88177,0.36298,16752.10509,546.9706,11371.39011,3757.77692,6853.97298,18230.52998,182.3921,930.65483,18.34929,663.55694,0.39927,166.5726,127.15604,31.89785,7.11944,1.64374,1.17859,107.0842,5681.26711,12549.26287,7.68057,0.0
2010年,8244.60887,364.60705,4769.11611,0.0,5.6526,247.46162,0.0,0.1625,717.21272,17.78517,289.18862,0.0,50.03511,101.72787,0.3,17761.76134,557.32868,12070.7095,4726.19695,6685.25326,19656.05908,349.18949,1177.08502,19.96992,850.14131,0.47305,159.18509,123.35877,26.88305,8.47022,0.60317,2.00552,145.04681,6227.26451,13428.79457,5.49493,0.14067
2011年,6215.36311,341.49442,4699.38572,16.08507,60.16588,177.79326,0.33037,1.42047,649.4916,27.32456,365.78753,0.0,19.66773,77.95448,0.03,17839.74628,568.71455,12214.06652,7646.22092,5894.30043,19755.88446,255.74774,1266.64658,42.68014,830.52398,0.63712,117.43937,89.17776,22.39321,5.23128,1.45047,1.8349,188.49118,6123.32563,13632.55883,4.69433,0.0
2012年,6484.54328,306.17422,4864.95501,35.63734,54.98288,176.22542,7.02293,0.3042,694.37599,17.30809,546.3255,0.147,69.04326,78.54743,0.3,18582.28185,610.4758,12765.03948,8102.63324,6337.87806,20925.05458,254.77285,1648.39674,42.81219,1034.92803,0.64511,113.21574,86.19803,21.3363,5.0363,1.0692,0.73366,196.52996,6485.66898,14439.3856,4.02844,0.318
2013年,6682.84,330.96,5140.36,25.12,7.15,233.94,3.7,0.0,720.64,17.09,616.27,0.0,13.03,107.25,0.0,19583.64,656.57,13430.63,8635.91,6834.81,22153.57,341.19,1849.28,32.13,1180.09,0.01,138.53,119.72,4.79,14.01,0.0,0.26,217.96,6839.61,15313.95,2.52,0.0
2014年,6889.41,330.57,5163.06,43.86,0.34,243.58,2.39,0.38,710.86,19.75,952.61,0.0,13.29,113.85,0.0,20074.98,617.29,13920.19,8915.49,7411.78,23216.68,357.43,2430.83,40.61,1415.47,0.01,126.89,105.77,6.09,15.02,0.4,0.2,210.78,7335.52,15881.16,1.54,0.03
