,中型工业企业管理费用,中外合作经营工业企业管理费用,中外合资经营工业企业管理费用,其他外商投资工业企业管理费用,其他工业企业管理费用,其他有限责任公司工业企业管理费用,其他港澳台商投资工业企业管理费用,其他联营工业企业管理费用,内资工业企业管理费用,合作经营(港或澳、台资)工业企业管理费用,合资经营(港或澳、台资)工业企业管理费用,国有与集体联营工业企业管理费用,国有工业企业管理费用,国有独资公司工业企业管理费用,国有联营工业企业管理费用,外商投资工业企业管理费用,外商投资股份有限公司工业企业管理费用,外资工业企业管理费用,大型工业企业管理费用,小型工业企业管理费用,工业企业管理费用,有限责任公司工业企业管理费用,港、澳、台商投资工业企业管理费用,港澳台商投资股份有限公司工业企业管理费用,港澳台商独资经营工业企业管理费用,私营合伙工业企业管理费用,私营工业企业管理费用,私营有限责任公司工业企业管理费用,私营独资工业企业管理费用,私营股份有限公司工业企业管理费用,联营工业企业管理费用,股份合作工业企业管理费用,股份有限公司工业企业管理费用,轻工业企业管理费用,重工业企业管理费用,集体工业企业管理费用,集体联营工业企业管理费用
2004年,3223.16,84.0,819.96,0.0,5.27,1695.7,0.0,6.25,7098.11,56.98,362.78,11.17,1753.12,844.71,32.73,1759.59,84.96,770.66,3306.55,3291.0,9820.71,2540.41,963.01,50.4,492.85,37.74,1214.94,946.38,164.05,66.76,55.65,114.27,1105.0,3006.9,6813.81,309.46,5.49
2005年,3502.95924,90.63065,914.16728,0.0,27.1388,1941.31154,0.0,6.55916,7865.70725,55.82594,388.37372,10.52771,1775.4902,1026.76337,28.42869,2042.25674,95.20142,942.25739,4008.12575,3439.18339,10950.26838,2968.07491,1042.30439,50.18024,547.92449,49.62671,1469.71381,1130.43884,210.29757,79.35069,52.22111,116.39459,1147.86093,3264.05424,7686.21414,308.8129,6.70555
2006年,4045.6,89.81,1086.64,0.0,20.21,2384.76,0.0,7.37,9073.83,58.41,431.45,9.89,1810.4,1136.49,29.97,2511.23,117.44,1217.34,4676.57,4085.0,12807.17,3521.25,1222.1,49.36,682.89,63.2,1971.98,1514.18,291.05,103.54,55.11,107.87,1272.14,3794.7,9012.47,314.89,7.87
2007年,4989.25277,119.33428,1329.39422,0.0,40.13661,2984.72578,0.0,8.52039,11288.46199,69.84397,536.44677,11.20037,2076.05797,1297.52392,30.60481,3123.1649,133.27486,1541.16154,5837.00287,5117.40277,15943.65841,4282.2497,1532.03152,73.8997,851.84108,85.16151,2734.12494,2102.0037,399.62303,147.3367,57.15125,120.7712,1641.55175,4604.91469,11338.74372,336.41857,6.82568
2008年,6136.18675,104.05931,1604.35278,0.0,53.34334,3823.80619,0.0,5.8821,14369.04646,58.18779,646.3535,9.62882,2367.17081,1346.59399,50.05125,3890.02226,144.83402,2036.77615,7071.3109,6992.31469,20199.81234,5170.40018,1940.74362,89.41085,1146.79148,123.35104,4135.59893,3136.81145,640.95078,234.48566,75.25393,126.84959,2034.94936,5751.39839,14448.41395,405.48032,9.69176
2009年,6682.84376,100.43315,1735.34473,0.0,76.36295,4317.20788,0.0,5.5734,16177.78652,62.23322,651.14626,7.39399,2382.01695,1516.8053,36.66705,4027.5654,157.79929,2033.98823,7760.88242,7725.97169,22169.69787,5834.01318,1964.34595,99.31635,1151.65012,153.32402,4941.54177,3704.89453,781.36999,301.95323,59.59371,137.66886,2368.29033,6342.53413,15827.16374,378.29877,9.95927
2010年,9037.51653,117.84981,2199.78865,0.0,119.57436,5808.61327,0.0,7.46362,21328.73898,97.19803,859.2119,11.3102,2908.99758,1744.47289,30.81433,5059.85042,213.72593,2528.48603,9870.73016,9964.74249,28872.98918,7553.08616,2484.39978,117.78557,1410.20428,225.60698,7179.90209,5349.74888,1139.99724,464.54899,60.92295,145.75378,2916.72917,8206.20245,20666.78673,443.77289,11.3348
2011年,8273.24229,113.50114,2279.01914,6.55521,341.364,6657.30085,4.26962,9.13089,23884.17787,89.79316,995.82807,9.98292,3067.66956,1690.48114,38.63349,5443.23439,196.6393,2847.5196,14047.45617,9844.46658,32165.16504,8347.78199,2837.75278,130.02232,1617.83961,231.29415,7751.17638,5836.48495,1139.87466,543.52262,70.15236,148.1994,3757.18014,8933.07082,23232.09422,400.65404,12.40506
2012年,9311.66264,124.4176,2397.80107,12.90797,449.03388,7633.45538,8.2718,7.95086,26905.54879,102.17896,1116.01751,7.86833,3255.75995,1678.59995,18.39988,5765.1729,201.88308,3028.16318,15120.03185,11456.42556,35888.12005,9312.05533,3217.39836,161.11081,1829.81928,229.23806,9025.33434,6845.76322,1314.45554,635.87752,43.28799,162.37215,4258.19124,10229.44505,25658.675,399.51391,9.06892
2013年,10359.73,122.88,2756.94,9.44,153.7,9307.14,4.11,6.29,29553.58,107.8,1176.29,3.16,2009.25,2200.87,8.04,6378.0,209.37,3279.37,15788.17,13283.99,39431.9,11508.01,3500.33,188.85,2023.27,146.76,10719.69,9056.72,661.38,854.83,23.21,71.69,4773.77,11555.72,27876.18,294.25,5.71
2014年,10667.02,115.12,2958.55,13.66,105.36,10069.93,4.8,7.13,30755.84,104.83,1254.56,2.78,1701.57,2121.75,8.11,6581.93,216.37,3278.24,16723.25,13730.71,41120.97,12191.69,3783.21,208.21,2210.8,118.97,11266.73,9701.45,565.87,880.44,20.78,58.4,5106.11,12286.06,28834.91,305.21,2.76
