,中型工业企业港澳台资本金,中外合作经营工业企业港澳台资本金,中外合资经营工业企业港澳台资本金,其他外商投资工业企业港澳台资本金,其他工业企业港澳台资本金,其他有限责任公司工业企业港澳台资本金,其他港澳台商投资工业企业港澳台资本金,其他联营工业企业港澳台资本金,内资工业企业港澳台资本金,合作经营(港或澳、台资)工业企业港澳台资本金,合资经营(港或澳、台资)工业企业港澳台资本金,国有与集体联营工业企业港澳台资本金,国有工业企业港澳台资本金,国有独资公司工业企业港澳台资本金,国有联营工业企业港澳台资本金,外商投资工业企业港澳台资本金,外商投资股份有限公司工业企业港澳台资本金,外资工业企业港澳台资本金,大型工业企业港澳台资本金,小型工业企业港澳台资本金,工业企业港澳台资本金,有限责任公司工业企业港澳台资本金,港、澳、台商投资工业企业港澳台资本金,港澳台商投资股份有限公司工业企业港澳台资本金,港澳台商独资经营工业企业港澳台资本金,私营合伙工业企业港澳台资本金,私营工业企业港澳台资本金,私营有限责任公司工业企业港澳台资本金,私营独资工业企业港澳台资本金,私营股份有限公司工业企业港澳台资本金,联营工业企业港澳台资本金,股份合作工业企业港澳台资本金,股份有限公司工业企业港澳台资本金,轻工业企业港澳台资本金,重工业企业港澳台资本金,集体工业企业港澳台资本金,集体联营工业企业港澳台资本金
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
