,中型工业企业营业利润,中外合作经营工业企业营业利润,中外合资经营工业企业营业利润,其他外商投资工业企业营业利润,其他工业企业营业利润,其他有限责任公司工业企业营业利润,其他港澳台商投资工业企业营业利润,其他联营工业企业营业利润,内资工业企业营业利润,合作经营(港或澳、台资)工业企业营业利润,合资经营(港或澳、台资)工业企业营业利润,国有与集体联营工业企业营业利润,国有工业企业营业利润,国有独资公司工业企业营业利润,国有联营工业企业营业利润,外商投资工业企业营业利润,外商投资股份有限公司工业企业营业利润,外资工业企业营业利润,大型工业企业营业利润,小型工业企业营业利润,工业企业营业利润,有限责任公司工业企业营业利润,港、澳、台商投资工业企业营业利润,港澳台商投资股份有限公司工业企业营业利润,港澳台商独资经营工业企业营业利润,私营合伙工业企业营业利润,私营工业企业营业利润,私营有限责任公司工业企业营业利润,私营独资工业企业营业利润,私营股份有限公司工业企业营业利润,联营工业企业营业利润,股份合作工业企业营业利润,股份有限公司工业企业营业利润,轻工业企业营业利润,重工业企业营业利润,集体工业企业营业利润,集体联营工业企业营业利润
2003年,2554.48143,106.81733,1093.72906,,6.33263,1064.88137,,6.22181,5357.22435,69.57853,447.44792,6.13631,714.60257,209.44572,25.50076,1819.96146,85.99667,533.4184,3822.65427,1776.50539,8153.64109,1274.32709,976.45528,69.50018,389.92865,42.42272,850.55936,526.15815,225.2241,56.75439,46.91466,132.87917,1915.04235,2265.83255,5887.80854,416.56652,9.05578
2004年,3316.39,147.1,1281.69,,5.24,2154.03,,6.24,7614.46,77.37,495.71,4.18,830.4,590.32,25.45,2513.21,188.97,895.45,5396.34,2588.38,11301.11,2744.34,1173.43,107.98,492.37,63.67,1397.97,964.1,280.93,89.28,42.79,106.93,2117.83,2599.98,8701.13,368.96,6.91
2005年,4087.70342,142.354,1197.13582,,36.37544,3107.66537,,9.37611,10621.13689,76.30526,551.00109,3.88203,1622.18,871.74963,35.953,2748.51609,181.35357,1227.6727,6645.28501,4092.65963,14825.64806,3979.415,1455.99508,60.42133,768.2674,115.30654,2330.2411,1541.12023,515.64014,158.17419,58.41093,132.12572,1963.75016,3821.41747,11004.23059,498.63854,9.19979
2006年,5735.32,153.94,1724.0,,34.47,4114.19,,12.59,14107.96,95.46,663.35,4.29,1750.52,1160.18,49.21,3717.15,171.62,1667.6,8310.41,5682.68,19728.41,5274.37,1903.3,57.1,1087.4,173.94,3540.29,2396.32,747.54,222.49,79.03,139.57,2758.98,4936.79,14791.62,530.73,12.94
2007年,8431.72976,226.78417,2510.08158,,87.25101,5979.0543,,16.12249,20151.1019,146.84158,1213.19178,15.63136,2373.34801,1165.86783,65.69267,5262.03308,196.168,2328.99933,11169.25055,8569.82837,28170.80868,7144.92213,2757.6737,95.04306,1302.59728,279.63511,5853.30726,4011.11695,1181.71319,380.84201,113.0397,203.98829,3659.78333,7233.1679,20937.64078,715.46217,15.59318
2008年,10006.73403,144.6457,2595.01581,,104.62129,6648.41519,,20.51678,24003.98428,141.5117,1208.8695,6.10424,2494.36016,1124.28351,23.7278,5628.71248,296.82328,2592.22769,10883.01105,12003.00594,32892.75102,7772.6987,3260.05426,-25.8262,1935.49926,378.23468,9435.84009,6324.04336,2112.96167,620.60038,62.10887,203.28534,3243.65657,9209.49292,23683.2581,687.41326,11.76005
2009年,11897.13272,178.44548,3675.2018,,154.4722,7012.14906,,14.23751,26181.90903,127.73056,1299.56636,1.57011,2032.04578,1129.0497,25.90186,6973.7665,254.3484,2865.77082,11423.84357,13467.87018,36788.84647,8141.19876,3633.17094,177.59576,2028.27826,427.66212,10769.21483,7175.43274,2400.54895,765.57102,57.15239,255.92716,4038.35689,11029.76644,25759.08003,733.54102,15.44291
2010年,17965.42322,216.3696,5429.43648,,248.58731,10668.49978,,15.43526,39976.45127,157.4218,1929.61227,9.70185,3427.23197,1870.7733,29.80433,10312.15502,426.05138,4240.29756,18425.15975,19146.63404,55537.21701,12539.27308,5248.61072,258.75365,2902.823,617.40796,16234.01166,11047.6881,3399.01052,1169.90508,71.94327,328.51922,6239.99682,15463.04174,40074.17527,886.88794,17.00183
2011年,15933.5335,191.36523,5661.14597,7.76923,963.89201,12752.84374,11.24576,36.86476,47648.5825,164.68249,2094.78892,28.45623,3414.91041,2035.90093,23.41514,10434.76535,417.29046,4157.19446,26988.23002,20822.39828,63744.1618,14788.74467,5660.81395,230.81736,3159.27942,664.08555,19446.34064,13410.88934,3906.1145,1465.25125,111.19661,385.8563,7607.222,17771.65411,45972.50769,930.41986,22.46048
2012年,15452.5018,236.55004,4716.58421,25.13883,1060.9513,12304.94496,13.13604,21.48358,48114.71396,142.12304,1872.10888,11.91415,3590.12162,1525.66975,15.56721,9029.77844,432.11803,3619.38733,24842.14176,21806.01016,62100.65372,13830.61471,4956.16132,176.86695,2751.92641,645.81169,21100.50681,14705.69353,4219.33123,1529.67036,65.64916,301.51893,7255.04644,19196.59891,42904.05481,910.30499,16.68422
2013年,17393.73,242.08,5565.87,37.85,318.89,15192.15,4.23,14.5,52623.14,194.0,1992.38,2.53,2766.84,1754.58,6.79,10344.21,408.36,4090.04,26242.64,24718.84,68355.21,16946.73,5387.86,226.0,2971.25,352.5,24038.21,19770.78,2038.67,1876.26,30.9,131.58,7812.24,21613.95,46741.27,577.76,7.08
2014年,17609.31,201.51,5598.57,25.59,210.88,15217.87,5.76,12.22,50960.26,195.49,2117.3,0.5,2557.92,1380.97,3.62,10449.36,386.09,4237.6,25589.81,24055.8,67254.92,16598.84,5845.29,266.42,3260.32,267.18,23917.7,20067.26,1716.3,1866.97,20.89,115.14,7013.2,22238.23,45016.69,525.69,4.56
