,中型工业企业营业利润,中外合作经营工业企业营业利润,中外合资经营工业企业营业利润,其他外商投资工业企业营业利润,其他工业企业营业利润,其他有限责任公司工业企业营业利润,其他港澳台商投资工业企业营业利润,其他联营工业企业营业利润,内资工业企业营业利润,合作经营(港或澳、台资)工业企业营业利润,合资经营(港或澳、台资)工业企业营业利润,国有与集体联营工业企业营业利润,国有工业企业营业利润,国有独资公司工业企业营业利润,国有联营工业企业营业利润,外商投资工业企业营业利润,外商投资股份有限公司工业企业营业利润,外资工业企业营业利润,大型工业企业营业利润,小型工业企业营业利润,工业企业营业利润,有限责任公司工业企业营业利润,港、澳、台商投资工业企业营业利润,港澳台商投资股份有限公司工业企业营业利润,港澳台商独资经营工业企业营业利润,私营合伙工业企业营业利润,私营工业企业营业利润,私营有限责任公司工业企业营业利润,私营独资工业企业营业利润,私营股份有限公司工业企业营业利润,联营工业企业营业利润,股份合作工业企业营业利润,股份有限公司工业企业营业利润,轻工业企业营业利润,重工业企业营业利润,集体工业企业营业利润,集体联营工业企业营业利润
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,305.60825,22.41611,445.2227,,-3.91107,228.32702,,5.09912,2758.50363,52.96634,241.8115,3.89827,572.75864,25.21346,12.27903,691.73857,9.23389,214.86587,2549.20785,1074.2669,3929.083,253.54048,478.8408,12.87636,171.1866,15.1858,186.38913,86.5023,73.91518,10.78585,30.84232,97.87075,1192.33214,1115.35478,2813.72822,428.68124,9.5659
2001年,389.39643,48.50415,510.44326,,3.01966,506.6335,,4.32089,2792.08473,41.87664,251.56971,5.1447,208.26658,42.82059,21.39492,846.34797,23.97906,263.4215,2606.74063,1145.64896,4141.78602,549.45409,503.35332,18.05338,191.85359,18.01184,300.51256,163.63745,100.01416,18.84911,38.25716,107.3267,1227.96543,1291.10451,2850.68151,357.28255,7.39665
2002年,512.68126,67.94734,711.84519,,4.41454,695.74735,,3.87009,3553.97487,56.54568,317.27976,7.07029,392.88361,72.89732,21.8616,1186.35043,51.1533,355.4046,3211.18761,1680.22552,5404.09439,768.64467,663.76909,29.88861,260.05504,30.92353,494.07129,294.16295,136.91808,32.06673,41.12919,133.43089,1320.2834,1713.67132,3690.42307,399.11728,8.32721
