,中型工业企业利息支出,中外合作经营工业企业利息支出,中外合资经营工业企业利息支出,其他外商投资工业企业利息支出,其他工业企业利息支出,其他有限责任公司工业企业利息支出,其他港澳台商投资工业企业利息支出,其他联营工业企业利息支出,内资工业企业利息支出,合作经营(港或澳、台资)工业企业利息支出,合资经营(港或澳、台资)工业企业利息支出,国有与集体联营工业企业利息支出,国有工业企业利息支出,国有独资公司工业企业利息支出,国有联营工业企业利息支出,外商投资工业企业利息支出,外商投资股份有限公司工业企业利息支出,外资工业企业利息支出,大型工业企业利息支出,小型工业企业利息支出,工业企业利息支出,有限责任公司工业企业利息支出,港、澳、台商投资工业企业利息支出,港澳台商投资股份有限公司工业企业利息支出,港澳台商独资经营工业企业利息支出,私营合伙工业企业利息支出,私营工业企业利息支出,私营有限责任公司工业企业利息支出,私营独资工业企业利息支出,私营股份有限公司工业企业利息支出,联营工业企业利息支出,股份合作工业企业利息支出,股份有限公司工业企业利息支出,轻工业企业利息支出,重工业企业利息支出,集体工业企业利息支出,集体联营工业企业利息支出
2003年,749.83068,15.13493,98.66066,,1.1665,346.88338,,1.21271,1547.55183,14.15002,81.68194,2.34733,458.84795,190.79689,6.86503,172.92265,18.34423,40.78283,644.81198,461.2748,1855.91746,537.68027,135.44298,11.40314,28.20788,7.06986,182.31695,123.7268,38.7982,12.72209,11.96489,32.72135,230.12429,517.89259,1338.02487,92.72963,1.53982
2004年,866.19,16.25,127.05,,1.01,507.67,,1.1,1858.28,11.01,99.07,1.66,469.64,199.8,20.47,233.43,20.56,69.57,761.66,628.04,2255.89,707.47,164.17,13.07,41.02,7.48,301.05,232.84,40.27,20.45,24.18,25.46,263.49,599.9,1655.98,65.99,0.95
2005年,971.10543,21.23965,160.14851,,4.65274,606.11455,,1.11237,2095.19998,11.90952,115.67148,1.60999,426.48341,241.76856,21.40163,309.09338,23.93559,103.76963,937.55992,693.27627,2601.94162,847.88311,197.64826,16.34641,53.72085,10.58769,390.54972,301.39427,55.42763,23.14013,25.17831,25.87891,304.17534,699.25954,1902.68208,70.39844,1.05432
2006年,1182.71,22.13,214.91,,5.24,758.74,,1.0,2489.03,12.8,135.67,1.69,460.14,267.92,24.55,423.99,25.46,161.49,1125.32,843.72,3151.75,1026.66,238.73,14.86,75.41,12.44,520.69,407.79,68.52,31.95,28.9,24.94,356.14,812.23,2339.52,66.32,1.65
2007年,1511.68656,83.85099,276.59062,,7.36591,1027.72556,,1.24936,3232.241,15.92261,189.79566,2.49388,546.39418,323.42468,24.55238,610.55673,49.74635,200.36877,1461.54818,1190.07173,4163.30647,1351.15024,320.50874,16.96907,97.8214,15.89953,746.55687,595.64505,91.46836,43.54393,29.44076,30.87327,450.40362,1046.86803,3116.43844,70.05615,1.14514
2008年,2051.26269,30.88622,403.51981,,20.03972,1386.56002,,0.77133,4493.673,14.80187,222.18904,2.26304,837.23061,357.33683,23.22168,747.69702,49.87745,263.41354,1959.50711,1653.39478,5664.16458,1743.89685,422.79456,25.89227,159.91138,19.62812,1119.67996,895.91332,136.282,67.85652,28.39376,35.29916,650.30297,1335.19307,4328.97151,58.82997,2.13771
2009年,1910.53675,26.83578,324.92196,,21.0155,1312.45212,,0.60952,4344.96819,13.86399,197.15142,1.06834,786.4078,374.12932,23.54172,608.35443,41.74733,214.84936,1806.45216,1606.01696,5323.00587,1686.58144,369.68325,24.38616,134.28168,22.93374,1178.02829,902.21429,158.46389,94.41637,26.49433,29.44407,561.30032,1214.12454,4108.88133,55.69644,1.27475
2010年,2224.1637,26.43583,320.34743,,25.72937,1617.76803,,1.50252,5251.12865,13.22921,227.35603,1.31367,890.64105,442.87286,20.66206,601.49972,45.00857,209.70789,2176.78356,1873.25292,6274.20018,2060.64089,421.57181,29.10495,151.88162,30.53701,1535.3029,1195.86781,201.07589,107.82219,25.21983,33.21307,628.2209,1435.74649,4838.45369,52.16064,1.74158
2011年,2347.06632,32.11079,491.93282,0.77116,102.20137,2381.9619,1.54852,1.19394,7477.91789,16.75092,348.15895,5.42705,1285.0875,579.70229,24.36126,919.96539,57.54993,337.60069,4271.60497,2435.63125,9054.30254,2961.66419,656.41926,41.28137,248.6795,30.64409,2026.77999,1620.53769,223.17742,152.42079,32.67573,42.865,963.88433,1991.56887,7062.73367,62.75978,1.69348
2012年,2936.1666,42.6072,578.1047,2.87644,131.50953,3133.14725,2.68913,1.42586,9619.88953,18.73967,411.71804,3.12454,1620.75331,740.12233,15.69181,1115.32708,76.8024,414.93634,5496.95129,3097.51463,11530.63252,3873.26958,795.41591,50.88292,311.38615,36.99509,2578.7559,2071.83434,260.02513,209.90134,21.42811,55.17638,1279.15369,2478.49576,9052.13676,59.84303,1.1859
2013年,3128.22,33.92,571.57,3.36,33.57,3946.91,1.74,0.76,10492.75,18.95,403.95,0.16,855.72,1064.67,6.32,1052.84,65.21,378.78,5748.61,3469.19,12346.02,5011.58,800.43,45.71,330.07,22.36,2965.57,2578.58,118.93,245.7,7.7,23.73,1554.12,2680.36,9665.66,40.75,0.47
2014年,3389.55,33.04,612.44,3.84,28.75,4653.43,0.52,1.05,11644.11,22.33,424.24,0.14,750.58,1253.52,4.86,1089.26,66.43,373.5,6289.56,3898.42,13577.53,5906.96,844.16,39.29,357.77,19.05,3178.3,2773.55,110.33,275.36,6.38,23.05,1706.33,2867.83,10709.71,43.77,0.33
