,中型工业企业利息支出,中外合作经营工业企业利息支出,中外合资经营工业企业利息支出,其他外商投资工业企业利息支出,其他工业企业利息支出,其他有限责任公司工业企业利息支出,其他港澳台商投资工业企业利息支出,其他联营工业企业利息支出,内资工业企业利息支出,合作经营(港或澳、台资)工业企业利息支出,合资经营(港或澳、台资)工业企业利息支出,国有与集体联营工业企业利息支出,国有工业企业利息支出,国有独资公司工业企业利息支出,国有联营工业企业利息支出,外商投资工业企业利息支出,外商投资股份有限公司工业企业利息支出,外资工业企业利息支出,大型工业企业利息支出,小型工业企业利息支出,工业企业利息支出,有限责任公司工业企业利息支出,港、澳、台商投资工业企业利息支出,港澳台商投资股份有限公司工业企业利息支出,港澳台商独资经营工业企业利息支出,私营合伙工业企业利息支出,私营工业企业利息支出,私营有限责任公司工业企业利息支出,私营独资工业企业利息支出,私营股份有限公司工业企业利息支出,联营工业企业利息支出,股份合作工业企业利息支出,股份有限公司工业企业利息支出,轻工业企业利息支出,重工业企业利息支出,集体工业企业利息支出,集体联营工业企业利息支出
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,265.77255,12.28926,137.1821,,2.89379,171.84775,,1.5898,1481.71445,26.65079,107.92601,4.94489,658.39821,153.75604,11.72029,191.40627,5.66558,36.26933,1015.39644,560.22701,1841.396,325.60379,168.27528,10.47978,23.2187,4.28421,60.54571,30.11945,22.73867,3.40338,21.03133,42.86108,202.90905,545.93189,1295.46411,167.47149,2.77635
2001年,254.92456,13.74406,121.09782,,0.29433,236.7992,,3.29297,1425.93394,26.1928,87.64857,3.72529,517.71985,178.58758,7.33274,181.314,11.56989,34.90223,1029.6655,473.30297,1757.89303,415.38678,150.64509,11.39628,25.40744,4.57502,87.05377,52.10368,24.82112,5.55395,16.37359,34.70318,229.34046,503.41332,1254.47971,125.06198,2.02259
2002年,255.77748,15.49852,106.47341,,0.74475,280.31396,,2.93403,1488.08626,17.59256,87.16316,3.63605,497.22196,201.56056,7.37774,171.27282,12.64008,36.66081,1065.23855,472.39355,1793.40958,481.87452,134.0505,10.10404,19.19074,5.16422,114.21319,73.35769,28.45563,7.23565,15.27583,35.24036,238.24761,509.49655,1283.91303,105.26804,1.32801
