,中型工业企业应付帐款,中外合作经营工业企业应付帐款,中外合资经营工业企业应付帐款,其他外商投资工业企业应付帐款,其他工业企业应付帐款,其他有限责任公司工业企业应付帐款,其他港澳台商投资工业企业应付帐款,其他联营工业企业应付帐款,内资工业企业应付帐款,合作经营(港或澳、台资)工业企业应付帐款,合资经营(港或澳、台资)工业企业应付帐款,国有与集体联营工业企业应付帐款,国有工业企业应付帐款,国有独资公司工业企业应付帐款,国有联营工业企业应付帐款,外商投资工业企业应付帐款,外商投资股份有限公司工业企业应付帐款,外资工业企业应付帐款,大型工业企业应付帐款,小型工业企业应付帐款,工业企业应付帐款,有限责任公司工业企业应付帐款,港、澳、台商投资工业企业应付帐款,港澳台商投资股份有限公司工业企业应付帐款,港澳台商独资经营工业企业应付帐款,私营合伙工业企业应付帐款,私营工业企业应付帐款,私营有限责任公司工业企业应付帐款,私营独资工业企业应付帐款,私营股份有限公司工业企业应付帐款,联营工业企业应付帐款,股份合作工业企业应付帐款,股份有限公司工业企业应付帐款,轻工业企业应付帐款,重工业企业应付帐款,集体工业企业应付帐款,集体联营工业企业应付帐款
2004年,8455.63,222.98,2593.0,0.0,13.21,3875.35,0.0,14.27,14826.44,221.6,1221.11,19.78,3100.89,1382.04,48.82,6764.87,164.6,3784.29,8590.43,8374.27,25420.32,5257.39,3829.02,109.28,2277.03,79.92,3217.5,2567.96,411.27,158.35,94.18,247.87,2203.83,7348.46,18071.86,691.56,11.31
2005年,9683.07513,283.13601,3077.9576,0.0,61.98904,4655.88049,0.0,16.63301,17158.20951,208.94017,1311.63561,22.01203,3337.68637,1847.27626,67.33924,8137.18772,179.04597,4597.04814,11540.50953,8623.0901,29846.67476,6503.15675,4551.27753,112.39433,2918.30742,88.6482,3788.10034,3048.80514,461.91889,188.72811,117.98112,265.64051,2473.13821,8004.25059,21842.42417,610.51717,11.99684
2006年,11545.89,240.01,3598.95,0.0,42.0,5948.7,0.0,20.99,20640.66,225.91,1503.55,20.71,3646.95,2183.03,59.89,9701.64,268.31,5594.37,13677.81,10146.66,35370.36,8131.73,5028.05,123.43,3175.16,115.73,4909.03,3950.74,604.59,237.97,114.69,252.22,2915.54,9260.09,26110.27,628.5,13.09
2007年,14096.73754,303.46327,4536.45661,0.0,93.62611,7226.18788,0.0,29.49425,25056.3153,255.01443,1838.65461,26.46756,4184.31728,2578.13963,97.83011,12368.29252,380.51572,7147.85692,17264.35429,12157.51255,43518.60438,9804.32751,6093.99656,164.07217,3836.25535,128.16072,6280.82051,5125.39724,699.60898,327.65357,164.80041,249.62692,3645.56511,10898.00105,32620.60333,633.23145,11.00849
2008年,15799.87424,264.79684,4713.83217,0.0,120.43057,9602.18788,0.0,27.5306,32616.31967,157.815,1866.75679,16.91007,5575.5493,2635.5589,141.20671,12006.43362,419.55478,6608.24983,19777.09285,15490.07807,51067.04516,12237.74678,6444.29187,203.76921,4215.95087,189.85139,8893.55857,7105.71611,1068.27689,529.71418,196.95725,263.50447,4740.73087,12158.90226,38908.1429,587.84186,11.30987
2009年,17864.4282,245.71447,6057.7442,0.0,161.58721,10819.48933,0.0,11.75987,36944.54889,193.39403,1999.98494,13.88251,6260.39825,3394.1759,108.11066,14128.8347,394.32756,7431.04847,23911.1373,16392.37263,58167.93813,14213.66523,7094.55454,290.18075,4610.99482,186.76958,9837.22801,7951.06092,1082.09783,617.29968,144.40181,251.32816,5524.94837,13281.83819,44886.09994,550.99185,10.64877
2010年,22215.57713,309.48267,7208.84433,0.0,186.90239,13504.98753,0.0,8.49074,45043.65506,232.39527,2652.94174,22.72535,7757.10165,3919.81697,75.89096,17479.43147,592.39747,9368.707,30807.27142,18353.14629,71375.99484,17424.8045,8852.90831,404.61943,5562.95187,221.4854,11932.92164,9513.43683,1329.57877,868.42064,121.30976,248.16776,6730.72882,15572.16134,55803.8335,641.71854,14.20271
2011年,19031.74577,317.66437,7567.15923,15.61081,793.43735,16247.08957,8.44757,20.98719,52593.58342,170.27274,3147.3182,19.77447,8954.69747,4240.46787,81.56325,18607.83927,599.34512,10108.05974,44007.96956,18351.97092,81391.68625,20487.55744,10190.26356,395.45251,6468.77254,180.16122,12671.56579,10356.58472,1160.82779,973.99206,135.35418,229.4037,8736.19899,16772.75254,64618.93371,585.3685,13.02927
2012年,20898.45239,337.44899,7636.85845,46.19919,978.81184,19253.46796,15.30594,15.39873,60900.21412,193.54648,3277.7376,21.21272,10266.64364,4640.45056,78.75983,19022.10951,621.04983,10380.55305,49177.20657,21341.601,91417.25996,23893.91852,11494.93633,517.46843,7490.87788,193.83662,14823.48799,12416.66088,1153.85631,1059.13418,131.80069,252.5462,9893.92076,18518.01338,72899.24658,659.08448,16.42941
2013年,23476.47,354.58,9144.18,42.26,279.78,25185.26,7.12,7.44,70924.32,174.55,3404.77,7.16,6801.87,7375.45,25.27,21009.11,652.05,10816.04,56034.69,24594.75,104105.91,32560.71,12172.48,587.02,7999.02,113.31,18168.08,16127.32,556.5,1370.95,45.45,107.13,12467.02,21131.2,82974.71,494.28,5.59
2014年,25839.5,337.53,9351.5,68.09,217.77,29112.25,4.25,5.81,78678.06,190.17,3626.83,5.62,6932.79,7619.78,13.76,21374.19,588.77,11028.3,59047.11,27932.81,112819.42,36732.03,12767.17,483.29,8462.63,100.28,20541.78,18386.18,593.86,1461.46,28.31,108.97,13515.2,22671.85,90147.57,601.21,3.11
