,中型工业企业财务费用,中外合作经营工业企业财务费用,中外合资经营工业企业财务费用,其他外商投资工业企业财务费用,其他工业企业财务费用,其他有限责任公司工业企业财务费用,其他港澳台商投资工业企业财务费用,其他联营工业企业财务费用,内资工业企业财务费用,合作经营(港或澳、台资)工业企业财务费用,合资经营(港或澳、台资)工业企业财务费用,国有与集体联营工业企业财务费用,国有工业企业财务费用,国有独资公司工业企业财务费用,国有联营工业企业财务费用,外商投资工业企业财务费用,外商投资股份有限公司工业企业财务费用,外资工业企业财务费用,大型工业企业财务费用,小型工业企业财务费用,工业企业财务费用,有限责任公司工业企业财务费用,港、澳、台商投资工业企业财务费用,港澳台商投资股份有限公司工业企业财务费用,港澳台商独资经营工业企业财务费用,私营合伙工业企业财务费用,私营工业企业财务费用,私营有限责任公司工业企业财务费用,私营独资工业企业财务费用,私营股份有限公司工业企业财务费用,联营工业企业财务费用,股份合作工业企业财务费用,股份有限公司工业企业财务费用,轻工业企业财务费用,重工业企业财务费用,集体工业企业财务费用,集体联营工业企业财务费用
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,281.91085,13.87223,147.09427,,3.24314,180.98357,,1.94427,1567.35256,28.02486,118.91281,5.89635,676.55112,158.54449,11.58234,205.22042,5.80952,38.4444,1031.11559,647.93484,1960.96128,339.52806,188.3883,11.47985,29.97078,5.21931,72.0344,34.62048,28.03106,4.16355,23.02045,48.73736,204.49996,606.24884,1354.71244,199.73807,3.59749
2001年,279.94984,15.97809,136.10263,,0.44859,256.69084,,3.41937,1526.19912,28.58848,96.13125,4.37858,529.25443,186.8274,9.53971,200.54768,11.59589,36.87107,1062.1852,562.46394,1904.59898,443.51824,177.85218,11.76242,41.37003,5.66766,103.73028,59.71952,31.33431,7.00879,19.67856,40.92959,235.88806,577.86147,1326.73751,152.75137,2.3409
2002年,283.51972,17.93694,138.45825,,0.94849,303.75106,,3.09191,1610.1426,20.29884,96.67878,5.2193,521.45852,204.86261,7.69846,229.7647,16.14482,57.22469,1140.29326,576.95288,2000.76586,508.61367,160.85856,10.81385,33.06709,6.51188,138.55385,85.83685,37.10711,9.09801,17.63938,39.8462,255.18435,595.3375,1405.42836,127.89814,1.62971
