,中型工业企业财务费用,中外合作经营工业企业财务费用,中外合资经营工业企业财务费用,其他外商投资工业企业财务费用,其他工业企业财务费用,其他有限责任公司工业企业财务费用,其他港澳台商投资工业企业财务费用,其他联营工业企业财务费用,内资工业企业财务费用,合作经营(港或澳、台资)工业企业财务费用,合资经营(港或澳、台资)工业企业财务费用,国有与集体联营工业企业财务费用,国有工业企业财务费用,国有独资公司工业企业财务费用,国有联营工业企业财务费用,外商投资工业企业财务费用,外商投资股份有限公司工业企业财务费用,外资工业企业财务费用,大型工业企业财务费用,小型工业企业财务费用,工业企业财务费用,有限责任公司工业企业财务费用,港、澳、台商投资工业企业财务费用,港澳台商投资股份有限公司工业企业财务费用,港澳台商独资经营工业企业财务费用,私营合伙工业企业财务费用,私营工业企业财务费用,私营有限责任公司工业企业财务费用,私营独资工业企业财务费用,私营股份有限公司工业企业财务费用,联营工业企业财务费用,股份合作工业企业财务费用,股份有限公司工业企业财务费用,轻工业企业财务费用,重工业企业财务费用,集体工业企业财务费用,集体联营工业企业财务费用
2003年,851.13715,18.05243,137.38182,,1.38898,382.22577,,1.49632,1709.50247,17.26731,96.29251,2.45158,495.71159,197.8595,7.02064,250.412,19.3277,75.65005,705.32158,569.35246,2125.81119,580.08527,165.89672,12.45954,39.87736,8.93701,220.54726,146.2649,50.36056,14.98479,12.81931,36.90544,247.55394,615.86535,1509.94584,114.49068,1.85077
2004年,954.42,20.2,154.45,,0.95,546.61,,1.87,1984.82,14.89,112.5,1.77,476.34,196.07,20.93,303.56,25.91,103.0,787.25,740.02,2481.69,742.68,193.31,14.88,51.04,9.64,356.62,272.52,50.98,23.48,25.67,29.9,272.62,684.96,1796.72,80.05,1.1
2005年,979.26916,21.71512,140.08362,,5.03182,629.90084,,1.32068,2202.99998,13.38542,128.91512,1.64568,424.0537,235.70281,21.81744,250.91521,22.05801,67.05846,898.99766,792.76968,2671.0365,865.60365,217.12131,15.32904,59.49173,13.65156,465.8646,354.70045,70.18286,27.32973,25.98383,30.90111,301.02763,785.63138,1885.40512,84.53364,1.20003
2006年,1251.01,23.18,220.96,,6.04,811.62,,1.28,2690.81,13.13,156.93,1.71,459.3,281.3,22.86,414.18,25.46,144.57,1117.01,1007.21,3375.24,1092.92,270.25,15.82,84.36,16.37,632.49,486.91,91.06,38.15,27.8,29.37,362.15,947.46,2427.78,80.73,1.95
2007年,1573.09808,28.52642,250.8486,,9.50499,1088.31182,,1.49927,3479.57695,15.8288,206.17908,2.574,557.49186,320.5511,23.13565,463.13833,47.74517,136.01814,1373.16941,1341.6133,4287.88079,1408.86292,345.16551,21.28156,101.87607,20.6534,903.25959,706.954,123.08347,52.56872,28.60568,39.05882,446.24478,1196.51772,3091.36307,86.54831,1.39676
2008年,2134.8854,26.99417,375.62807,,22.90222,1523.31589,,1.57483,4987.98977,15.50902,233.64609,2.21794,876.94323,361.23148,20.63446,633.68216,42.85332,188.2066,1925.7231,1961.20608,6021.81458,1884.54737,400.14265,22.26417,128.72337,28.35358,1389.35741,1074.19509,193.38066,93.42808,26.86416,42.32145,670.47214,1505.02214,4516.79244,74.58179,2.43693
2009年,2075.2263,29.62454,368.66185,,26.68888,1398.50908,,0.79029,4753.52059,15.28908,223.31355,1.24744,804.28313,368.02835,20.9422,712.41161,43.97988,270.14534,1852.21557,1971.43123,5898.8731,1766.53743,432.9409,27.66707,166.6712,31.38968,1441.98102,1085.44799,217.20077,107.94258,24.85556,35.44109,586.86138,1436.46758,4462.40552,66.8721,1.87563
2010年,2418.06586,24.67958,353.78579,,33.15805,1758.83124,,1.84218,5887.66479,16.03677,271.3079,1.42374,918.54244,447.78407,17.96678,648.52392,44.75893,225.29962,2259.68462,2346.92962,7024.6801,2206.61531,488.49139,28.51518,172.63154,41.53532,1921.38128,1465.59007,283.51847,130.73742,23.2391,40.33352,675.91806,1715.67818,5309.00192,68.47703,2.0064
2011年,2388.24461,25.90903,372.62597,0.87977,112.87081,2474.10001,1.91133,1.41334,7748.95614,16.29338,339.93262,3.89355,1204.63858,517.35658,18.70025,602.23759,45.05809,157.76473,3702.82513,2822.38083,8913.45057,2991.45659,562.25684,35.61442,168.50509,42.61125,2415.9179,1899.53484,310.07727,163.69454,26.05584,51.2476,871.38667,2012.94268,6900.50789,75.38215,2.0487
2012年,2949.82422,48.24717,523.20575,2.58438,144.34629,3091.49445,3.04941,1.81413,9585.84382,17.72069,399.55195,2.76646,1541.23016,631.8293,17.26178,988.74934,66.70353,348.00851,4834.89547,3510.86734,11295.58703,3723.32375,720.99387,45.12469,255.54713,49.85815,2921.53923,2313.5472,347.05118,211.0827,23.09346,56.4272,1105.08991,2477.8699,8817.71713,70.79382,1.25109
2013年,3135.85,28.31,430.82,2.98,39.45,3920.64,1.91,0.83,10565.24,18.03,380.94,0.21,767.77,956.55,4.04,732.82,54.82,215.9,4862.24,4010.17,12008.26,4877.19,710.2,34.74,274.58,30.86,3471.55,3004.66,159.86,276.17,5.65,13.61,1340.96,2708.56,9299.7,49.04,0.57
2014年,3441.19,33.43,495.32,4.21,30.03,4727.36,0.25,1.14,11919.5,20.95,408.1,0.17,705.03,1163.86,4.21,845.16,60.61,251.59,5572.06,4469.01,13482.25,5891.22,717.59,33.43,254.86,26.48,3717.69,3247.29,149.11,294.81,6.05,9.08,1509.79,2907.31,10574.94,50.6,0.53
