,中成药制造高技术产业研究与试验发展项目经费(大中型工业企业口径),仪器仪表制造业高技术产业研究与试验发展项目经费(大中型工业企业口径),其他电子设备制造高技术产业研究与试验发展项目经费(大中型工业企业口径),化学药品制造高技术产业研究与试验发展项目经费(大中型工业企业口径),医疗仪器设备及器械制造业高技术产业研究与试验发展项目经费(大中型工业企业口径),医疗器械及仪器仪表制造业高技术产业研究与试验发展项目经费(大中型工业企业口径),医药制造业高技术产业研究与试验发展项目经费(大中型工业企业口径),家用视听设备制造业高技术产业研究与试验发展项目经费(大中型工业企业口径),广播电视设备制造业高技术产业研究与试验发展项目经费(大中型工业企业口径),生物、生化制品的制造高技术产业研究与试验发展项目经费(大中型工业企业口径),电子元件制造业高技术产业研究与试验发展项目经费(大中型工业企业口径),电子及通信设备制造业高技术产业研究与试验发展项目经费(大中型工业企业口径),电子器件制造业高技术产业研究与试验发展项目经费(大中型工业企业口径),电子计算机及办公设备制造业高技术产业研究与试验发展项目经费(大中型工业企业口径),电子计算机外部设备制造业高技术产业研究与试验发展项目经费(大中型工业企业口径),电子计算机整机制造业高技术产业研究与试验发展项目经费(大中型工业企业口径),航空航天器制造业高技术产业研究与试验发展项目经费(大中型工业企业口径),通信设备制造业高技术产业研究与试验发展项目经费(大中型工业企业口径),雷达及配套设备制造业高技术产业研究与试验发展项目经费(大中型工业企业口径),高技术产业研究与试验发展项目经费(大中型工业企业口径)
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,
2009年,153616.7,329123.3,77748.0,546142.0,120058.9,449182.2,831642.3,547992.3,33797.0,82365.2,572852.8,4104486.4,585296.0,896649.6,391256.0,352623.1,350888.5,2252012.7,34787.6,6632849.0
2010年,174143.8,385884.0,112453.3,680478.4,135620.1,521504.1,1024415.2,623651.6,36422.2,110005.0,759098.8,5247011.0,752935.7,1058918.9,541992.4,355743.5,600949.5,2917921.8,44528.0,8452799.1
2011年,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,
