,中成药制造高技术产业新产品开发项目数(大中型工业企业口径),仪器仪表制造业高技术产业新产品开发项目数(大中型工业企业口径),其他电子设备制造高技术产业新产品开发项目数(大中型工业企业口径),化学药品制造高技术产业新产品开发项目数(大中型工业企业口径),医疗仪器设备及器械制造业高技术产业新产品开发项目数(大中型工业企业口径),医疗器械及仪器仪表制造业高技术产业新产品开发项目数(大中型工业企业口径),医药制造业高技术产业新产品开发项目数(大中型工业企业口径),家用视听设备制造业高技术产业新产品开发项目数(大中型工业企业口径),广播电视设备制造业高技术产业新产品开发项目数(大中型工业企业口径),生物、生化制品的制造高技术产业新产品开发项目数(大中型工业企业口径),电子元件制造业高技术产业新产品开发项目数(大中型工业企业口径),电子及通信设备制造业高技术产业新产品开发项目数(大中型工业企业口径),电子器件制造业高技术产业新产品开发项目数(大中型工业企业口径),电子计算机及办公设备制造业高技术产业新产品开发项目数(大中型工业企业口径),电子计算机外部设备制造业高技术产业新产品开发项目数(大中型工业企业口径),电子计算机整机制造业高技术产业新产品开发项目数(大中型工业企业口径),航空航天器制造业高技术产业新产品开发项目数(大中型工业企业口径),通信设备制造业高技术产业新产品开发项目数(大中型工业企业口径),雷达及配套设备制造业高技术产业新产品开发项目数(大中型工业企业口径),高技术产业新产品开发项目数(大中型工业企业口径)
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,
2009年,2135.0,3768.0,592.0,5437.0,673.0,4441.0,8837.0,3593.0,225.0,723.0,4972.0,21980.0,4499.0,2110.0,1163.0,539.0,2604.0,7607.0,492.0,39972.0
2010年,2121.0,3754.0,776.0,5900.0,743.0,4497.0,9410.0,3465.0,262.0,808.0,5497.0,18486.0,3853.0,7563.0,2193.0,5038.0,2864.0,3867.0,766.0,42820.0
2011年,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,
