,其他发电累计新增生产能力,其他汽车制造累计新增生产能力,其他酒累计新增生产能力,化学纤维累计新增生产能力,卷烟累计新增生产能力,原煤开采累计新增生产能力,啤酒累计新增生产能力,城市自来水供水能力(万吨/日)累计新增生产能力,塑料树脂及共聚物累计新增生产能力,天然原油开采累计新增生产能力,天然气开采累计新增生产能力,客车制造累计新增生产能力,家用洗衣机累计新增生产能力,家用电冰箱累计新增生产能力,平板玻璃累计新增生产能力,改建公路累计新增生产能力,新(扩)建港口码头年吞吐量累计新增生产能力,新(扩)建港口码头泊位累计新增生产能力,新建公路累计新增生产能力,新建铁路投产里程累计新增生产能力,机制纸浆累计新增生产能力,核能发电累计新增生产能力,棉纺锭累计新增生产能力,毛纺锭累计新增生产能力,氧化铝累计新增生产能力,氮肥累计新增生产能力,水力发电累计新增生产能力,水泥累计新增生产能力,火力发电累计新增生产能力,焦炭累计新增生产能力,生铁累计新增生产能力,电石累计新增生产能力,电视机累计新增生产能力,电解铅累计新增生产能力,电解铜累计新增生产能力,电解铝累计新增生产能力,电解锌累计新增生产能力,白酒累计新增生产能力,磷肥累计新增生产能力,粗钢累计新增生产能力,轮胎内胎累计新增生产能力,轮胎外胎累计新增生产能力,载货汽车制造累计新增生产能力,轿车制造累计新增生产能力,钾肥累计新增生产能力,铁合金累计新增生产能力,铁矿开采(原矿)累计新增生产能力,铅冶炼累计新增生产能力,铅含量累计新增生产能力,铅锌选矿处理原矿累计新增生产能力,铅锌采矿累计新增生产能力,铜冶炼累计新增生产能力,铜选矿处理原矿累计新增生产能力,铜选矿铜含量累计新增生产能力,铜采矿(原矿)累计新增生产能力,锌冶炼累计新增生产能力,锌含量累计新增生产能力,风能发电累计新增生产能力
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
