,其他发电累计新增生产能力,其他汽车制造累计新增生产能力,其他酒累计新增生产能力,化学纤维累计新增生产能力,卷烟累计新增生产能力,原煤开采累计新增生产能力,啤酒累计新增生产能力,城市自来水供水能力(万吨/日)累计新增生产能力,塑料树脂及共聚物累计新增生产能力,天然原油开采累计新增生产能力,天然气开采累计新增生产能力,客车制造累计新增生产能力,家用洗衣机累计新增生产能力,家用电冰箱累计新增生产能力,平板玻璃累计新增生产能力,改建公路累计新增生产能力,新(扩)建港口码头年吞吐量累计新增生产能力,新(扩)建港口码头泊位累计新增生产能力,新建公路累计新增生产能力,新建铁路投产里程累计新增生产能力,机制纸浆累计新增生产能力,核能发电累计新增生产能力,棉纺锭累计新增生产能力,毛纺锭累计新增生产能力,氧化铝累计新增生产能力,氮肥累计新增生产能力,水力发电累计新增生产能力,水泥累计新增生产能力,火力发电累计新增生产能力,焦炭累计新增生产能力,生铁累计新增生产能力,电石累计新增生产能力,电视机累计新增生产能力,电解铅累计新增生产能力,电解铜累计新增生产能力,电解铝累计新增生产能力,电解锌累计新增生产能力,白酒累计新增生产能力,磷肥累计新增生产能力,粗钢累计新增生产能力,轮胎内胎累计新增生产能力,轮胎外胎累计新增生产能力,载货汽车制造累计新增生产能力,轿车制造累计新增生产能力,钾肥累计新增生产能力,铁合金累计新增生产能力,铁矿开采(原矿)累计新增生产能力,铅冶炼累计新增生产能力,铅含量累计新增生产能力,铅锌选矿处理原矿累计新增生产能力,铅锌采矿累计新增生产能力,铜冶炼累计新增生产能力,铜选矿处理原矿累计新增生产能力,铜选矿铜含量累计新增生产能力,铜采矿(原矿)累计新增生产能力,锌冶炼累计新增生产能力,锌含量累计新增生产能力,风能发电累计新增生产能力
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,1289.51,145375.0,46.29,3589820.36,1259999.0,31589.45,612.59,2192.88,4057632.01,1978.19,62.26,43900.0,535.5,1184.55,17453.07,156123.82,19181.68,159.0,82934.43,1716.92,193.96,457.0,11084609.0,355949.0,3331940.0,5370168.0,5099.18,29085.57,9850.34,5436.83,5679.79,2931194.0,535.4,327880.0,314546.0,273265.0,72200.0,191.11,3130818.0,3213.11,4466.52,7763.55,186046.0,2374603.0,784247.5,2124177.87,9287.68,620519.0,105331.4,902.29,1473.12,1185096.24,330.5,3590.0,1595.02,450353.0,123939.4,
2009年,2185.23,126900.0,93.95,2228343.2,1359137.0,45825.07,383.54,3009.44,2769837.8,2930.08,24.92,60440.0,496.5,361.0,11321.78,169334.99,19181.23,215.0,115891.68,6305.23,305.74,127.0,11504299.0,184702.0,2094800.0,8512961.0,6014.68,48244.87,9082.9,8044.98,4649.2,1987491.0,424.64,212500.0,995406.0,705714.0,266400.0,198.92,4436604.0,3624.75,7282.3,4748.2,482030.0,2762676.0,2136772.0,2203984.7,9380.26,992261.1,84818.5,1151.5,1998.94,1528611.6,851.35,13167.0,2204.08,829042.0,72375.0,
2010年,2738.0,171017.0,61.0,2345742.0,1584600.0,60424.0,528.0,2270.0,7746510.0,4412.0,208.0,246620.0,443.0,912.0,19027.0,136894.0,30041.0,257.0,82483.0,6855.0,247.0,892.0,11409791.0,356285.0,5439175.0,6873196.0,5590.0,54751.0,7417.0,10655.0,2659.0,3021451.0,415.0,259473.0,719600.0,1989150.0,730112.0,290.0,2410788.0,2580.0,4992.0,9467.0,296100.0,2070520.0,1950485.0,3053233.0,16425.0,1181129.0,264189.0,4115.0,2074.0,1672172.0,1326.0,49057.0,2599.0,1337897.0,208962.0,
2011年,668.3,510693.0,30.09,4984228.7,1527000.0,59654.9,543.23,2223.97,4511022.0,3815.17,367.83,383628.0,739.0,1053.2,11620.57,90276.64,31953.95,264.3,67409.86,8128.27,225.43,379.0,12709127.0,559100.0,1653240.0,7689387.5,5859.85,45857.15,7068.65,10180.11,3999.36,4218207.0,430.8,401530.0,929000.0,2773348.0,666000.0,226.35,1979701.0,2853.3,3640.0,10791.5,327274.0,1834461.0,3238899.0,435199.63,20565.0,1074194.0,201608.5,1854.43,3793.59,2214700.0,2605.64,49772.0,11014.45,1018222.0,234005.0,2488.17
2012年,1104.84,310106.0,57.91,4214052.0,2210000.0,72202.59,689.0,2569.23,9699208.84,3178.46,322.16,636913.0,494.0,2135.5,10669.05,75453.86,59152.38,343.0,82566.08,15307.42,247.95,735.0,13345103.0,131004.0,3771606.1,8447881.3,4929.25,43987.86,5925.67,8694.45,4534.06,6257611.7,652.0,341200.0,1062434.0,4185492.0,460400.0,310.81,2798846.0,2775.08,3394.5,13903.0,401571.0,2368875.0,2988257.0,,24718.9,1042307.0,327445.0,1781.3,4861.86,1840064.0,3763.66,51564.5,4437.59,703180.0,277627.0,2083.01
2013年,502.0,230330.0,146.3,5792356.1,2030800.0,65094.9,382.29,1628.62,9680167.4,4003.54,370.45,272202.0,382.0,1326.0,15319.52,71027.32,34706.62,360.82,73702.6,7766.87,169.19,796.0,12244096.2,189910.0,2135400.0,9401007.0,6606.27,41055.84,6279.54,8127.34,2937.81,,548.0,399900.0,637507.0,3222000.0,252877.0,221.73,1845167.0,3130.54,1796.0,13097.7,163480.0,2511150.0,1218755.0,,28202.27,766381.0,194884.9,1105.7,4899.38,1373644.0,3594.58,79209.0,4700.15,684643.0,242737.0,2124.56
2014年,687.34,135307.0,107.55,7125459.0,2150000.0,54361.65,394.17,1605.9,8644028.65,3255.91,207.09,191300.0,625.0,321.5,10486.8,77614.45,46619.31,430.8,78904.29,11824.69,150.73,1449.01,11215397.0,344404.0,1645667.6,7577941.03,8206.37,32410.7,6408.82,6503.3,1687.08,,723.0,200000.0,434600.0,3996168.5,,185.81,2028079.4,4015.47,2489.7,10609.14,162400.0,3123089.0,1502328.0,,18478.88,624514.9,197175.0,1445.38,4714.72,1253345.0,2049.51,71436.0,3050.85,568818.0,143725.0,2645.38
