,其他发电新开工规模,其他汽车制造新开工规模,其他酒新开工规模,化学纤维新开工规模,卷烟新开工规模,原煤开采新开工规模,啤酒新开工规模,城市自来水供水能力(万吨/日)新开工规模,塑料树脂及共聚物新开工规模,天然原油开采新开工规模,天然气开采新开工规模,客车制造新开工规模,家用洗衣机新开工规模,家用电冰箱新开工规模,平板玻璃新开工规模,改建公路新开工规模,新(扩)建港口码头年吞吐量新开工规模,新(扩)建港口码头泊位新开工规模,新建公路新开工规模,新建铁路投产里程新开工规模,机制纸浆新开工规模,核能发电新开工规模,棉纺锭新开工规模,毛纺锭新开工规模,氧化铝新开工规模,氮肥新开工规模,水力发电新开工规模,水泥新开工规模,火力发电新开工规模,焦炭新开工规模,生铁新开工规模,电石新开工规模,电视机新开工规模,电解铅新开工规模,电解铜新开工规模,电解铝新开工规模,电解锌新开工规模,白酒新开工规模,磷肥新开工规模,粗钢新开工规模,轮胎内胎新开工规模,轮胎外胎新开工规模,载货汽车制造新开工规模,轿车制造新开工规模,钾肥新开工规模,铁合金新开工规模,铁矿开采(原矿)新开工规模,铅冶炼新开工规模,铅含量新开工规模,铅锌选矿处理原矿新开工规模,铅锌采矿新开工规模,铜冶炼新开工规模,铜选矿处理原矿新开工规模,铜选矿铜含量新开工规模,铜采矿(原矿)新开工规模,锌冶炼新开工规模,锌含量新开工规模,风能发电新开工规模
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,140.0,49950.0,20.0,1182607.0,1107016.0,17962.0,217.0,,1878211.0,1891.0,54.0,704200.0,24.0,164.0,1204.0,77972.0,,1712.0,34156.0,,962.0,,5303311.0,68114.0,3169800.0,2442326.0,2242.0,13779.0,5229.0,9674.0,5429.0,1627987.0,68.0,56000.0,145390.0,2893221.0,87500.0,43.0,2115050.0,4928.0,618.0,2262.0,57085.0,784000.0,187850.0,754.0,744.0,278320.0,21430.0,199.0,3148.0,178190.0,30.0,3500.0,27.0,322819.0,25020.0,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,581.62,234849.0,58.91,2337251.0,1491368.0,41029.27,553.31,,5485937.0,2353.63,152.79,129045.0,959.7,516.0,9519.41,106765.1,,272.0,73487.41,,319.04,201.0,18577160.6,337234.0,4177370.0,6502050.0,5972.95,34075.99,10685.4,10099.45,9793.73,2003260.0,2939.0,436300.0,604375.0,1023871.5,32040.0,367.67,3115695.0,,2618.5,5205.6,276674.0,1983782.0,652796.0,1076.95,14414.22,931208.0,84300.0,572.6,1379.97,1570207.0,324.59,9015.0,736.92,817822.0,117172.0,
2006年,630.71,184405.0,141.16,1284957.0,1002714.0,39401.51,576.61,,3336073.0,1970.77,107.39,74300.0,668.0,414.0,4840.3,146751.32,11278.1,22357.88,70303.9,1987.48,249.92,330.08,22968870.0,273935.0,4768518.0,8368326.0,3204.15,28645.24,6011.47,5790.02,4046.53,1267580.0,606.2,519750.0,532844.0,1538818.0,223292.0,263.16,3930557.0,2078.42,3416.0,7266.8,320345.0,1309500.0,949245.0,3387064.31,10407.78,990072.0,185989.0,1515.38,2925.83,1287825.0,1024.15,37209.0,891.4,598388.0,269687.0,
2007年,1132.55,160343.0,187.16,2975542.0,890022.0,43303.69,1037.2,,6607521.0,2518.3,237.4,368134.0,273.0,1256.3,6703.61,186991.69,881107.0,256.0,104065.07,2923.25,447.41,102.2,23807260.0,210540.0,1494710.0,7480871.0,2524.36,38594.14,7953.58,7453.3,7975.78,3287131.0,509.6,328000.0,416512.0,1258238.0,235638.0,609.57,4293123.0,3936.91,5635.0,7633.05,140661.0,674270.0,951927.0,4447547.0,11182.33,1550175.0,298532.0,2503.19,3018.35,1531428.8,2063.05,240465.0,3820.11,7558219.0,423596.0,
2008年,1844.24,76062.0,53.05,3008839.36,1080005.0,33977.8,573.08,4489.92,3097489.93,1865.55,71.84,158400.0,503.5,1148.55,36062.79,145862.84,2601052.0,129.0,83893.17,6087.89,325.59,861.9,9253419.0,571478.0,1013750.0,5398662.0,2164.79,48084.19,7575.93,10249.14,6014.09,4353211.0,434.4,287800.0,494480.0,741840.0,162275.0,238.18,3238698.0,2967.01,5072.72,6305.65,155100.0,1007119.0,751192.94,4088452.42,11069.17,564909.0,134556.4,1094.84,1981.08,1204902.2,541.16,31890.0,2472.29,948663.3,168834.4,
2009年,2466.07,143139.0,62.86,2312065.7,2470006.0,48249.01,311.65,2515.44,3351531.3,1414.78,24.46,317340.0,662.0,381.0,9831.67,158398.96,13346.14,169.0,124507.33,4884.16,407.9,539.8,12152473.7,197302.0,2688400.0,8078900.0,2698.04,61802.58,6275.58,9076.68,2244.33,4039924.0,328.6,263380.0,757546.0,1018206.0,553330.0,220.92,4391468.67,1890.05,7809.0,3126.7,243650.0,589112.0,1123077.0,3019960.8,9772.48,912861.1,85203.5,709.24,2264.94,1829553.0,1032.77,23415.0,1405.05,1298142.0,48451.0,
2010年,3239.0,529761.0,86.0,2904942.0,854600.0,57410.0,730.0,1344.0,4121353.0,3635.0,477.0,719320.0,812.0,1371.0,18052.0,129330.0,47088.0,198.0,76487.0,4528.0,300.0,1368.0,12237186.0,77635.0,3736165.0,7990427.0,1649.0,42074.0,6820.0,11182.0,2277.0,2971915.0,126.0,213793.0,1265100.0,3152600.0,175112.0,205.0,3506526.0,1595.0,4665.0,7920.0,487500.0,1178700.0,1659243.0,2475420.0,17152.0,1064372.0,245689.0,2547.0,2241.0,2362872.0,893.0,17552.0,2182.0,1281743.0,195265.0,
2011年,676.34,335908.0,24.86,6504500.0,337000.0,60739.88,385.42,1623.74,9251167.0,2864.81,386.18,322470.0,240.0,803.2,14121.36,79577.09,29012.56,329.1,59818.28,1919.48,236.83,300.0,13275293.0,410800.0,5139617.0,10387232.5,1776.84,37871.75,4144.81,9318.19,4513.55,2900777.0,364.0,401530.0,485000.0,2323448.0,725000.0,222.01,2709446.0,3204.3,1933.0,7724.5,367778.0,2569339.0,957565.0,597669.3,17516.09,577954.0,213095.5,2136.67,18418.67,1304290.0,2953.04,85771.0,3253.3,1101225.0,261201.0,2447.07
2012年,1294.87,337941.0,103.02,5572379.0,1338000.0,65208.67,436.3,2177.59,10720465.0,2799.96,274.56,353663.0,801.0,2014.5,6772.09,73790.42,72328.2,402.0,82462.35,1588.91,267.78,473.0,11217702.0,61531.0,3076508.1,11074722.3,2349.64,39515.71,5713.27,7126.05,3661.04,10888406.7,1275.0,461200.0,914934.0,4493219.0,495800.0,1944.23,2557623.0,2490.51,2230.5,5659.78,77403.0,2753860.0,2809269.0,,21159.42,1037019.1,343946.0,1871.55,3865.86,1971595.0,1934.78,68041.35,2906.19,693380.0,317275.0,2477.75
2013年,555.33,169440.0,105.66,6301814.6,880600.0,44237.83,164.44,1460.22,8041558.7,2790.8,142.28,132199.0,268.0,725.0,7510.3,70201.1,30830.7,383.82,66886.78,2688.22,123.11,500.0,9083024.0,140877.0,3400400.0,6625065.0,3894.01,31296.54,5072.74,7300.28,1119.81,,491.0,332900.0,456067.0,2302000.0,252377.0,188.74,2888761.0,2506.84,2036.0,7983.7,51130.0,1324775.0,1216803.0,,25735.78,570481.0,192364.9,781.6,4599.75,1697690.0,3103.68,69734.0,5061.1,608341.0,242255.0,2137.33
2014年,565.4,179450.0,110.77,3133633.0,1217015.0,34765.7,216.58,1497.25,4905753.36,2778.83,224.89,228100.0,155.0,631.0,6409.5,76066.1,23251.3,255.0,64753.73,3361.59,121.83,332.01,8692662.0,78875.6,45926.5,9537858.83,1319.72,23703.91,10361.67,4816.11,747.7,,458.0,140030.0,263100.0,1036306.5,,149.02,1836560.2,1847.28,1153.9,10281.23,132800.0,2047181.0,2736570.0,,14832.91,559525.9,177830.0,1242.58,3821.22,1301933.5,806.54,78948.5,1742.75,898263.0,116040.0,2774.73
