,其他发电新开工规模,其他汽车制造新开工规模,其他酒新开工规模,化学纤维新开工规模,卷烟新开工规模,原煤开采新开工规模,啤酒新开工规模,城市自来水供水能力(万吨/日)新开工规模,塑料树脂及共聚物新开工规模,天然原油开采新开工规模,天然气开采新开工规模,客车制造新开工规模,家用洗衣机新开工规模,家用电冰箱新开工规模,平板玻璃新开工规模,改建公路新开工规模,新(扩)建港口码头年吞吐量新开工规模,新(扩)建港口码头泊位新开工规模,新建公路新开工规模,新建铁路投产里程新开工规模,机制纸浆新开工规模,核能发电新开工规模,棉纺锭新开工规模,毛纺锭新开工规模,氧化铝新开工规模,氮肥新开工规模,水力发电新开工规模,水泥新开工规模,火力发电新开工规模,焦炭新开工规模,生铁新开工规模,电石新开工规模,电视机新开工规模,电解铅新开工规模,电解铜新开工规模,电解铝新开工规模,电解锌新开工规模,白酒新开工规模,磷肥新开工规模,粗钢新开工规模,轮胎内胎新开工规模,轮胎外胎新开工规模,载货汽车制造新开工规模,轿车制造新开工规模,钾肥新开工规模,铁合金新开工规模,铁矿开采(原矿)新开工规模,铅冶炼新开工规模,铅含量新开工规模,铅锌选矿处理原矿新开工规模,铅锌采矿新开工规模,铜冶炼新开工规模,铜选矿处理原矿新开工规模,铜选矿铜含量新开工规模,铜采矿(原矿)新开工规模,锌冶炼新开工规模,锌含量新开工规模,风能发电新开工规模
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
