,其他发电施工规模,其他汽车制造施工规模,其他酒施工规模,化学纤维施工规模,卷烟施工规模,原煤开采施工规模,啤酒施工规模,城市自来水供水能力(万吨/日)施工规模,塑料树脂及共聚物施工规模,天然原油开采施工规模,天然气开采施工规模,客车制造施工规模,家用洗衣机施工规模,家用电冰箱施工规模,平板玻璃施工规模,改建公路施工规模,新(扩)建港口码头年吞吐量施工规模,新(扩)建港口码头泊位施工规模,新建公路施工规模,新建铁路投产里程施工规模,机制纸浆施工规模,核能发电施工规模,棉纺锭施工规模,毛纺锭施工规模,氧化铝施工规模,氮肥施工规模,水力发电施工规模,水泥施工规模,火力发电施工规模,焦炭施工规模,生铁施工规模,电石施工规模,电视机施工规模,电解铅施工规模,电解铜施工规模,电解铝施工规模,电解锌施工规模,白酒施工规模,磷肥施工规模,粗钢施工规模,轮胎内胎施工规模,轮胎外胎施工规模,载货汽车制造施工规模,轿车制造施工规模,钾肥施工规模,铁合金施工规模,铁矿开采(原矿)施工规模,铅冶炼施工规模,铅含量施工规模,铅锌选矿处理原矿施工规模,铅锌采矿施工规模,铜冶炼施工规模,铜选矿处理原矿施工规模,铜选矿铜含量施工规模,铜采矿(原矿)施工规模,锌冶炼施工规模,锌含量施工规模,风能发电施工规模
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
