,货币当局不计入储备货币的金融性公司存款,货币当局储备货币,货币当局储备货币发行,货币当局其他国外资产,货币当局其他负债,货币当局其他资产,货币当局其他金融性公司存款,货币当局发行债券,货币当局国外负债,货币当局国外资产,货币当局外汇,货币当局存款货币银行存款,货币当局对其他金融性公司债权,货币当局对存款货币银行债权,货币当局对政府债权,货币当局对非金融性公司债权,货币当局总负债,货币当局总资产,货币当局政府存款,货币当局自有资金,货币当局货币黄金,货币当局金融性公司存款
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,101545.4,32971.58,9319.23,14837.14,7098.18,321.02,34469.13,947.28,124825.18,115168.71,68094.84,12972.34,7862.8,16317.71,63.59,169139.8,169139.8,17121.1,219.75,337.24,68415.86
2008年,591.2,129222.33,37115.76,12582.02,13586.45,8027.2,211.85,45779.83,732.59,162543.52,149624.26,91894.72,11852.66,8432.5,16195.99,44.12,207095.99,207095.99,16963.84,219.75,337.24,92106.57
2009年,624.774844132,143985.0,41555.8,9508.57388929,18653.2031056,7804.02510462,148.52289285,42064.2079,761.724926578,185333.0,175154.585312,102280.673042,11530.1458482,7161.91676666,15661.9718672,43.9573339719,227535.016121,227535.016121,21226.3550231,219.752026632,669.84,102429.2
2010年,657.2,185311.080995,48646.020411,7983.0560546,7592.23383473,7597.67466929,184.2,40497.2309,720.080615481,215419.6,206766.707299,136480.861853,11325.8070174,9485.7,15421.110872,24.9893339719,259274.889897,259274.889897,24277.3213708,219.752026632,669.84,136665.060584
2011年,908.365378366,224641.755198,55850.071061,4839.49241614,6437.96861387,6763.30878476,0.0,23336.657,2699.43773388,237898.06067,232388.728254,168791.684137,10643.9666174,10247.5399982,15399.7312477,24.9893339719,280977.596652,280977.596652,22733.6607016,219.752026632,669.84,0.0
2012年,1348.84734064,252345.169203,60645.965831,4077.12527158,4525.91294299,11041.9058833,0.0,13880.0,1464.23960973,241416.896291,236669.93102,191699.203372,10038.6249026,16701.0829443,15313.6871362,24.9893339719,294537.186492,294537.186492,20753.2653693,219.752026632,669.84,0.0
2013年,1330.27296843,271023.093462,64980.928351,7293.65628973,6244.56579016,7652.04148672,0.0,7762.0,2088.2688903,272233.533648,264270.037359,206042.165111,8907.3591059,13147.8955889,15312.7339876,24.9893339719,317278.553152,317278.553152,28610.6000145,219.752026632,669.84,0.0
2014年,1558.35289567,294093.015652,67151.278031,7271.679751,2746.51457868,11467.4965123,0.0,6522.0,1833.82584033,278622.853509,270681.333758,226941.737621,7848.81335378,24985.2736425,15312.7339876,11.6221752734,338248.79318,338248.79318,31275.332187,219.752026632,669.84,0.0
