,保险公司资金运用中企业债券,保险公司资金运用中国债,保险公司资金运用中证券投资基金,保险公司资金运用中金融债券,保险公司资金运用中银行存款,保险公司资金运用余额
1978年,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0
2004年,639.732947,2618.435574,666.323405,1026.250594,5071.097008,10778.619968
2005年,1204.551621,3590.649548,1106.998877,1804.714716,5165.552082,14092.690854
2006年,2121.5641,3647.012213,912.084917,2754.254641,5989.10812,17785.398357
2007年,2799.76,3956.56,2519.41,4897.84,6503.44,26647.81
2008年,4598.46,4208.26,1646.46,8754.06,8087.49,30552.83
2009年,6074.5583,4053.816374,2758.782178,8746.102262,10519.68317,37417.115565
2010年,7935.69,4815.78,2620.73,10038.75,13909.97,46046.62
2011年,8755.86,4741.9,2909.92,12418.8,17692.69,55192.98
2012年,10899.98,4795.02,3625.58,14832.57,23446.0,68542.58
2013年,13727.75,4776.73,3575.52,14811.84,22640.98,76873.41
2014年,15465.13,5009.88,4714.28,15067.12,25310.73,93314.43
