,其他存款性公司不纳入广义货币的其他存款,其他存款性公司不纳入广义货币的可转让存款,其他存款性公司不纳入广义货币的存款,其他存款性公司债券发行,其他存款性公司储备资产,其他存款性公司其他负债,其他存款性公司其他资产,其他存款性公司准备金存款,其他存款性公司国外负债,其他存款性公司国外资产,其他存款性公司实收资本,其他存款性公司对中央银行债权,其他存款性公司对中央银行负债,其他存款性公司对其他存款性公司债权,其他存款性公司对其他存款性公司负债,其他存款性公司对其他居民部门债权,其他存款性公司对其他金融性公司债权,其他存款性公司对其他金融性公司负债,其他存款性公司对其他金融性公司负债中计入广义货币的存款,其他存款性公司对政府债权,其他存款性公司对非金融性公司债权,其他存款性公司对非金融机构及住户负债,其他存款性公司对非金融机构及住户负债其他负债,其他存款性公司库存现金,其他存款性公司总负债,其他存款性公司总资产,其他存款性公司纳入广义货币的个人存款,其他存款性公司纳入广义货币的企业定期存款,其他存款性公司纳入广义货币的企业活期存款,其他存款性公司纳入广义货币的存款
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,6871.8,4339.2,11210.9,42335.3,93915.3,55798.4,38609.5,91018.5,5143.4,22303.1,21751.1,42683.0,4610.0,75741.1,32580.3,57136.9,12450.5,32029.8,8808.3,30202.4,268459.8,447253.5,3903.2,2896.8,641501.7,641501.7,217801.4,82339.9,131998.2,432139.4
2009年,6489.50689968,5299.98277288,11789.4896726,51924.5180889,104575.528367,65913.2258353,46317.9142145,101266.700416,6018.75301431,17807.2298315,23130.834502,54632.2904789,5584.4617536,97914.5060238,44022.1232171,83655.6673364,16977.7213584,42161.5944382,15111.32032,38052.8005943,349884.361003,571062.508359,2406.79034029,3308.8279509,809818.019208,809818.019208,260236.735892,113430.661172,183198.831282,556866.228346
2010年,7484.2,6081.9,13566.1,59105.2,136835.0,78326.9,46692.4,132817.1,7179.4,18524.8,26506.8,40274.2,5629.0,134452.8,55748.4,112094.4,19735.5,44255.2,12905.2,43460.5,409539.1,684857.8,2973.2,4017.9,961608.6,961608.6,303093.0,143232.1,221993.4,668318.5
2011年,9690.5864343,7118.48204648,16809.0684808,75409.691616,173004.059718,101948.854,54224.673054,167902.486061,7765.86435675,24211.7385759,28641.9950599,22323.9635373,6763.86205224,179466.042937,85081.9781221,135214.355506,34329.1794807,52210.8868918,42329.6937641,49697.8491037,465395.194076,780043.923889,4722.11079044,5101.57365624,1137867.05599,1137867.05599,352797.47028,166616.039452,239099.234885,758512.744618
2012年,16418.0414626,8036.07091208,24454.1123747,92318.2657695,197132.461903,126952.626737,60228.5727632,191146.290789,9900.25468333,28798.5057439,30725.2712312,12708.9520112,13903.0506939,237024.568445,108636.248403,160193.844217,50519.9150402,62999.2083468,58181.8560163,56123.292428,534132.681865,891427.868553,5666.58217403,5986.17111439,1336862.79442,1336862.79442,411362.58683,195940.127934,254004.45924,861307.174004
2013年,18486.347974,7453.98175074,25940.3297247,103672.074402,211775.569001,160915.951127,82045.9572836,205369.107379,17973.0023305,28814.0942323,32545.8216377,10301.4173787,11663.2132349,260441.974879,110397.946331,196863.6308,72592.2793422,74804.6985956,69506.2304127,62341.4735497,599575.15088,1012778.83969,8394.20447182,6406.46162174,1524751.54735,1524751.54735,467031.116114,232696.5829,278716.606477,978444.305491
2014年,22979.1458409,8156.70208008,31135.847921,123119.418209,233488.700721,185074.512739,79834.629694,226596.974239,25087.618945,36688.9722649,36410.4436894,6563.9816675,26616.7231947,280389.251796,111117.853318,229215.556846,111553.498694,112400.753232,107384.567202,71009.6001272,673285.684452,1102202.55294,10335.9945135,6891.72648201,1722029.87626,1722029.87626,508878.123634,264055.70676,287796.880107,1060730.7105
