,A股发行股本,A股市价总值,A股成交股数,A股成交金额,A股流通市值,A股流通股本,A股股票数目,B股发行股本,B股市价总值,B股成交股数,B股成交金额,B股流通市值,B股流通股本,B股股票数目,上市股票数目,上证综合指数收盘,上证综合指数最低,上证综合指数最高,境内上市公司数(A、B股),总成交股数,流通股本,深证综合指数收盘,深证综合指数最低,深证综合指数最高,股票市价总值,股票总发行股本,股票成交金额,股票流通市值
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,61.01,978.0898,32.8777,651.81,0.0,0.0,54.0,12.21,70.0592,4.0202,31.227,0.0,0.0,18.0,73.0,780.39,292.76,1429.01,53.0,36.89783401,21.18,241.21,107.08,312.21,1048.149033,68.87,683.0373,0.0
1993年,300.18,3318.67,209.165,3522.55,683.03,57.13,177.0,28.49,212.35,17.3997,104.65,178.59,24.48,41.0,218.0,833.8,750.46,1558.95,183.0,226.56471378,107.88,238.28,203.91,359.44,3541.520658,387.73,3627.2032,861.62
1994年,592.63,3516.03,988.024,8003.08,813.87,144.4,287.0,47.01,174.57,25.3151,124.55,155.01,41.22,58.0,345.0,647.87,325.89,1052.94,291.0,1013.33908608,226.04,140.63,96.56,242.06,3690.6168,684.54,8127.6289,968.89
1995年,704.08,3310.57,681.07,3958.58,790.94,178.98,311.0,61.55,163.7,24.242,77.86,147.28,45.99,70.0,381.0,555.29,524.43,926.41,323.0,705.30779324,301.46,113.25,112.63,169.66,3474.2764,848.42,4036.4527,938.22
1996年,1025.23,9448.55,2464.93,21052.29,2514.01,267.14,514.0,85.49,394.02,68.21,279.87,353.01,78.41,85.0,599.0,917.02,512.83,1258.69,530.0,2533.14428627,429.85,327.34,105.34,473.02,9842.3866,1219.54,21332.1743,2867.03
1997年,1646.13,17154.19,2471.3,30295.21,4856.08,443.24,720.0,125.29,375.04,88.72,426.62,348.33,117.57,101.0,821.0,1194.1,870.18,1510.18,745.0,2560.01885034,671.44,381.29,305.81,517.91,17529.237,1942.67,30721.832,5204.42
1998年,2203.96,19299.29,2092.5,23417.72,5550.02,607.01,825.0,141.37,206.34,61.6,126.52,195.57,133.91,106.0,931.0,1146.7,1043.02,1422.98,851.0,2152.46103182,861.94,343.85,317.1,441.04,19521.81208,2526.79,23527.3148,5745.59
1999年,2757.88,26167.62,2809.747,31049.55,7937.46,810.45,921.0,150.96,303.54,122.6418,270.04,276.49,141.88,108.0,1029.0,1366.58,1047.83,1756.18,949.0,2932.38878394,1079.65138014,402.18,310.65,525.14,26471.17518,3088.95,31319.6025,8213.97
2000年,3439.6,47455.75,4558.02,60278.67,15524.21,1078.33,1010.0,173.79,635.19,200.36,547.97,563.31,154.99,114.0,1174.0,2073.48,1361.21,2125.72,1088.0,4758.38211587,1354.26370679,635.73,414.69,654.37,48090.94433,3791.71,60826.6499,16087.52
2001年,4650.45,42245.56,2463.41,33242.04,13344.9,1315.21,1130.0,187.9,1276.65,688.88,5063.13,1118.28,165.67,110.0,1240.0,1645.97,1514.86,2245.44,1160.0,3152.2876227,1813.17,475.94,439.36,664.85,43522.2039,5218.01,38305.18,14463.1700683
2002年,5283.64,37526.56,2859.49,27142.04,11718.75,1508.43,1199.0,179.34,802.57,156.7,848.41,765.81,171.51,111.0,1310.0,1357.65,1339.2,1748.89,1224.0,3016.1949,2036.90271945,388.76,371.79,512.38,38329.1286,5875.45,27990.4551,12484.55
2003年,5808.31,41520.48,3992.28,31269.96,12305.92,1717.93,1261.0,189.62,937.23,170.8,845.3,872.6,179.39,111.0,1372.0,1497.04,1307.4,1649.6,1287.0,4163.084,2269.92231608,378.63,350.74,449.42,42457.716,6428.46,32115.27,13178.517
2004年,6505.83,36309.35,5672.91,41576.19,10998.47,1996.65,1353.0,208.91,746.22,154.83,757.76,690.17,197.5,110.0,1463.0,1266.5,1259.43,1783.01,1377.0,5827.7329,2577.18,315.81,315.17,470.55,37055.5682,7149.43,42333.9472,11688.6395
2005年,6936.08,31810.55,6470.87,31099.38,10028.44,2280.8385,1358.0,227.47,619.73,152.86,565.4,602.08,218.0534,109.0,1467.0,1161.06,998.23,1328.53,1381.0,6623.732,2914.77,278.75,237.1837,333.2787,32430.2814,7629.51,31664.7762,10630.5143
2006年,12445.65,88113.96,15808.62,89217.11,23731.26,3215.54,1411.0,238.34,1289.94,336.61,1251.778,1272.38,228.96,109.0,1520.0,2675.47,1161.91,2698.9,1434.0,16145.23,3444.5,550.59,278.99,552.93,89403.89,12683.99,90468.89,25003.64
2007年,16746.6245,324587.74,35683.925785,454771.2957,90526.52,4682.7699,1527.0,253.8356,2553.15,719.822929,5784.9278,2537.83,250.873,109.0,1636.0,5261.56,2541.53,6124.04,1550.0,36403.748714,4933.6429,1447.02,547.89,1567.74,327141.0,17000.4501,460556.2335,93064.0
2008年,18629.77,120566.55,23912.78,265890.43,44419.11,6696.76,1602.0,270.35,799.88,218.62,1222.23,794.79,268.21,109.0,1711.0,1820.81,1664.93,5522.78,1625.0,24131.39,6964.97,553.3,452.33,1584.4,121366.43,18900.12,267112.66,45213.9
2009年,20332.77,242127.01,50648.91,533889.0,149455.96,13928.17,1696.0,273.49,1812.11,458.09,2097.0,1802.69,271.48,108.0,1804.0,3277.14,1844.09,3478.01,1718.0,51106.99,14200.19,1201.34,557.69,1240.64,243939.12,20606.26,535987.0,151258.65
2010年,26701.51,263221.0,41806.42,563466.0,190917.0,19160.47,2041.0,282.98,2202.0,345.56,2168.0,2193.0,281.68,108.0,2149.0,2808.08,2319.74,3306.75,2063.0,42151.98,19442.15,1290.86,890.24,1412.64,265422.59,26984.49,545634.0,193110.41
2011年,29448.59,213310.0,33748.72,420339.0,163479.0,22204.54,2320.0,296.52,1448.0,207.85,1305.0,1442.0,295.32,108.0,2428.0,2199.42,2134.02,3067.46,2342.0,33956.57,22499.86,866.65,828.83,1316.19,214758.1,29745.11,421645.0,164921.3
2012年,31551.24,228775.33,32681.93,313715.14,180082.94,24497.05,2472.0,282.38,1582.29,178.61,868.13,1575.32,281.17,107.0,2579.0,2269.13,1949.46,2478.38,2494.0,32860.54,24778.22,881.17,724.97,1020.29,230357.62,31833.62,314667.41,181658.26
2013年,33538.25,237403.0,47916.23,466630.0,197915.96,29714.53,2468.0,283.79,1674.0,263.89,1439.0,1663.58,282.59,106.0,2574.0,2115.98,1849.65,2444.8,2489.0,48372.68,29997.12,1057.67,815.89,1106.27,239077.19,33822.04,468729.0,199579.54
2014年,36517.75,370823.17,73188.22,741378.07,313910.42,32013.11,2592.0,277.35,1723.79,194.87,1007.19,1713.89,276.14,104.0,2696.0,3234.68,1974.38,3239.36,2613.0,73383.09,32289.25,1415.19,1004.93,1504.48,372546.96,36795.1,742385.26,315624.31
