,规模以上专用设备制造业工业企业发明专利申请数,规模以上交通运输设备制造业工业企业发明专利申请数,规模以上仪器仪表及文化、办公用机械制造业工业企业发明专利申请数,规模以上农副食品加工业企业发明专利申请数,规模以上化学原料及化学制品制造业工业企业发明专利申请数,规模以上化学纤维制造业工业企业发明专利申请数,规模以上医药制造业工业企业发明专利申请数,规模以上印刷业和记录媒介的复制工业企业发明专利申请数,规模以上塑料制品业工业企业发明专利申请数,规模以上家具制造业工业企业发明专利申请数,规模以上工业企业发明专利申请数,规模以上工艺品及其他制造业工业企业发明专利申请数,规模以上文教体育用品制造业工业企业发明专利申请数,规模以上有色金属冶炼及压延加工业企业发明专利申请数,规模以上有色金属矿采选业工业企业发明专利申请数,规模以上木材加工及木、竹、藤、棕、草制品业工业企业发明专利申请数,规模以上橡胶制品业工业企业发明专利申请数,规模以上水的生产和供应业工业企业发明专利申请数,规模以上烟草制品业工业企业发明专利申请数,规模以上煤炭开采和洗选业工业企业发明专利申请数,规模以上燃气生产和供应业工业企业发明专利申请数,规模以上电力、热力的生产和供应业工业企业发明专利申请数,规模以上电气机械及器材制造业工业企业发明专利申请数,规模以上皮革、毛皮、羽毛(绒)及其制品业工业企业发明专利申请数,规模以上石油加工、炼焦及核燃料加工业企业发明专利申请数,规模以上石油和天然气开采业工业企业发明专利申请数,规模以上纺织业工业企业发明专利申请数,规模以上纺织服装、鞋、帽制造业工业企业发明专利申请数,规模以上通信设备、计算机及其他电子设备制造业工业企业发明专利申请数,规模以上通用设备制造业工业企业发明专利申请数,规模以上造纸及纸制品业工业企业发明专利申请数,规模以上金属制品业工业企业发明专利申请数,规模以上非金属矿物制品业工业企业发明专利申请数,规模以上非金属矿采选业工业企业发明专利申请数,规模以上食品制造业工业企业发明专利申请数,规模以上饮料制造业工业企业发明专利申请数,规模以上黑色金属冶炼及压延加工业企业发明专利申请数,规模以上黑色金属矿采选业工业企业发明专利申请数
2004年,,,,,,,,,,,20456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,59254.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,92450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,10300.0,9267.0,4319.0,1689.0,9417.0,560.0,6968.0,365.0,2055.0,303.0,134843.0,612.0,555.0,2456.0,88.0,541.0,849.0,111.0,381.0,505.0,8.0,2256.0,16667.0,214.0,632.0,698.0,1854.0,345.0,40980.0,8637.0,619.0,2575.0,2715.0,70.0,1512.0,600.0,2911.0,162.0
2012年,13711.0,,,2398.0,12268.0,801.0,9050.0,604.0,,387.0,176167.0,,,3250.0,79.0,526.0,,81.0,550.0,716.0,34.0,4440.0,24697.0,,796.0,629.0,1998.0,,46623.0,11691.0,963.0,4578.0,3798.0,121.0,1809.0,,4644.0,273.0
2013年,17528.0,,,3090.0,14883.0,1090.0,10475.0,882.0,,593.0,205146.0,,,3464.0,85.0,687.0,,102.0,965.0,708.0,22.0,6742.0,25283.0,,814.0,888.0,2220.0,,50516.0,14292.0,1122.0,5152.0,4932.0,179.0,2147.0,,5767.0,255.0
2014年,17889.0,,,3632.0,16940.0,937.0,12620.0,852.0,,800.0,239925.0,,,3814.0,108.0,660.0,,125.0,919.0,597.0,45.0,8771.0,31336.0,,1051.0,864.0,2697.0,,58088.0,15723.0,1478.0,5791.0,5659.0,226.0,2752.0,,6337.0,365.0
