,实物交易资金来源_其他经常转移,实物交易资金来源_其他财产收入,实物交易资金来源_其他资本转移,实物交易资金来源_其他非金融资产获得减处置,实物交易资金来源_净出口,实物交易资金来源_净金融投资,实物交易资金来源_初次分配总收入,实物交易资金来源_利息,实物交易资金来源_劳动者报酬,实物交易资金来源_单位社会保险付款,实物交易资金来源_可支配总收入,实物交易资金来源_固定资本形成总额,实物交易资金来源_地租,实物交易资金来源_增加值,实物交易资金来源_存货增加,实物交易资金来源_居民消费,实物交易资金来源_工资及工资性收入,实物交易资金来源_总储蓄,实物交易资金来源_投资性补助,实物交易资金来源_收入税,实物交易资金来源_政府消费,实物交易资金来源_最终消费,实物交易资金来源_生产税,实物交易资金来源_生产税净额,实物交易资金来源_生产补贴,实物交易资金来源_社会保险福利,实物交易资金来源_社会保险缴款,实物交易资金来源_社会补助,实物交易资金来源_红利,实物交易资金来源_经常转移,实物交易资金来源_财产收入,实物交易资金来源_资本形成总额,实物交易资金来源_资本转移
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,1405.15990971,111.17,8.39,,-2390.2,,98000.5278539,10510.0919,52299.1116889,,98522.9958851,,84.17,99214.6,,,,35308.4,2938.00263233,2118.8631,,,,11975.3053093,,2385.6,2644.9,980.56407656,3398.24003133,9535.08708627,14103.6719313,,2946.39263233
2001年,1817.95499204,109.27,10.33,,-2324.7,,108068.229353,10089.87,57600.3232473,,108771.130089,,92.84,109655.2,,,,40396.6,3449.23015632,3363.0008,,,,12968.1697733,,2748.0,3101.9,1160.59888304,3583.53864438,12191.4546751,13875.5186444,,3459.56015632
2002年,2539.77904713,115.81,20.51,,-3094.1,,119095.700017,10037.0783,64580.166453,,120170.410323,,110.53,120332.7,,,,45422.11,3655.7009052,3542.89,,,,14761.7561,,3471.5,4048.7,1164.7742155,4085.19525416,14767.6432626,14348.6135542,,3676.2109052
2003年,3193.33963481,192.26,37.28,,-2964.91485282,,134977.015665,11557.62,71828.4603054,,136421.247806,,126.15,135822.8,,,,55172.3851472,4041.34349746,4195.8818,,,,17516.1702,,4016.4,4882.9,1519.85034783,4095.19765742,17808.3717826,15971.2276574,,4078.62349746
2004年,4109.57478761,192.49,80.7532,,-4235.60129407,,159453.566821,13186.32,81065.1444657,,161348.781845,,175.1,159878.3,,,,68090.0987059,1494.47405628,5408.8443,,,,20608.8261,,4627.4,5780.3,2020.72,4763.40946214,21946.8390876,18317.3194621,,1575.22725628
