,专用设备制造业外商及港澳台商投资工业企业固定资产合计,交通运输设备制造业外商及港澳台商投资工业企业固定资产合计,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业固定资产合计,其他采矿业外商及港澳台商投资工业企业固定资产合计,农副食品加工业外商及港澳台商投资工业企业固定资产合计,化学原料及化学制品制造业外商及港澳台商投资工业企业固定资产合计,化学纤维制造业外商及港澳台商投资工业企业固定资产合计,医药制造业外商及港澳台商投资工业企业固定资产合计,印刷业和记录媒介的复制外商及港澳台商投资工业企业固定资产合计,塑料制品业外商及港澳台商投资工业企业固定资产合计,外商及港澳台商投资工业企业固定资产合计,家具制造业外商及港澳台商投资工业企业固定资产合计,工艺品及其他制造业外商及港澳台商投资工业企业固定资产合计,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业固定资产合计,文教体育用品制造业外商及港澳台商投资工业企业固定资产合计,有色金属冶炼及压延加工业外商及港澳台商投资工业企业固定资产合计,有色金属矿采选业外商及港澳台商投资工业企业固定资产合计,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业固定资产合计,橡胶制品业外商及港澳台商投资工业企业固定资产合计,水的生产和供应业外商及港澳台商投资工业企业固定资产合计,烟草制品业外商及港澳台商投资工业企业固定资产合计,煤炭开采和洗选业外商及港澳台商投资工业企业固定资产合计,燃气生产和供应业外商及港澳台商投资工业企业固定资产合计,电力、热力的生产和供应业外商及港澳台商投资工业企业固定资产合计,电气机械及器材制造业外商及港澳台商投资工业企业固定资产合计,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业固定资产合计,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业固定资产合计,石油和天然气开采业外商及港澳台商投资工业企业固定资产合计,纺织业外商及港澳台商投资工业企业固定资产合计,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业固定资产合计,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业固定资产合计,通用设备制造业外商及港澳台商投资工业企业固定资产合计,造纸及纸制品业外商及港澳台商投资工业企业固定资产合计,金属制品业外商及港澳台商投资工业企业固定资产合计,非金属矿物制品业外商及港澳台商投资工业企业固定资产合计,非金属矿采选业外商及港澳台商投资工业企业固定资产合计,食品制造业外商及港澳台商投资工业企业固定资产合计,饮料制造业外商及港澳台商投资工业企业固定资产合计,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业固定资产合计,黑色金属矿采选业外商及港澳台商投资工业企业固定资产合计
2003年,212.49713,1125.10265,198.88098,,423.11558,870.15198,199.15012,271.35062,189.93886,555.24319,14921.64276,100.73487,124.64052,1.16625,142.41017,200.11617,1.79789,126.01234,253.79086,57.62327,7.04624,3.7331,42.07119,2059.30709,715.1812,209.64329,256.30202,61.12401,753.48589,315.94987,2099.32835,468.69065,606.53744,406.67598,711.6962,8.57311,336.81023,440.58596,363.68417,1.49332
2004年,355.21942,1570.20407,237.02881,0.1328,534.41164,1183.28215,389.11967,342.8957,201.45478,769.83329,20891.09257,169.14688,165.15853,6.64124,181.64619,399.40473,20.28228,154.54599,381.2339,149.42456,6.12537,30.39991,89.55001,2604.03876,934.38815,264.75529,323.12387,69.43063,1093.21108,372.63314,3232.73372,691.03414,879.99804,489.19541,969.94058,20.50907,395.21623,469.79995,740.63083,3.31176
2005年,419.52854,1940.83155,279.11669,2.71036,612.73197,1723.78811,388.0243,438.95266,231.71131,811.55765,24562.33,182.81008,184.52936,7.80527,202.65675,387.75958,40.83569,166.86601,399.58986,147.29041,6.91459,34.00566,137.64082,3102.1416,1098.47617,307.11046,338.83867,74.61761,1128.52826,447.45657,3772.15415,803.51656,1172.84437,577.36241,1059.49181,23.91975,453.91512,494.41644,955.92665,3.95618
2006年,537.48,2658.51,336.36,0.12,730.77,2451.72,433.07,497.81,247.21,885.36,29095.2,211.26,230.21,14.75,223.36,515.0,18.6,178.61,435.18,184.45,7.37,63.3,205.65,2951.13,1252.75,353.31,503.04,189.49,1256.15,528.36,4345.95,962.6,1299.42,676.08,1267.49,34.62,528.82,592.76,1276.46,10.62
2007年,727.91958,3221.50641,370.68968,0.10778,871.96041,2870.34502,496.9456,544.57099,270.63298,935.03568,35068.19579,241.26762,247.63813,19.22357,257.288,656.37633,32.89171,192.17485,588.33648,253.48477,6.87805,93.57986,398.62259,3647.67823,1504.28336,397.32872,658.48447,140.26389,1413.92153,651.11481,5395.13554,1344.43656,1399.01979,813.30971,1625.88202,43.36921,630.12189,693.37814,1395.95179,17.04004
2008年,1024.4143,4072.61393,417.64728,0.09498,1010.93752,3494.44444,561.81613,692.15849,309.4209,1091.21233,41788.32614,275.69765,294.98484,36.44068,300.73406,865.32229,102.70978,218.67986,724.14954,345.78919,4.46651,177.92031,439.40598,3640.936,1931.30081,444.85614,647.41146,369.15403,1616.75713,781.92548,6212.28442,1535.98294,1613.38329,1034.41625,1944.34279,63.9039,764.13359,981.06005,1709.34234,36.07453
2009年,1085.26563,4343.0695,413.48182,,1206.68453,3911.2869,532.39389,801.34909,299.18782,1098.18649,44513.13015,275.08925,288.95844,48.363,305.741,1071.33996,102.17062,208.14332,709.33751,432.71915,3.49147,249.10882,499.09133,4140.67394,2168.25219,431.94064,1003.2564,431.5752,1578.74143,772.74974,5866.74693,1669.68968,1624.44876,1112.566,2015.62186,57.689,878.85324,934.18555,1912.43146,29.24859
2010年,1299.96722,4743.12956,453.11099,,1342.58724,4660.92917,556.7158,897.55009,324.32108,1154.58346,51558.65928,296.95323,289.44884,43.0672,297.76246,1296.53785,102.67898,213.09602,724.98618,452.44189,3.28354,390.66864,533.44882,4296.81118,2516.82734,498.92293,1005.43333,505.49632,1707.64524,783.29063,8630.01046,1974.98251,1789.39035,1267.12812,2311.5503,49.89413,913.88006,1034.62042,2148.44674,47.06096
2011年,1250.99872,5187.59689,461.44266,,1438.3783,5155.74152,641.09253,977.31555,277.50004,1107.56407,51234.22871,287.03167,271.64218,57.03074,289.45434,1366.51396,45.97181,204.75646,746.74905,491.12672,3.25781,433.66009,623.60425,4193.10111,2587.82035,504.03182,987.0219,639.47897,1626.26722,745.89944,6686.20205,2101.13212,1859.55234,1143.4935,2508.06818,50.28563,1013.07916,1119.46008,2091.02569,59.87979
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
