,专用设备制造业外商及港澳台商投资工业企业资产总计,交通运输设备制造业外商及港澳台商投资工业企业资产总计,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业资产总计,其他采矿业外商及港澳台商投资工业企业资产总计,农副食品加工业外商及港澳台商投资工业企业资产总计,化学原料及化学制品制造业外商及港澳台商投资工业企业资产总计,化学纤维制造业外商及港澳台商投资工业企业资产总计,医药制造业外商及港澳台商投资工业企业资产总计,印刷业和记录媒介的复制外商及港澳台商投资工业企业资产总计,塑料制品业外商及港澳台商投资工业企业资产总计,外商及港澳台商投资工业企业资产总计,家具制造业外商及港澳台商投资工业企业资产总计,工艺品及其他制造业外商及港澳台商投资工业企业资产总计,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业资产总计,文教体育用品制造业外商及港澳台商投资工业企业资产总计,有色金属冶炼及压延加工业外商及港澳台商投资工业企业资产总计,有色金属矿采选业外商及港澳台商投资工业企业资产总计,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业资产总计,橡胶制品业外商及港澳台商投资工业企业资产总计,水的生产和供应业外商及港澳台商投资工业企业资产总计,烟草制品业外商及港澳台商投资工业企业资产总计,煤炭开采和洗选业外商及港澳台商投资工业企业资产总计,燃气生产和供应业外商及港澳台商投资工业企业资产总计,电力、热力的生产和供应业外商及港澳台商投资工业企业资产总计,电气机械及器材制造业外商及港澳台商投资工业企业资产总计,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业资产总计,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业资产总计,石油和天然气开采业外商及港澳台商投资工业企业资产总计,纺织业外商及港澳台商投资工业企业资产总计,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业资产总计,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业资产总计,通用设备制造业外商及港澳台商投资工业企业资产总计,造纸及纸制品业外商及港澳台商投资工业企业资产总计,金属制品业外商及港澳台商投资工业企业资产总计,非金属矿物制品业外商及港澳台商投资工业企业资产总计,非金属矿采选业外商及港澳台商投资工业企业资产总计,食品制造业外商及港澳台商投资工业企业资产总计,饮料制造业外商及港澳台商投资工业企业资产总计,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业资产总计,黑色金属矿采选业外商及港澳台商投资工业企业资产总计
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,795.94713,3534.99303,709.39029,0.0,1161.70251,2106.02562,352.82341,772.60017,457.66633,1399.68483,39260.26,313.16349,388.23649,8.50492,449.93971,455.39319,6.38703,288.66179,600.19906,92.16854,18.65861,12.4271,81.45574,2892.22451,2362.53759,726.70605,493.73186,107.69898,1884.27554,1065.21655,7645.07359,1515.80254,1159.68889,1197.07865,1478.43036,22.84721,856.98434,942.58766,900.07774,3.26525
2004年,1322.0879,4804.8293,937.92573,0.25172,1473.28749,2993.67835,668.9089,959.41731,503.32908,1962.42074,55601.79,554.22394,509.35674,40.558,570.12239,901.89781,48.18533,370.24279,865.52592,227.20694,15.66426,84.64639,186.69318,3728.04928,3298.54044,994.48504,672.5189,140.9472,2746.69097,1269.02447,10934.02117,2441.74517,1766.00593,1589.49876,2093.9921,42.56137,1068.03212,1091.10533,1713.33021,10.78411
2005年,1543.25831,5494.42382,1107.01671,4.47005,1705.93524,3883.56089,737.56315,1188.30407,571.06849,2177.00953,64308.47,593.84544,567.69043,47.35799,646.69807,992.52865,97.37716,394.50911,887.24576,224.95436,15.56352,95.64083,250.29791,4328.89524,3834.54144,1144.02118,759.77972,183.94764,2916.5702,1485.42192,12979.58578,2786.77118,2091.71782,1784.39876,2239.74513,48.95584,1187.71675,1088.41176,2204.1702,17.49724
2006年,1961.65,7267.7,1346.91,0.21,2067.19,5297.36,875.4,1352.61,629.03,2421.65,77108.65,700.3,708.51,66.75,757.59,1356.76,44.95,437.09,971.88,527.66,16.48,176.09,384.26,4228.39,4740.18,1317.5,1006.16,234.96,3308.71,1893.56,14605.46,3406.97,2376.6,2228.36,2654.64,72.45,1429.41,1463.37,2743.44,30.46
2007年,2896.82496,9428.40317,1512.41242,0.20879,2748.30288,6525.52231,1078.05019,1664.25907,744.62461,2747.96171,96367.04,828.29321,864.59498,99.70299,871.59757,1758.69485,90.40581,521.26533,1195.56895,649.58917,14.78882,310.18321,686.26507,5267.21061,6042.85969,1523.63999,1622.99892,310.7327,3846.57164,2172.61929,17700.72945,4627.51651,2792.13032,2806.23266,3425.71356,90.12873,1717.43918,1813.76533,3300.95955,68.2677
2008年,3707.29493,11852.51407,1633.95572,0.18832,3074.37588,7669.51298,1181.18019,2104.5957,832.63545,3048.82224,112145.01,895.57186,978.60061,161.71991,978.96645,2324.44025,307.42587,635.43408,1502.82367,711.22216,9.62637,502.56288,864.98086,5375.51456,7211.31505,1649.3278,1831.49188,476.09169,4263.85061,2620.71536,18787.62799,5525.68966,3403.42123,3255.1361,4129.54368,125.80203,2086.35048,2284.97613,4042.38694,97.31609
2009年,4136.61229,14785.19653,1995.68099,0.0,3955.32775,8669.93965,1168.16893,2563.92495,839.98837,3121.79255,124477.56,927.39415,1004.27505,221.83136,990.55731,2790.92509,319.21644,597.60752,1554.03761,841.98171,8.27045,641.24485,1719.44062,6020.18831,8071.80069,1732.83137,2044.53065,525.573,4452.06891,2673.5355,19550.14679,6016.98803,3570.85999,3440.36283,4298.98038,122.92025,2410.46214,2238.42292,4345.93856,108.53118
2010年,5278.19512,18440.3327,2055.3527,0.0,4828.50135,10919.154,1470.43903,3001.67343,908.31174,3589.9547,148552.32,1082.08726,1123.00646,268.79021,1020.56097,3196.38821,335.56961,628.27739,1623.73865,934.50606,8.82755,919.74829,1135.20991,6330.84876,9985.91929,2017.48566,2322.12847,613.05985,4983.97801,2917.12963,24996.15108,7507.88064,4389.87275,3972.96438,5005.14287,117.97308,2726.32513,2635.42453,5104.06821,157.34269
2011年,5663.78405,20469.81343,2369.57401,0.0,5502.70218,12530.44413,1767.6071,3440.77804,924.11903,3677.5463,161987.74,1104.30162,1237.73671,385.17983,1003.40294,3626.45798,135.20121,636.02028,1770.34893,972.99864,9.11036,1566.59074,1440.74476,6325.26783,10979.63207,2136.82113,2538.71415,740.17286,5153.02799,2997.11163,25741.96044,8479.87344,4831.64099,4110.98379,5652.12651,111.24661,3258.17423,2887.4193,5613.69461,195.40847
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
