,专用设备制造业外商及港澳台商投资工业企业财务费用,交通运输设备制造业外商及港澳台商投资工业企业财务费用,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业财务费用,其他采矿业外商及港澳台商投资工业企业财务费用,农副食品加工业外商及港澳台商投资工业企业财务费用,化学原料及化学制品制造业外商及港澳台商投资工业企业财务费用,化学纤维制造业外商及港澳台商投资工业企业财务费用,医药制造业外商及港澳台商投资工业企业财务费用,印刷业和记录媒介的复制外商及港澳台商投资工业企业财务费用,塑料制品业外商及港澳台商投资工业企业财务费用,外商及港澳台商投资工业企业财务费用,家具制造业外商及港澳台商投资工业企业财务费用,工艺品及其他制造业外商及港澳台商投资工业企业财务费用,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业财务费用,文教体育用品制造业外商及港澳台商投资工业企业财务费用,有色金属冶炼及压延加工业外商及港澳台商投资工业企业财务费用,有色金属矿采选业外商及港澳台商投资工业企业财务费用,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业财务费用,橡胶制品业外商及港澳台商投资工业企业财务费用,水的生产和供应业外商及港澳台商投资工业企业财务费用,烟草制品业外商及港澳台商投资工业企业财务费用,煤炭开采和洗选业外商及港澳台商投资工业企业财务费用,燃气生产和供应业外商及港澳台商投资工业企业财务费用,电力、热力的生产和供应业外商及港澳台商投资工业企业财务费用,电气机械及器材制造业外商及港澳台商投资工业企业财务费用,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业财务费用,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业财务费用,石油和天然气开采业外商及港澳台商投资工业企业财务费用,纺织业外商及港澳台商投资工业企业财务费用,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业财务费用,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业财务费用,通用设备制造业外商及港澳台商投资工业企业财务费用,造纸及纸制品业外商及港澳台商投资工业企业财务费用,金属制品业外商及港澳台商投资工业企业财务费用,非金属矿物制品业外商及港澳台商投资工业企业财务费用,非金属矿采选业外商及港澳台商投资工业企业财务费用,食品制造业外商及港澳台商投资工业企业财务费用,饮料制造业外商及港澳台商投资工业企业财务费用,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业财务费用,黑色金属矿采选业外商及港澳台商投资工业企业财务费用
2003年,7.19326,18.99426,3.55682,,19.66356,26.19523,4.71834,9.58511,3.24212,13.41761,416.30872,2.65481,3.38323,0.12324,2.86772,7.71851,0.04378,4.79333,7.52778,0.5614,0.21159,0.21384,0.49634,63.46615,20.56585,7.3622,7.04837,0.76475,22.56782,10.93159,53.27902,13.63943,22.56261,12.46586,17.28943,0.21048,7.42343,8.92978,10.62527,0.0148
2004年,9.21352,24.51657,3.56843,0.00491,20.57081,30.29552,7.31745,9.88014,3.35293,17.48472,496.86688,4.08636,4.78652,0.50469,3.24825,14.17311,1.37885,4.89796,10.28638,1.54425,0.03485,0.73004,1.04853,66.90917,23.89363,9.2423,7.65647,0.95852,31.77257,10.78722,59.27745,14.76934,24.42203,13.52322,21.68333,0.42919,7.10757,8.14417,23.30153,0.06438
2005年,5.74688,6.14626,3.08442,0.01803,22.93481,30.67714,8.81363,10.35729,3.32548,18.51304,468.03652,5.34088,5.52582,0.3862,4.64073,11.75887,1.5881,3.62954,11.9114,1.21702,0.14803,1.23745,1.18362,70.99475,24.66829,11.27271,8.29062,0.98135,32.55089,15.66025,34.37387,11.22174,22.36247,14.53511,22.19576,0.42722,7.26343,5.07689,27.90239,0.07414
2006年,12.58,22.18,3.24,0.0,30.79,58.05,11.65,13.06,4.48,25.46,684.43,6.07,7.78,0.64,6.89,18.37,0.16,6.15,13.39,10.13,0.09,2.6,1.92,77.68,38.71,14.1,11.84,0.98,42.1,18.73,50.87,23.03,40.62,22.06,30.57,0.76,9.87,6.72,40.02,0.06
2007年,17.2334,2.2253,5.50249,0.00545,36.82516,61.2254,14.42554,16.52126,5.62948,30.34776,808.30384,8.61144,10.58014,1.17372,10.13374,26.72113,0.13483,8.53197,14.78023,7.1396,0.06365,3.97773,4.42804,92.02171,54.65237,16.25633,20.88756,1.24871,52.40427,27.09168,40.17803,32.10914,43.08091,31.12317,41.96846,1.13711,10.57519,7.65369,49.6629,0.03515
2008年,29.4364,14.50943,4.98651,0.00669,42.63083,79.65639,23.4711,22.72255,5.81648,31.76997,1033.82481,8.69535,12.25969,3.04032,8.94438,39.27542,1.47459,9.7469,23.67987,10.39989,-0.02881,5.91497,6.70286,113.89649,86.31599,16.52169,31.40613,3.80771,56.05671,30.29183,44.10285,43.48539,42.04403,36.30017,52.01451,1.58346,15.03609,11.444,63.74545,0.66053
2009年,24.22316,68.5731,7.64896,,45.23272,99.71273,18.21839,25.19609,5.1983,28.4101,1145.35251,9.88805,11.25965,3.54488,9.99841,42.16879,2.62577,9.19151,23.16383,15.91483,-0.05296,8.90146,7.2052,114.78108,60.10882,17.41775,27.88351,2.98242,55.45279,26.59863,95.20839,43.44534,53.4684,34.18676,46.86006,1.41273,18.85581,19.92793,59.97506,0.56406
2010年,31.52939,36.57031,8.38196,,40.39227,90.87273,21.56028,22.72695,5.55183,33.30696,1137.01531,9.64106,13.58828,3.79127,9.8306,50.66964,3.05589,8.5553,18.47318,13.71143,-0.01754,10.08393,6.74785,115.10568,102.90478,21.12178,34.31996,2.78966,61.27334,31.81479,48.95504,47.37884,47.37533,36.69492,49.93472,1.5895,13.81039,11.12198,71.05054,0.75049
2011年,35.92141,-3.73114,8.83202,,34.29079,110.60096,27.416,26.21658,5.91956,35.75427,1164.49443,10.65549,15.42776,3.73861,8.10592,71.99349,1.04078,9.69049,18.577,14.1765,-0.04695,12.51243,8.17948,129.87705,126.25395,24.13407,38.55866,5.54934,72.09871,31.74943,-40.36948,47.69217,51.12743,38.64675,66.79654,2.10957,9.47696,10.40555,94.42494,0.69134
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
