,专用设备制造业外商及港澳台商投资工业企业产成品,交通运输设备制造业外商及港澳台商投资工业企业产成品,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业产成品,其他采矿业外商及港澳台商投资工业企业产成品,农副食品加工业外商及港澳台商投资工业企业产成品,化学原料及化学制品制造业外商及港澳台商投资工业企业产成品,化学纤维制造业外商及港澳台商投资工业企业产成品,医药制造业外商及港澳台商投资工业企业产成品,印刷业和记录媒介的复制外商及港澳台商投资工业企业产成品,塑料制品业外商及港澳台商投资工业企业产成品,外商及港澳台商投资工业企业产成品,家具制造业外商及港澳台商投资工业企业产成品,工艺品及其他制造业外商及港澳台商投资工业企业产成品,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业产成品,文教体育用品制造业外商及港澳台商投资工业企业产成品,有色金属冶炼及压延加工业外商及港澳台商投资工业企业产成品,有色金属矿采选业外商及港澳台商投资工业企业产成品,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业产成品,橡胶制品业外商及港澳台商投资工业企业产成品,水的生产和供应业外商及港澳台商投资工业企业产成品,烟草制品业外商及港澳台商投资工业企业产成品,煤炭开采和洗选业外商及港澳台商投资工业企业产成品,燃气生产和供应业外商及港澳台商投资工业企业产成品,电力、热力的生产和供应业外商及港澳台商投资工业企业产成品,电气机械及器材制造业外商及港澳台商投资工业企业产成品,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业产成品,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业产成品,石油和天然气开采业外商及港澳台商投资工业企业产成品,纺织业外商及港澳台商投资工业企业产成品,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业产成品,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业产成品,通用设备制造业外商及港澳台商投资工业企业产成品,造纸及纸制品业外商及港澳台商投资工业企业产成品,金属制品业外商及港澳台商投资工业企业产成品,非金属矿物制品业外商及港澳台商投资工业企业产成品,非金属矿采选业外商及港澳台商投资工业企业产成品,食品制造业外商及港澳台商投资工业企业产成品,饮料制造业外商及港澳台商投资工业企业产成品,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业产成品,黑色金属矿采选业外商及港澳台商投资工业企业产成品
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
