,专用设备制造业外商及港澳台商投资工业企业集体资本金,交通运输设备制造业外商及港澳台商投资工业企业集体资本金,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业集体资本金,其他采矿业外商及港澳台商投资工业企业集体资本金,农副食品加工业外商及港澳台商投资工业企业集体资本金,化学原料及化学制品制造业外商及港澳台商投资工业企业集体资本金,化学纤维制造业外商及港澳台商投资工业企业集体资本金,医药制造业外商及港澳台商投资工业企业集体资本金,印刷业和记录媒介的复制外商及港澳台商投资工业企业集体资本金,塑料制品业外商及港澳台商投资工业企业集体资本金,外商及港澳台商投资工业企业集体资本金,家具制造业外商及港澳台商投资工业企业集体资本金,工艺品及其他制造业外商及港澳台商投资工业企业集体资本金,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业集体资本金,文教体育用品制造业外商及港澳台商投资工业企业集体资本金,有色金属冶炼及压延加工业外商及港澳台商投资工业企业集体资本金,有色金属矿采选业外商及港澳台商投资工业企业集体资本金,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业集体资本金,橡胶制品业外商及港澳台商投资工业企业集体资本金,水的生产和供应业外商及港澳台商投资工业企业集体资本金,烟草制品业外商及港澳台商投资工业企业集体资本金,煤炭开采和洗选业外商及港澳台商投资工业企业集体资本金,燃气生产和供应业外商及港澳台商投资工业企业集体资本金,电力、热力的生产和供应业外商及港澳台商投资工业企业集体资本金,电气机械及器材制造业外商及港澳台商投资工业企业集体资本金,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业集体资本金,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业集体资本金,石油和天然气开采业外商及港澳台商投资工业企业集体资本金,纺织业外商及港澳台商投资工业企业集体资本金,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业集体资本金,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业集体资本金,通用设备制造业外商及港澳台商投资工业企业集体资本金,造纸及纸制品业外商及港澳台商投资工业企业集体资本金,金属制品业外商及港澳台商投资工业企业集体资本金,非金属矿物制品业外商及港澳台商投资工业企业集体资本金,非金属矿采选业外商及港澳台商投资工业企业集体资本金,食品制造业外商及港澳台商投资工业企业集体资本金,饮料制造业外商及港澳台商投资工业企业集体资本金,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业集体资本金,黑色金属矿采选业外商及港澳台商投资工业企业集体资本金
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,6.54345,11.72328,3.59378,0.0,8.99901,13.38209,3.13662,6.54301,6.49719,30.9334,288.18997,3.47984,3.46143,0.06358,2.82436,13.93668,0.0,2.63317,3.00543,2.72084,0.0,0.07775,0.57747,11.30033,24.80655,5.67609,1.69009,0.0,21.49267,13.3797,13.71849,9.45222,5.41982,17.10633,19.15795,0.66435,4.83382,6.47951,8.85831,0.02136
2004年,5.47243,10.00999,2.45502,0.0,9.35376,12.62073,4.80749,4.9548,5.96437,27.57908,269.71853,2.50479,2.18089,0.36854,2.87357,13.17668,0.01028,1.99847,2.9514,0.36394,0.0,0.1344,0.96661,22.69128,18.048,5.89799,1.85607,0.0,26.03113,9.59587,11.20068,11.50897,4.74581,12.41548,18.39284,0.57565,2.53383,6.63399,6.80733,0.03637
2005年,2.74875,10.04752,2.74889,0.24,16.30665,13.23783,7.41243,5.3765,5.56053,18.15696,223.6474,1.50264,2.02633,0.45284,1.79582,3.7683,0.01028,0.80343,2.71609,0.13363,0.0,0.11036,1.40225,11.84324,17.86513,4.80381,2.2405,0.0,16.87891,8.22136,8.59416,8.13487,4.85725,11.56795,19.28289,0.37037,2.58101,3.29427,6.53365,0.02
2006年,3.14,8.49,2.59,0.0,18.26,9.94,1.17,5.16,4.87,10.19,192.75,1.35,1.25,0.39,1.68,2.75,0.07,1.74,2.24,0.34,0.0,0.07,0.92,10.9,20.79,3.48,2.39,0.0,10.4,6.7,7.75,6.56,5.76,9.98,15.76,0.57,3.55,8.23,3.27,0.02
2007年,2.38115,18.38612,4.07181,0.0,44.68223,11.49279,1.98503,5.52278,5.59419,9.89776,263.14094,1.22061,2.50202,0.46577,2.52026,3.08605,0.05,1.43708,1.80837,8.21759,0.0,0.092,2.12066,12.82694,25.58342,4.34993,1.86985,0.0,13.61524,8.37854,8.25615,8.46283,5.46491,9.03787,12.95999,1.9265,13.12879,5.92522,3.78579,0.0347
2008年,3.19148,14.9772,3.81931,0.0,20.35654,17.77003,2.6926,6.53988,5.47782,16.14925,252.73766,2.6847,1.70388,0.37859,1.89074,2.65258,1.33782,1.31683,2.1001,0.44571,0.0,7.90835,2.51745,12.92155,17.18236,4.60561,2.13035,0.0,17.76997,8.75249,9.82558,13.80558,9.96308,10.70472,13.72921,1.12017,3.70694,5.90191,4.47483,0.23245
2009年,4.1274,12.08233,1.53618,0.0,14.18389,7.86063,4.22645,6.78454,4.71694,8.02458,223.02244,1.53825,0.91701,0.6543,1.60025,4.99221,1.33783,1.67259,4.25793,0.0409,0.0,0.3464,2.79499,17.54398,31.37019,4.70834,1.99262,0.0,12.80157,5.31943,15.45182,7.70895,7.00028,8.82835,11.34773,0.79901,4.78068,4.85769,4.6732,0.143
2010年,4.36645,15.19443,2.00164,0.0,18.62668,13.85626,2.4217,4.8267,5.78907,8.71666,235.17373,3.99908,2.11878,0.54013,2.31847,3.11155,6.30473,2.8372,1.07454,0.76138,0.0,0.213,1.25471,15.05462,28.6392,2.07137,0.70189,0.0,8.07624,5.16214,12.53521,9.97673,11.81025,10.76069,11.45711,0.52243,5.28104,10.17828,2.47337,0.14
2011年,2.49336,18.28821,3.06023,0.0,18.00535,16.35032,5.33598,5.02377,6.9879,8.13342,246.6935,1.57745,1.38587,0.90901,1.79588,4.40975,1.80102,1.88023,2.03699,0.69496,0.0,0.298,1.18475,27.73542,24.41427,1.84719,2.46646,0.0,9.36903,3.91611,8.05213,9.00962,14.60024,9.56533,9.7678,0.52044,3.80819,13.06607,6.73421,0.16854
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
