,专用设备制造业外商及港澳台商投资工业企业流动负债合计,交通运输设备制造业外商及港澳台商投资工业企业流动负债合计,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业流动负债合计,其他采矿业外商及港澳台商投资工业企业流动负债合计,农副食品加工业外商及港澳台商投资工业企业流动负债合计,化学原料及化学制品制造业外商及港澳台商投资工业企业流动负债合计,化学纤维制造业外商及港澳台商投资工业企业流动负债合计,医药制造业外商及港澳台商投资工业企业流动负债合计,印刷业和记录媒介的复制外商及港澳台商投资工业企业流动负债合计,塑料制品业外商及港澳台商投资工业企业流动负债合计,外商及港澳台商投资工业企业流动负债合计,家具制造业外商及港澳台商投资工业企业流动负债合计,工艺品及其他制造业外商及港澳台商投资工业企业流动负债合计,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业流动负债合计,文教体育用品制造业外商及港澳台商投资工业企业流动负债合计,有色金属冶炼及压延加工业外商及港澳台商投资工业企业流动负债合计,有色金属矿采选业外商及港澳台商投资工业企业流动负债合计,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业流动负债合计,橡胶制品业外商及港澳台商投资工业企业流动负债合计,水的生产和供应业外商及港澳台商投资工业企业流动负债合计,烟草制品业外商及港澳台商投资工业企业流动负债合计,煤炭开采和洗选业外商及港澳台商投资工业企业流动负债合计,燃气生产和供应业外商及港澳台商投资工业企业流动负债合计,电力、热力的生产和供应业外商及港澳台商投资工业企业流动负债合计,电气机械及器材制造业外商及港澳台商投资工业企业流动负债合计,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业流动负债合计,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业流动负债合计,石油和天然气开采业外商及港澳台商投资工业企业流动负债合计,纺织业外商及港澳台商投资工业企业流动负债合计,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业流动负债合计,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业流动负债合计,通用设备制造业外商及港澳台商投资工业企业流动负债合计,造纸及纸制品业外商及港澳台商投资工业企业流动负债合计,金属制品业外商及港澳台商投资工业企业流动负债合计,非金属矿物制品业外商及港澳台商投资工业企业流动负债合计,非金属矿采选业外商及港澳台商投资工业企业流动负债合计,食品制造业外商及港澳台商投资工业企业流动负债合计,饮料制造业外商及港澳台商投资工业企业流动负债合计,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业流动负债合计,黑色金属矿采选业外商及港澳台商投资工业企业流动负债合计
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,380.86564,1585.35569,356.87358,0.0,678.05333,874.85457,119.79167,345.56067,192.90997,600.87099,18466.49946,155.52071,182.34236,6.50129,219.3191,228.1676,3.24863,125.00936,283.29843,23.70271,8.34767,7.79815,47.82283,594.8745,1198.68385,396.90826,165.08964,14.69685,880.19724,546.08457,4537.59594,745.58752,529.30406,608.682,564.18491,9.85074,409.83443,430.3686,407.04061,1.30079
2004年,647.5922,2210.31726,479.0597,0.18439,829.56763,1312.32142,235.85233,418.56033,209.225,914.95705,26700.51336,305.99291,237.37666,28.24976,279.01768,431.08196,21.02271,167.19056,399.8023,30.79232,5.72526,45.87319,78.55469,880.09446,1789.62432,546.82094,245.9532,22.588,1319.63851,647.92663,6368.41453,1259.41979,766.18674,821.16989,830.59637,20.31611,486.63954,518.38588,881.37075,7.05039
2005年,764.90545,2651.59175,531.20583,1.4093,940.28778,1502.94515,272.77904,509.07009,240.19863,994.45797,30842.48196,321.01456,255.33324,35.20253,321.19396,488.90432,43.54035,169.14123,377.12245,41.1149,6.42631,41.12822,118.61208,1081.01566,2079.12097,614.73579,332.24294,27.91908,1391.12697,751.80458,7710.77704,1437.29875,837.25448,857.80142,911.3749,19.75546,536.92477,516.50591,1097.52542,11.71268
2006年,967.75,3558.66,683.43,0.17,1122.37,1992.45,375.76,575.92,257.33,1155.03,36790.35,371.74,312.02,43.75,374.93,704.98,16.56,194.02,439.52,123.5,5.76,67.91,167.31,1143.61,2620.44,697.14,433.16,58.72,1563.21,861.03,8285.6,1704.69,925.67,1114.4,1068.26,32.72,657.12,691.33,1405.6,16.8
2007年,1356.28077,5003.41468,739.00458,0.12739,1539.96161,2629.44288,501.31295,681.70423,319.55005,1342.90177,47263.62423,444.04762,398.80779,67.13401,430.42345,911.92515,33.32794,243.32323,526.43662,142.70399,4.61803,114.54712,259.99828,1619.56089,3369.47286,800.07135,740.80387,82.4515,1837.19498,1072.72326,10336.23531,2228.34465,1222.50838,1458.28456,1415.11278,36.51937,800.32179,858.34363,1660.51905,34.16186
2008年,1819.2019,6238.52686,733.31474,0.14434,1577.44796,3151.4361,551.30004,863.93509,328.00184,1430.23918,52872.50614,460.01022,419.25669,99.55552,473.02378,1095.93826,78.66145,266.77151,678.2244,124.76294,2.25897,220.59806,296.48661,1602.03507,3705.80863,835.68243,912.42145,95.83243,1946.82797,1277.45166,9945.39781,2721.94577,1530.36596,1571.83577,1680.94309,47.16035,961.42131,1030.15813,2063.86217,34.25968
2009年,1956.34623,8026.29409,1051.41754,0.0,2137.57475,3520.33809,574.28908,989.50039,326.57211,1351.49521,58916.07701,458.30858,409.59185,154.7362,445.02461,1273.47123,88.59651,262.51794,638.77923,151.60737,1.95969,127.36175,1059.49016,1717.91717,4081.13515,838.92437,980.65195,385.9555,2008.89374,1198.5404,10658.67561,2905.88426,1385.66714,1622.77966,1680.74898,57.48643,1043.74153,1049.42448,2254.93741,39.44062
2010年,2485.44888,10320.12748,951.51672,0.0,2796.67514,4573.32981,721.79435,1136.95154,350.50322,1570.95949,69942.69964,544.54717,467.388,185.56841,467.65394,1443.625,124.17212,270.11694,679.79919,191.25033,1.36796,346.83979,436.48864,1803.12492,5051.38268,948.51928,1114.96215,373.22706,2301.34092,1297.32948,12598.02706,3583.34026,1698.79649,1822.28581,1952.13882,52.34852,1236.44124,1267.58603,2705.00031,70.72449
2011年,2752.63268,10983.212,1093.61642,0.0,2973.0201,5285.39725,892.91322,1341.63901,364.78583,1664.71152,78340.62502,551.26039,570.09608,281.73048,460.59682,1629.75,37.20133,268.13237,791.98505,231.4955,1.43624,910.3799,587.91791,1913.60748,5664.00733,928.39804,1218.22883,383.55252,2420.67067,1368.78119,14675.0414,4013.54759,1937.08361,1906.99169,2302.19511,53.30779,1444.57948,1409.79076,2942.8589,84.07253
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
