,专用设备制造业外商及港澳台商投资工业企业港澳台资本金,交通运输设备制造业外商及港澳台商投资工业企业港澳台资本金,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业港澳台资本金,其他采矿业外商及港澳台商投资工业企业港澳台资本金,农副食品加工业外商及港澳台商投资工业企业港澳台资本金,化学原料及化学制品制造业外商及港澳台商投资工业企业港澳台资本金,化学纤维制造业外商及港澳台商投资工业企业港澳台资本金,医药制造业外商及港澳台商投资工业企业港澳台资本金,印刷业和记录媒介的复制外商及港澳台商投资工业企业港澳台资本金,塑料制品业外商及港澳台商投资工业企业港澳台资本金,外商及港澳台商投资工业企业港澳台资本金,家具制造业外商及港澳台商投资工业企业港澳台资本金,工艺品及其他制造业外商及港澳台商投资工业企业港澳台资本金,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业港澳台资本金,文教体育用品制造业外商及港澳台商投资工业企业港澳台资本金,有色金属冶炼及压延加工业外商及港澳台商投资工业企业港澳台资本金,有色金属矿采选业外商及港澳台商投资工业企业港澳台资本金,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业港澳台资本金,橡胶制品业外商及港澳台商投资工业企业港澳台资本金,水的生产和供应业外商及港澳台商投资工业企业港澳台资本金,烟草制品业外商及港澳台商投资工业企业港澳台资本金,煤炭开采和洗选业外商及港澳台商投资工业企业港澳台资本金,燃气生产和供应业外商及港澳台商投资工业企业港澳台资本金,电力、热力的生产和供应业外商及港澳台商投资工业企业港澳台资本金,电气机械及器材制造业外商及港澳台商投资工业企业港澳台资本金,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业港澳台资本金,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业港澳台资本金,石油和天然气开采业外商及港澳台商投资工业企业港澳台资本金,纺织业外商及港澳台商投资工业企业港澳台资本金,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业港澳台资本金,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业港澳台资本金,通用设备制造业外商及港澳台商投资工业企业港澳台资本金,造纸及纸制品业外商及港澳台商投资工业企业港澳台资本金,金属制品业外商及港澳台商投资工业企业港澳台资本金,非金属矿物制品业外商及港澳台商投资工业企业港澳台资本金,非金属矿采选业外商及港澳台商投资工业企业港澳台资本金,食品制造业外商及港澳台商投资工业企业港澳台资本金,饮料制造业外商及港澳台商投资工业企业港澳台资本金,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业港澳台资本金,黑色金属矿采选业外商及港澳台商投资工业企业港澳台资本金
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,70.00984,126.70461,76.08041,0.0,79.38008,180.36685,66.82931,47.5587,88.04346,259.6125,3722.81122,53.68184,72.79749,0.23499,106.52246,46.66702,0.56832,40.48668,39.43908,6.67959,1.44625,1.03378,6.86996,179.38959,204.31737,124.65366,32.49752,43.056,336.92222,165.34141,450.32809,82.00778,99.33062,167.4135,189.09879,2.89712,94.56842,121.89731,57.23882,0.83978
2004年,124.87309,147.00158,100.01264,0.0,105.59858,242.1177,74.11545,59.17351,93.50791,317.09228,5009.39632,73.40981,98.99328,2.82072,134.34277,84.9666,0.92147,53.96199,80.85969,13.20027,1.25944,1.50043,17.3783,221.54077,306.47625,151.6667,44.27185,43.056,489.21503,211.10923,687.33168,135.90573,142.47905,207.14138,238.84194,6.64546,95.14037,98.58647,101.69643,1.18447
2005年,136.30093,157.59295,97.39452,0.53,120.11202,264.07011,98.92095,59.77726,98.75168,337.17992,5535.27916,75.99755,99.10563,2.31883,134.17921,78.63285,1.41851,57.86115,73.67871,17.68944,1.52163,1.43678,16.18659,292.53105,311.73156,171.53965,35.66835,44.09065,509.81622,223.22035,877.89561,144.72251,161.0986,220.3154,260.47054,8.71266,107.67106,110.66873,123.35284,1.11616
2006年,154.88,211.26,107.19,0.0,132.55,320.95,113.56,68.87,109.82,354.04,6540.09,100.13,124.12,4.51,149.77,105.66,1.44,52.68,89.75,21.1,1.31,2.48,25.57,278.74,410.82,188.97,50.98,43.06,593.88,401.53,978.97,172.58,211.16,261.14,298.88,7.35,112.57,128.75,148.02,1.07
2007年,231.73808,263.66798,131.89058,0.0,139.59701,394.86749,133.77068,90.49106,137.9249,401.59467,7772.55182,118.83728,130.65789,5.50528,165.40193,133.60963,3.00145,62.77452,142.76689,26.0852,1.54663,6.42895,36.7784,309.63063,448.17558,217.57305,59.91868,44.09065,691.86591,342.92504,1311.96724,231.75007,207.30137,326.34168,350.87308,9.27097,130.66932,145.12295,184.12069,2.01841
2008年,322.15096,328.46857,143.24728,0.0,172.97926,494.64396,146.69618,110.00299,154.3773,429.12796,9308.87634,126.09155,163.14887,13.87079,196.70227,175.71185,3.53155,66.70219,109.79873,49.85222,0.99599,9.45163,60.33832,309.81118,575.96683,237.09082,69.8591,44.14065,772.89569,390.80797,1660.68296,295.64044,313.29897,374.75062,436.59112,11.19338,175.39965,162.938,192.12788,7.79066
2009年,309.09629,346.26424,132.14713,0.0,195.62056,544.70172,148.52576,151.88295,132.36694,441.81551,9749.77518,115.93608,153.12557,13.81801,206.71784,236.50079,5.59827,74.43479,106.26357,61.63509,1.04155,7.15773,50.98419,306.67295,630.64864,248.16506,57.793,46.16805,768.75174,407.58116,1771.24326,317.46348,337.93292,424.90563,427.40179,9.91859,174.2679,169.20605,206.11016,9.91022
2010年,327.48706,401.02295,163.50795,0.0,222.45133,653.91134,165.30446,157.21216,137.33035,467.20119,10343.5598,126.06576,145.74784,17.39822,184.77573,258.11286,3.48382,62.30238,94.90454,74.06073,1.04155,31.75516,61.8821,332.36228,680.9896,254.56935,79.97627,44.97268,790.3784,392.66121,1835.39114,330.35168,345.28876,425.16841,486.64785,9.22689,170.87869,180.53213,215.39306,11.81192
2011年,315.05089,369.57863,128.83897,0.0,217.18845,770.47641,175.51513,162.81322,141.37878,440.9496,10362.15,121.93386,122.40462,19.15888,163.4664,303.3098,9.77786,77.32609,94.32454,66.29233,1.11606,48.44131,77.23951,344.38703,628.57818,226.44782,66.2925,4.82638,756.13384,351.07675,1877.97174,323.88733,387.09039,354.17617,541.39504,6.52971,235.05579,205.58057,221.91692,4.2225
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
