,专用设备制造业外商及港澳台商投资工业企业累计折旧,交通运输设备制造业外商及港澳台商投资工业企业累计折旧,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业累计折旧,其他采矿业外商及港澳台商投资工业企业累计折旧,农副食品加工业外商及港澳台商投资工业企业累计折旧,化学原料及化学制品制造业外商及港澳台商投资工业企业累计折旧,化学纤维制造业外商及港澳台商投资工业企业累计折旧,医药制造业外商及港澳台商投资工业企业累计折旧,印刷业和记录媒介的复制外商及港澳台商投资工业企业累计折旧,塑料制品业外商及港澳台商投资工业企业累计折旧,外商及港澳台商投资工业企业累计折旧,家具制造业外商及港澳台商投资工业企业累计折旧,工艺品及其他制造业外商及港澳台商投资工业企业累计折旧,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业累计折旧,文教体育用品制造业外商及港澳台商投资工业企业累计折旧,有色金属冶炼及压延加工业外商及港澳台商投资工业企业累计折旧,有色金属矿采选业外商及港澳台商投资工业企业累计折旧,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业累计折旧,橡胶制品业外商及港澳台商投资工业企业累计折旧,水的生产和供应业外商及港澳台商投资工业企业累计折旧,烟草制品业外商及港澳台商投资工业企业累计折旧,煤炭开采和洗选业外商及港澳台商投资工业企业累计折旧,燃气生产和供应业外商及港澳台商投资工业企业累计折旧,电力、热力的生产和供应业外商及港澳台商投资工业企业累计折旧,电气机械及器材制造业外商及港澳台商投资工业企业累计折旧,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业累计折旧,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业累计折旧,石油和天然气开采业外商及港澳台商投资工业企业累计折旧,纺织业外商及港澳台商投资工业企业累计折旧,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业累计折旧,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业累计折旧,通用设备制造业外商及港澳台商投资工业企业累计折旧,造纸及纸制品业外商及港澳台商投资工业企业累计折旧,金属制品业外商及港澳台商投资工业企业累计折旧,非金属矿物制品业外商及港澳台商投资工业企业累计折旧,非金属矿采选业外商及港澳台商投资工业企业累计折旧,食品制造业外商及港澳台商投资工业企业累计折旧,饮料制造业外商及港澳台商投资工业企业累计折旧,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业累计折旧,黑色金属矿采选业外商及港澳台商投资工业企业累计折旧
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,106.95126,587.9304,111.71921,0.0,197.26434,388.18464,97.47739,113.47397,110.94179,292.52315,7934.11607,41.31215,55.28588,0.24286,82.24615,71.19584,1.04504,55.90968,131.39128,12.94716,6.17318,0.94841,11.64791,1490.04886,418.31022,107.04816,179.25201,0.0781,395.40985,170.07254,1125.74347,261.55716,204.77962,222.8951,337.26221,3.94757,188.44096,238.61457,110.67707,3.16691
2004年,172.85383,763.95514,130.70783,0.04569,239.72162,513.34394,166.52377,148.70367,123.33238,372.78724,10300.55136,60.36838,75.3642,1.47033,103.90975,144.72765,5.19291,65.27743,148.65469,42.80806,6.05068,6.05719,20.48906,1843.36381,510.88462,133.46119,211.37804,2.46932,534.61231,195.46773,1511.85624,362.18239,277.10237,250.61477,423.11985,10.25089,226.24399,295.3892,199.22243,0.58677
2005年,199.33427,962.15895,152.17546,1.81668,285.67868,597.89851,184.9582,192.67321,138.06194,417.38099,12077.70609,70.03421,83.26107,2.27733,113.03897,125.43454,9.19413,75.99014,154.50365,66.5349,5.42037,8.90169,30.52546,2135.6724,596.55061,152.46058,238.82666,11.00981,567.22474,220.92449,1914.06198,432.70852,335.33896,286.89112,474.04418,10.71996,260.11496,315.31998,247.98657,0.59722
2006年,261.17,1202.05,196.88,0.07,348.65,781.57,223.01,231.34,154.89,492.7,14295.67,83.36,104.13,4.03,132.69,167.48,3.78,88.18,183.02,50.6,5.99,12.37,45.85,1981.53,708.51,179.17,265.69,192.48,643.66,259.61,2385.1,509.6,411.28,353.25,553.48,17.72,300.28,382.04,376.92,1.55
2007年,359.10633,1559.37267,233.33142,0.08554,407.64493,972.99605,257.37126,292.69037,184.02334,562.57371,17634.36114,102.00683,115.17833,5.40904,151.27773,220.75323,4.45272,95.75689,250.60428,107.06225,5.28864,24.3798,72.86445,2455.68294,858.87333,201.08271,374.09907,28.37703,740.25111,304.05084,3188.99104,592.36451,492.26984,448.00702,685.65726,21.60492,358.55375,440.28507,457.47426,2.50663
2008年,492.24468,2012.09466,272.14248,0.09935,549.66808,1482.94674,232.22023,347.65085,216.23264,689.29203,22436.32248,134.30919,146.8274,15.33984,185.53716,374.99911,21.37253,112.45003,324.73647,169.26648,4.96324,31.85959,110.32709,2626.39109,1133.02579,252.97251,383.06994,258.75883,884.64651,401.40626,4020.97233,793.60482,665.89048,572.88689,848.50315,38.49686,418.38017,620.64699,584.06091,6.02908
2009年,567.30221,2253.85828,301.10841,0.0,989.74062,1579.38376,266.26931,457.63713,229.23938,762.73551,25051.58252,147.38452,169.41278,14.88394,196.15963,403.605,25.26364,123.91227,359.24126,177.00108,4.21301,31.64876,113.97461,2809.86601,1281.26165,255.7146,442.56528,143.48915,901.85078,410.15604,4692.88132,916.29436,678.88762,644.6263,912.47565,30.5009,464.04692,546.42575,740.79244,5.77264
2010年,744.82535,2827.69058,345.55308,0.0,1191.38404,2225.18281,309.5787,523.60398,250.4671,849.27547,30267.42992,181.23494,172.88219,20.22454,207.04044,532.60892,32.51348,147.41462,419.81832,209.00839,4.50493,88.55495,135.25297,2815.75263,1468.74619,298.87418,521.27128,205.51487,1070.70512,477.50077,5863.52771,1117.52799,839.94431,767.67041,1055.34047,35.89807,564.04018,644.71195,1090.90223,10.88176
2011年,914.53221,3289.71747,436.80188,0.0,1359.87624,2758.02123,404.94718,584.76713,272.7674,897.91294,36483.25031,187.59501,195.6369,29.97233,206.55363,744.58131,13.45579,238.98309,549.6388,227.39245,4.71789,235.76484,192.08727,2981.63225,1845.37838,326.48004,713.41542,267.68918,1170.35066,504.66222,7438.15912,1279.86382,986.98065,863.26481,1224.86663,40.50841,652.22746,825.80323,1597.68596,18.55908
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
