,专用设备制造业外商及港澳台商投资工业企业利息支出,交通运输设备制造业外商及港澳台商投资工业企业利息支出,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业利息支出,其他采矿业外商及港澳台商投资工业企业利息支出,农副食品加工业外商及港澳台商投资工业企业利息支出,化学原料及化学制品制造业外商及港澳台商投资工业企业利息支出,化学纤维制造业外商及港澳台商投资工业企业利息支出,医药制造业外商及港澳台商投资工业企业利息支出,印刷业和记录媒介的复制外商及港澳台商投资工业企业利息支出,塑料制品业外商及港澳台商投资工业企业利息支出,外商及港澳台商投资工业企业利息支出,家具制造业外商及港澳台商投资工业企业利息支出,工艺品及其他制造业外商及港澳台商投资工业企业利息支出,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业利息支出,文教体育用品制造业外商及港澳台商投资工业企业利息支出,有色金属冶炼及压延加工业外商及港澳台商投资工业企业利息支出,有色金属矿采选业外商及港澳台商投资工业企业利息支出,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业利息支出,橡胶制品业外商及港澳台商投资工业企业利息支出,水的生产和供应业外商及港澳台商投资工业企业利息支出,烟草制品业外商及港澳台商投资工业企业利息支出,煤炭开采和洗选业外商及港澳台商投资工业企业利息支出,燃气生产和供应业外商及港澳台商投资工业企业利息支出,电力、热力的生产和供应业外商及港澳台商投资工业企业利息支出,电气机械及器材制造业外商及港澳台商投资工业企业利息支出,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业利息支出,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业利息支出,石油和天然气开采业外商及港澳台商投资工业企业利息支出,纺织业外商及港澳台商投资工业企业利息支出,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业利息支出,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业利息支出,通用设备制造业外商及港澳台商投资工业企业利息支出,造纸及纸制品业外商及港澳台商投资工业企业利息支出,金属制品业外商及港澳台商投资工业企业利息支出,非金属矿物制品业外商及港澳台商投资工业企业利息支出,非金属矿采选业外商及港澳台商投资工业企业利息支出,食品制造业外商及港澳台商投资工业企业利息支出,饮料制造业外商及港澳台商投资工业企业利息支出,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业利息支出,黑色金属矿采选业外商及港澳台商投资工业企业利息支出
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,4.57708,10.29908,1.78429,0.0,13.81473,18.9014,4.35583,6.7857,2.93536,9.27989,308.36563,1.96397,2.31797,0.13561,2.1048,6.64047,0.02055,2.83757,6.9402,0.58052,0.20166,0.2157,0.44245,57.86916,13.92974,5.42997,6.75705,0.76997,17.44747,7.47936,31.32669,8.89966,16.71775,8.84498,13.34426,0.15879,5.2647,7.52939,9.44715,0.01471
2004年,6.67112,19.36142,2.87187,0.0042,16.94484,22.32428,6.70493,7.74813,3.11591,14.62098,397.60316,3.3771,3.3868,0.3741,2.15249,11.92333,0.67239,3.68789,9.24775,1.34294,0.05044,0.75221,0.66773,59.47637,17.28294,7.05385,8.52957,0.19487,26.91403,8.02861,40.42465,9.9272,20.1869,10.38143,17.54935,0.31598,5.68738,7.74067,19.8557,0.05081
2005年,6.54654,24.65072,2.16502,0.01439,22.4761,33.78737,8.48398,8.72151,3.22323,17.35841,506.74164,3.88651,3.75877,0.43215,2.92667,10.88154,1.59755,5.1331,11.14968,1.30336,0.14451,1.19181,1.66782,74.53327,21.52917,8.76105,9.3163,0.95836,28.42595,9.90977,63.2303,13.14303,29.77658,13.13776,22.20372,0.32483,6.84483,6.79219,26.28254,0.07125
2006年,11.29,28.28,3.24,0.0,26.92,65.27,11.28,10.42,3.52,21.99,662.72,4.44,5.37,0.51,4.09,17.43,0.17,4.42,13.24,14.27,0.1,2.58,2.85,83.73,27.55,10.85,13.42,0.84,34.86,11.74,68.58,17.58,41.17,16.99,28.55,0.62,8.31,8.22,37.98,0.03
2007年,15.45781,36.09247,3.89402,0.00465,38.79858,84.54036,17.31829,13.66107,4.03515,26.16481,931.06547,5.96985,7.06969,1.21425,5.5311,25.72193,0.39049,6.31836,16.43763,14.27521,0.08394,4.0254,7.04431,155.14778,40.33138,14.04308,23.45104,1.02045,45.6425,18.57948,90.54202,21.46954,48.217,25.32375,41.20271,0.83814,11.35174,11.46204,47.96785,0.4256
2008年,25.85461,60.04773,5.28757,0.00543,49.95196,108.90512,26.25475,18.25801,5.50157,31.6982,1170.49158,7.71839,9.5526,3.71598,6.79241,39.02929,3.12266,7.84332,25.1026,15.09117,-0.00357,6.69591,9.1971,118.19725,65.68627,16.44313,33.06893,0.60802,54.25317,22.36151,112.99068,34.33012,58.91917,35.22488,55.18202,0.97462,16.82399,17.10815,61.73865,0.95821
2009年,20.69157,64.07702,5.62972,0.0,41.65192,89.93008,16.79046,15.99676,4.44273,22.43952,978.03768,6.80603,8.23157,2.99959,6.42277,37.72399,2.48604,6.89346,20.69814,15.31002,-0.05325,8.15839,5.73838,113.33211,46.11437,14.57327,26.04386,0.60091,46.18772,20.27856,72.88678,32.19752,46.90415,27.28732,43.06569,1.18221,15.75649,14.16044,53.89314,0.50823
2010年,23.44401,45.56103,6.46073,0.0,49.9709,91.21086,20.24364,16.03479,4.34465,24.88095,1023.07153,7.09582,9.76939,2.56885,5.73984,46.68559,3.63201,6.55261,15.76408,15.57552,-0.01804,10.3368,8.17239,113.68952,67.26981,15.18787,36.81207,0.95945,51.42433,21.75045,51.14563,37.04465,47.62524,28.84717,48.0974,1.221,12.55071,12.46637,62.28883,0.66461
2011年,41.70819,111.6446,12.3553,0.0,91.44422,143.54096,32.66175,26.06225,6.5309,34.16875,1576.38465,9.7862,12.92947,4.78714,7.4501,74.27985,1.13189,8.5052,21.56031,17.71238,0.00899,12.91696,11.87832,130.46719,114.84601,22.31769,42.50396,3.35021,71.65936,27.32434,112.61471,60.71355,59.61033,40.47676,70.01887,1.58213,21.68353,18.95273,93.27142,1.92813
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
